Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Tirzah Wise,Arizona,VT,9.700,,,,,,,2/6/2026,Arizona vs Utah,9.95,9.95,9.70,9.70
1,2,Emma Strom,Arizona,VT,9.750,,,,,,,2/6/2026,Arizona vs Utah,9.95,9.95,9.75,9.75
1,3,Ainsley Greever,Arizona,VT,9.800,,,,,,,2/6/2026,Arizona vs Utah,9.95,9.95,9.80,9.80
1,4,Sophie Derr,Arizona,VT,9.800,,,,,,,2/6/2026,Arizona vs Utah,9.95,9.95,9.80,9.80
1,5,Abigayle Martin,Arizona,VT,9.800,,,,,,,2/6/2026,Arizona vs Utah,9.95,9.95,9.85,9.75
1,6,Jessa Janicke,Arizona,VT,9.900,,,,,,,2/6/2026,Arizona vs Utah,9.95,9.95,9.90,9.90
1,7,Olivia Childs,Arizona,VT,9.675,,,,,,,2/6/2026,Arizona vs Utah,9.95,9.95,9.70,9.65
1,1,Clara Raposo,Utah,VT,9.850,,,,,,,2/6/2026,Arizona vs Utah,10.00,10.00,9.90,9.80
1,2,Ella Zirbes,Utah,VT,9.925,,,,,,,2/6/2026,Arizona vs Utah,10.00,10.00,9.95,9.90
1,3,Zoe Johnson,Utah,VT,9.900,,,,,,,2/6/2026,Arizona vs Utah,10.00,10.00,9.85,9.95
1,4,Makenna Smith,Utah,VT,9.850,,,,,,,2/6/2026,Arizona vs Utah,10.00,10.00,9.85,9.85
1,5,Ashley Glynn,Utah,VT,9.850,,,,,,,2/6/2026,Arizona vs Utah,10.00,10.00,9.90,9.80
1,6,Avery Neff,Utah,VT,9.875,,,,,,,2/6/2026,Arizona vs Utah,10.00,10.00,9.85,9.90
1,7,Sage Curtis,Utah,VT,9.700,,,,,,,2/6/2026,Arizona vs Utah,9.95,9.95,9.70,9.70
2,1,Hillary Puleo,Arizona,UB,9.650,,,,,,,2/6/2026,Arizona vs Utah,10.00,10.00,9.60,9.70
2,2,Sadie Smith,Arizona,UB,9.625,,,,,,,2/6/2026,Arizona vs Utah,10.00,10.00,9.65,9.60
2,3,Delaney Mead,Arizona,UB,9.675,,,,,,,2/6/2026,Arizona vs Utah,10.00,10.00,9.75,9.60
2,4,Abigayle Martin,Arizona,UB,9.775,,,,,,,2/6/2026,Arizona vs Utah,10.00,10.00,9.75,9.80
2,5,Sophie Derr,Arizona,UB,9.800,,,,,,,2/6/2026,Arizona vs Utah,10.00,10.00,9.85,9.75
2,6,Aubrey Krohnfeldt,Arizona,UB,9.775,,,,,,,2/6/2026,Arizona vs Utah,10.00,10.00,9.80,9.75
2,7,Sophia Maisel,Arizona,UB,9.500,,,,,,,2/6/2026,Arizona vs Utah,9.90,10.00,9.50,9.50
2,1,Makenna Smith,Utah,UB,9.825,,,,,,,2/6/2026,Arizona vs Utah,10.00,10.00,9.85,9.80
2,2,Abbi Ryssman,Utah,UB,9.675,,,,,,,2/6/2026,Arizona vs Utah,10.00,10.00,9.70,9.65
