Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Peyton Burford,Centenary,VT,9.400,,,,,,,2/6/2026,Centenary vs Greenville,9.75,9.75,9.50,9.30
1,2,Lelia Dunlavy,Centenary,VT,9.225,,,,,,Y,2/6/2026,Centenary vs Greenville,9.90,9.90,9.20,9.25
1,3,Olivia Montgomery,Centenary,VT,9.500,,,,,,,2/6/2026,Centenary vs Greenville,9.80,9.80,9.40,9.60
1,4,Claire Flores,Centenary,VT,9.475,,,,,,,2/6/2026,Centenary vs Greenville,9.90,9.90,9.50,9.45
1,5,Anna Ichiba,Centenary,VT,9.625,,,,,,,2/6/2026,Centenary vs Greenville,9.95,9.95,9.55,9.70
1,6,Amy Foret,Centenary,VT,9.550,,,,,,,2/6/2026,Centenary vs Greenville,9.90,9.90,9.65,9.45
1,1,Reagan Rodriguez,Greenville,VT,9.450,,,,,,,2/6/2026,Centenary vs Greenville,9.80,9.80,9.50,9.40
1,2,Reese Clapper,Greenville,VT,9.650,,,,,,,2/6/2026,Centenary vs Greenville,9.95,9.95,9.65,9.65
1,3,Roya Zehtab,Greenville,VT,9.500,,,,,,,2/6/2026,Centenary vs Greenville,9.80,9.80,9.55,9.45
1,4,Amara Nelson,Greenville,VT,9.750,,,,,,,2/6/2026,Centenary vs Greenville,9.95,9.95,9.70,9.80
1,5,Ellery Gilmer,Greenville,VT,9.000,,,,,,,2/6/2026,Centenary vs Greenville,9.80,9.80,9.00,9.00
2,1,Olivia Stratmann,Centenary,UB,8.400,,,,,,,2/6/2026,Centenary vs Greenville,9.70,9.60,8.50,8.30
2,2,Olivia Williams,Centenary,UB,9.700,,,,,,,2/6/2026,Centenary vs Greenville,10.00,10.00,9.70,9.70
2,3,Lelia Dunlavy,Centenary,UB,8.675,,,,,,,2/6/2026,Centenary vs Greenville,9.60,9.70,8.65,8.70
2,4,Nyah Washington,Centenary,UB,9.375,,,,,,,2/6/2026,Centenary vs Greenville,10.00,10.00,9.40,9.35
2,5,Erin Pinder,Centenary,UB,8.750,,,,,,,2/6/2026,Centenary vs Greenville,10.00,10.00,8.70,8.80
2,6,Claire Flores,Centenary,UB,9.650,,,,,,,2/6/2026,Centenary vs Greenville,10.00,10.00,9.75,9.55
2,7,Skyla Cruz,Centenary,UB,8.000,,,,,,,2/6/2026,Centenary vs Greenville,9.30,9.30,7.90,8.10
2,1,Madison Carter,Greenville,UB,9.000,,,,,,Y,2/6/2026,Centenary vs Greenville,10.00,10.00,9.00,9.00
2,2,Madison Ford,Greenville,UB,9.225,,,,,,,2/6/2026,Centenary vs Greenville,10.00,10.00,9.35,9.10
2,3,Reagan Rodriguez,Greenville,UB,9.350,,,,,,,2/6/2026,Centenary vs Greenville,10.00,9.90,9.40,9.30
2,4,Laila Manley,Greenville,UB,9.375,,,,,,,2/6/2026,Centenary vs Greenville,10.00,10.00,9.45,9.30
2,5,Aubrey Kenimer,Greenville,UB,8.500,,,,,,,2/6/2026,Centenary vs Greenville,9.80,9.80,8.30,8.70
2,6,Amara Nelson,Greenville,UB,9.525,,,,,,,2/6/2026,Centenary vs Greenville,10.00,10.00,9.50,9.55
3,1,Amy Foret,Centenary,BB,9.625,,,,,,,2/6/2026,Centenary vs Greenville,10.00,10.00,9.65,9.60
3,2,Hayden Cagle,Centenary,BB,9.050,,,,,,,2/6/2026,Centenary vs Greenville,9.60,9.60,9.10,9.00
3,3,Skyla Cruz,Centenary,BB,9.800,,,,,,,2/6/2026,Centenary vs Greenville,10.00,10.00,9.80,9.80
3,4,Chloe Gilbert,Centenary,BB,9.450,,,,,,,2/6/2026,Centenary vs Greenville,10.00,10.00,9.40,9.50
3,5,Peyton Burford,Centenary,BB,9.375,,,,,,,2/6/2026,Centenary vs Greenville,9.80,9.80,9.35,9.40
3,6,Anna Ichiba,Centenary,BB,9.700,,,,,,,2/6/2026,Centenary vs Greenville,10.00,10.00,9.70,9.70
3,7,Nyah Washington,Centenary,BB,8.950,,,,,,,2/6/2026,Centenary vs Greenville,9.90,9.90,9.00,8.90
3,8,Riley Navarro,Centenary,BB,9.125,,,,,,,2/6/2026,Centenary vs Greenville,10.00,10.00,9.15,9.10
3,1,Isabella Feltman,Greenville,BB,9.525,,,,,,,2/6/2026,Centenary vs Greenville,9.90,9.90,9.45,9.60
3,2,Olivia Tocco,Greenville,BB,9.500,,,,,,,2/6/2026,Centenary vs Greenville,9.90,10.00,9.50,9.50
3,3,Izabella Yanis,Greenville,BB,9.650,,,,,,,2/6/2026,Centenary vs Greenville,10.00,9.90,9.75,9.55
3,4,Christianna Cutler,Greenville,BB,9.525,,,,,,,2/6/2026,Centenary vs Greenville,10.00,10.00,9.55,9.50
3,5,Aubrey Kenimer,Greenville,BB,9.725,,,,,,,2/6/2026,Centenary vs Greenville,10.00,10.00,9.70,9.75
3,6,Amara Nelson,Greenville,BB,9.800,,,,,,,2/6/2026,Centenary vs Greenville,10.00,10.00,9.80,9.80
3,7,Maycee McKnight,Greenville,BB,7.900,,,,,,,2/6/2026,Centenary vs Greenville,9.50,9.60,8.00,7.80
4,1,Brooke Murdock,Centenary,FX,9.675,,,,,,,2/6/2026,Centenary vs Greenville,10.00,10.00,9.70,9.65
4,2,Anna Ichiba,Centenary,FX,9.575,,,,,,,2/6/2026,Centenary vs Greenville,10.00,10.00,9.60,9.55
4,3,Claire Flores,Centenary,FX,9.725,,,,,,,2/6/2026,Centenary vs Greenville,10.00,10.00,9.70,9.75
4,4,Nyah Washington,Centenary,FX,9.475,,,,,,,2/6/2026,Centenary vs Greenville,9.90,9.90,9.40,9.55
4,5,Amy Foret,Centenary,FX,9.725,,,,,,,2/6/2026,Centenary vs Greenville,10.00,10.00,9.75,9.70
4,6,Olivia Williams,Centenary,FX,9.750,,,,,,,2/6/2026,Centenary vs Greenville,10.00,10.00,9.70,9.80
4,7,Lelia Dunlavy,Centenary,FX,9.250,,,,,,,2/6/2026,Centenary vs Greenville,9.90,10.00,9.15,9.35
4,1,Reese Clapper,Greenville,FX,9.225,,,0.1,,,,2/6/2026,Centenary vs Greenville,9.80,9.80,9.35,9.30
4,2,Aubrey Kenimer,Greenville,FX,9.375,,,,,,,2/6/2026,Centenary vs Greenville,10.00,10.00,9.45,9.30
4,3,Laila Manley,Greenville,FX,9.325,,,0.1,,,,2/6/2026,Centenary vs Greenville,10.00,10.00,9.45,9.40
4,4,Amara Nelson,Greenville,FX,9.650,,,,,,,2/6/2026,Centenary vs Greenville,10.00,10.00,9.60,9.70
4,5,Ellery Gilmer,Greenville,FX,9.775,,,,,,,2/6/2026,Centenary vs Greenville,10.00,10.00,9.75,9.80
4,6,Matilda Brougham,Greenville,FX,8.550,,,,,,,2/6/2026,Centenary vs Greenville,9.80,9.90,8.40,8.70
4,7,Naima Murray,Greenville,FX,9.500,,,,,,,2/6/2026,Centenary vs Greenville,10.00,9.80,9.50,9.50
