Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Ava Obermoller,UW-Eau Claire,VT,9.300,,,,,,,2/6/2026,UW-Eau Claire vs UW-Stout,9.75,9.75,9.40,9.20
1,2,Hanna Riha,UW-Eau Claire,VT,9.525,,,,,,,2/6/2026,UW-Eau Claire vs UW-Stout,9.75,9.75,9.60,9.45
1,3,Haley Zampella,UW-Eau Claire,VT,9.575,,,,,,,2/6/2026,UW-Eau Claire vs UW-Stout,9.75,9.75,9.55,9.60
1,4,Grace Gerster,UW-Eau Claire,VT,9.550,,,,,,,2/6/2026,UW-Eau Claire vs UW-Stout,9.90,9.90,9.65,9.45
1,5,Abigail Berens,UW-Eau Claire,VT,9.400,,,,,,,2/6/2026,UW-Eau Claire vs UW-Stout,9.90,9.90,9.45,9.35
1,6,Anna Preussner,UW-Eau Claire,VT,9.125,,,,,,,2/6/2026,UW-Eau Claire vs UW-Stout,9.90,9.90,9.15,9.10
1,7,Emily Leese,UW-Eau Claire,VT,9.275,,,,,,,2/6/2026,UW-Eau Claire vs UW-Stout,9.75,9.75,9.30,9.25
1,1,Jessica Qualich,UW-Stout,VT,9.800,,,,,,,2/6/2026,UW-Eau Claire vs UW-Stout,9.90,9.90,9.80,9.80
1,2,Kendra Henige,UW-Stout,VT,9.600,,,,,,,2/6/2026,UW-Eau Claire vs UW-Stout,9.90,9.90,9.65,9.55
1,3,Jaidyn Carroll,UW-Stout,VT,9.475,,,,,,,2/6/2026,UW-Eau Claire vs UW-Stout,9.75,9.75,9.50,9.45
1,4,Reesi Williams,UW-Stout,VT,9.300,,,,,,,2/6/2026,UW-Eau Claire vs UW-Stout,9.75,9.75,9.30,9.30
1,5,Maggie Ryan,UW-Stout,VT,9.450,,,,,,,2/6/2026,UW-Eau Claire vs UW-Stout,9.75,9.75,9.45,9.45
1,6,Kadyn Swank,UW-Stout,VT,9.375,,,,,,,2/6/2026,UW-Eau Claire vs UW-Stout,9.75,9.75,9.40,9.35
1,7,Katelyn Jossie,UW-Stout,VT,9.200,,,,,,,2/6/2026,UW-Eau Claire vs UW-Stout,9.60,9.75,9.20,9.20
1,8,Cassidy Lennard,UW-Stout,VT,8.925,,,,,,,2/6/2026,UW-Eau Claire vs UW-Stout,9.80,9.80,8.90,8.95
2,1,Ava Obermoller,UW-Eau Claire,UB,9.300,,,,,,,2/6/2026,UW-Eau Claire vs UW-Stout,10.00,10.00,9.40,9.20
2,2,Ella Montgomery,UW-Eau Claire,UB,9.325,,,,,,,2/6/2026,UW-Eau Claire vs UW-Stout,9.90,9.90,9.35,9.30
2,3,Cadence Cordova,UW-Eau Claire,UB,8.900,,,,,,,2/6/2026,UW-Eau Claire vs UW-Stout,10.00,10.00,9.00,8.80
2,4,Rachel Hettiarachchy,UW-Eau Claire,UB,9.400,,,,,,,2/6/2026,UW-Eau Claire vs UW-Stout,10.00,10.00,9.50,9.30
2,5,Linnea Vasali,UW-Eau Claire,UB,7.925,,,,,,,2/6/2026,UW-Eau Claire vs UW-Stout,9.40,9.40,8.05,7.80
2,6,Kinley Rose,UW-Eau Claire,UB,9.625,,,,,,,2/6/2026,UW-Eau Claire vs UW-Stout,10.00,10.00,9.60,9.65
2,7,Aliana DeSarno,UW-Eau Claire,UB,7.775,,,,,,,2/6/2026,UW-Eau Claire vs UW-Stout,9.60,9.60,7.95,7.60
2,8,Madison Daly,UW-Eau Claire,UB,8.500,,,,,,,2/6/2026,UW-Eau Claire vs UW-Stout,9.60,9.60,8.50,8.50
2,1,Maggie Ryan,UW-Stout,UB,7.725,,,,,,,2/6/2026,UW-Eau Claire vs UW-Stout,9.20,9.20,7.95,7.50
2,2,Jaidyn Carroll,UW-Stout,UB,8.800,,,,,,,2/6/2026,UW-Eau Claire vs UW-Stout,9.40,9.40,8.90,8.70
2,3,Caroline DiMarco,UW-Stout,UB,8.350,,,,,,,2/6/2026,UW-Eau Claire vs UW-Stout,9.50,9.50,8.35,8.35
2,4,Cora Cardellino,UW-Stout,UB,8.025,,,,,,,2/6/2026,UW-Eau Claire vs UW-Stout,9.00,9.00,8.10,7.95
2,5,Jamie Beatty,UW-Stout,UB,9.625,,,,,,,2/6/2026,UW-Eau Claire vs UW-Stout,10.00,10.00,9.65,9.60
