Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,D,E1,E2
1,1,Max Odden,Nebraska,FX,13.350,4.8,8.550,,,,,2/7/2026,Nebraska vs Penn State,4.8,1.5,1.4
1,2,Nathan York,Nebraska,FX,13.950,5.0,8.950,,,,,2/7/2026,Nebraska vs Penn State,5.0,1.0,1.1
1,3,Chase Mondi,Nebraska,FX,14.250,5.3,8.850,,0.1,,,2/7/2026,Nebraska vs Penn State,5.3,1.1,1.2
1,4,Luke James,Nebraska,FX,13.650,5.1,8.550,,,,,2/7/2026,Nebraska vs Penn State,5.1,1.5,1.4
1,1,Matthew Underhill,Penn State,FX,13.350,5.0,8.350,,,,,2/7/2026,Nebraska vs Penn State,5.0,1.7,1.6
1,2,Shaun Smith,Penn State,FX,13.700,5.1,8.600,,,,,2/7/2026,Nebraska vs Penn State,5.1,1.4,1.4
1,3,Luke Esparo,Penn State,FX,13.600,5.1,8.500,,,,,2/7/2026,Nebraska vs Penn State,5.1,1.5,1.5
1,4,Akseli Karsikas,Penn State,FX,12.250,5.1,7.150,,,,,2/7/2026,Nebraska vs Penn State,5.1,2.8,2.9
2,1,Wyatt Reynolds,Nebraska,PH,13.450,4.6,8.850,,,,,2/7/2026,Nebraska vs Penn State,4.6,1.1,1.2
2,2,Caden Clinton,Nebraska,PH,13.700,5.0,8.700,,,,,2/7/2026,Nebraska vs Penn State,5.0,1.2,1.4
2,3,Nik Tarca,Nebraska,PH,13.000,5.1,7.900,,,,,2/7/2026,Nebraska vs Penn State,5.1,2.1,2.1
2,4,Nathan York,Nebraska,PH,12.550,5.4,7.150,,,,,2/7/2026,Nebraska vs Penn State,5.4,2.9,2.8
2,1,Kacper Garnczarek,Penn State,PH,13.400,5.2,8.200,,,,,2/7/2026,Nebraska vs Penn State,5.2,1.7,1.9
2,2,Ricky Perez,Penn State,PH,13.500,5.0,8.500,,,,,2/7/2026,Nebraska vs Penn State,5.0,1.4,1.6
2,3,Ritam Malik,Penn State,PH,12.300,4.9,7.400,,,,,2/7/2026,Nebraska vs Penn State,4.9,2.5,2.7
2,4,Landon Simpson,Penn State,PH,12.650,4.7,7.950,,,,,2/7/2026,Nebraska vs Penn State,4.7,2.2,1.9
3,1,Max Odden,Nebraska,SR,13.050,3.7,9.350,,,,,2/7/2026,Nebraska vs Penn State,3.7,0.6,0.7
3,2,Ty Roderiques,Nebraska,SR,12.550,4.1,8.450,,,,,2/7/2026,Nebraska vs Penn State,4.1,1.6,1.5
3,3,Anthony Koppie,Nebraska,SR,12.250,3.8,8.450,,,,,2/7/2026,Nebraska vs Penn State,3.8,1.6,1.5
3,4,Asher Cohen,Nebraska,SR,14.350,5.1,9.250,,,,,2/7/2026,Nebraska vs Penn State,5.1,0.8,0.7
3,1,Ritam Malik,Penn State,SR,12.800,3.7,9.100,,,,,2/7/2026,Nebraska vs Penn State,3.7,1.0,0.8
