Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Brie Clark,Clemson,VT,9.825,,,,,,,2/7/2026,Clemson vs California,10.00,10.00,9.80,9.85
1,2,Madison Minner,Clemson,VT,9.825,,,,,,,2/7/2026,Clemson vs California,10.00,10.00,9.85,9.80
1,3,Maggie Holman,Clemson,VT,9.825,,,,,,,2/7/2026,Clemson vs California,10.00,10.00,9.80,9.85
1,4,Ella Cesario,Clemson,VT,9.700,,,,,,,2/7/2026,Clemson vs California,9.95,9.95,9.65,9.75
1,5,Tara Walsh,Clemson,VT,9.900,,,,,,,2/7/2026,Clemson vs California,10.00,10.00,9.90,9.90
1,6,Paige Anastasi,Clemson,VT,9.800,,,,,,,2/7/2026,Clemson vs California,9.95,9.95,9.80,9.80
1,1,Casey Brown,California,VT,9.850,,,,,,,2/7/2026,Clemson vs California,9.95,9.95,9.85,9.85
1,2,Tonya Paulsson,California,VT,9.825,,,,,,,2/7/2026,Clemson vs California,9.95,9.95,9.85,9.80
1,3,Annalise Newman-Achee,California,VT,9.850,,,,,,,2/7/2026,Clemson vs California,9.95,9.95,9.85,9.85
1,4,Mya Wiley,California,VT,9.750,,,,,,,2/7/2026,Clemson vs California,9.95,9.95,9.75,9.75
1,5,Jayden Silvers,California,VT,9.800,,,,,,,2/7/2026,Clemson vs California,10.00,10.00,9.80,9.80
1,6,Kyen Mayhew,California,VT,9.225,,,,,,,2/7/2026,Clemson vs California,10.00,10.00,9.20,9.25
2,1,Lilly Lippeatt,Clemson,UB,9.850,,,,,,,2/7/2026,Clemson vs California,10.00,10.00,9.85,9.85
2,2,Hannah Clark,Clemson,UB,9.900,,,,,,,2/7/2026,Clemson vs California,10.00,10.00,9.95,9.85
2,3,Emma Malewski,Clemson,UB,9.875,,,,,,,2/7/2026,Clemson vs California,10.00,10.00,9.90,9.85
2,4,Eve Jackson,Clemson,UB,9.775,,,,,,,2/7/2026,Clemson vs California,10.00,10.00,9.75,9.80
2,5,Ella Cesario,Clemson,UB,9.875,,,,,,,2/7/2026,Clemson vs California,10.00,10.00,9.85,9.90
2,6,Quinn Kuhl,Clemson,UB,9.850,,,,,,,2/7/2026,Clemson vs California,10.00,10.00,9.80,9.90
2,1,Miki Aderinto,California,UB,9.775,,,,,,,2/7/2026,Clemson vs California,10.00,10.00,9.75,9.80
2,2,Mya Wiley,California,UB,9.875,,,,,,,2/7/2026,Clemson vs California,10.00,10.00,9.90,9.85
2,3,Annalise Newman-Achee,California,UB,9.825,,,,,,,2/7/2026,Clemson vs California,10.00,10.00,9.85,9.80
2,4,Sage Melkonian,California,UB,9.925,,,,,,,2/7/2026,Clemson vs California,10.00,10.00,9.90,9.95
2,5,Casey Brown,California,UB,9.850,,,,,,,2/7/2026,Clemson vs California,10.00,10.00,9.80,9.90
2,6,Tonya Paulsson,California,UB,9.925,,,,,,,2/7/2026,Clemson vs California,10.00,10.00,9.95,9.90
3,1,Tara Walsh,Clemson,BB,9.800,,,,,,,2/7/2026,Clemson vs California,10.00,10.00,9.75,9.85
3,2,Brie Clark,Clemson,BB,9.875,,,,,,,2/7/2026,Clemson vs California,10.00,10.00,9.85,9.90
3,3,Lilly Lippeatt,Clemson,BB,9.825,,,,,,,2/7/2026,Clemson vs California,10.00,10.00,9.85,9.80
3,4,Ella Cesario,Clemson,BB,9.800,,,,,,,2/7/2026,Clemson vs California,10.00,10.00,9.80,9.80
3,5,Quinn Kuhl,Clemson,BB,9.800,,,,,,,2/7/2026,Clemson vs California,10.00,10.00,9.80,9.80
3,6,Emma Malewski,Clemson,BB,9.800,,,,,,,2/7/2026,Clemson vs California,10.00,10.00,9.75,9.85
3,1,Sage Melkonian,California,BB,9.750,,,,,,,2/7/2026,Clemson vs California,10.00,10.00,9.75,9.75
3,2,Tonya Paulsson,California,BB,9.875,,,,,,,2/7/2026,Clemson vs California,10.00,10.00,9.85,9.90
3,3,Sarah Lee,California,BB,9.900,,,,,,,2/7/2026,Clemson vs California,10.00,10.00,9.90,9.90
3,4,Abbey Scanlon,California,BB,9.900,,,,,,,2/7/2026,Clemson vs California,10.00,10.00,9.95,9.85
3,5,Miki Aderinto,California,BB,9.850,,,,,,,2/7/2026,Clemson vs California,10.00,10.00,9.85,9.85
3,6,Annalise Newman-Achee,California,BB,9.275,,,,,,,2/7/2026,Clemson vs California,9.90,9.90,9.30,9.25
4,1,Lilly Lippeatt,Clemson,FX,9.825,,,,,,,2/7/2026,Clemson vs California,10.00,10.00,9.85,9.80
4,2,Maggie Holman,Clemson,FX,9.825,,,,,,,2/7/2026,Clemson vs California,10.00,10.00,9.80,9.85
4,3,Tara Walsh,Clemson,FX,9.875,,,,,,,2/7/2026,Clemson vs California,10.00,10.00,9.85,9.90
4,4,Ella Cesario,Clemson,FX,9.825,,,,,,,2/7/2026,Clemson vs California,10.00,10.00,9.80,9.85
4,5,Brie Clark,Clemson,FX,9.900,,,,,,,2/7/2026,Clemson vs California,10.00,10.00,9.90,9.90
4,6,Madison Minner,Clemson,FX,9.850,,,,,,,2/7/2026,Clemson vs California,10.00,10.00,9.80,9.90
