Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Ava Stewart,Minnesota,VT,9.850,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,9.90,9.80
1,2,Isabella Nguyen,Minnesota,VT,9.875,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,9.85,9.90
1,3,Sarah Moraw,Minnesota,VT,9.875,,,,,,,2/7/2026,Minnesota vs UCLA,9.95,9.95,9.90,9.85
1,4,Teryn Crump,Minnesota,VT,9.875,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,9.85,9.90
1,5,Gianna Gerdes,Minnesota,VT,9.850,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,9.85,9.85
1,6,Arianna Ostrum,Minnesota,VT,9.950,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,9.95,9.95
1,7,Megan Steensland,Minnesota,VT,9.775,,,,,,,2/7/2026,Minnesota vs UCLA,9.95,9.95,9.75,9.80
1,1,Tiana Sumanasekera,UCLA,VT,9.900,,,,,,,2/7/2026,Minnesota vs UCLA,9.95,9.95,9.90,9.90
1,2,Madisyn Anyimi,UCLA,VT,9.825,,,,,,,2/7/2026,Minnesota vs UCLA,9.95,9.95,9.80,9.85
1,3,Katelyn Rosen,UCLA,VT,9.875,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,9.90,9.85
1,4,Riley Jenkins,UCLA,VT,9.875,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,9.90,9.85
1,5,Ashlee Sullivan,UCLA,VT,9.875,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,9.85,9.90
1,6,Jordan Chiles,UCLA,VT,9.875,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,9.90,9.85
1,7,Jordis Eichman,UCLA,VT,9.675,,,,,,,2/7/2026,Minnesota vs UCLA,9.95,9.95,9.65,9.70
2,1,Gianna Gerdes,Minnesota,UB,9.775,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,9.80,9.75
2,2,Teryn Crump,Minnesota,UB,9.800,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,9.80,9.80
2,3,Arianna Ostrum,Minnesota,UB,9.775,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,9.75,9.80
2,4,Emma Slevin,Minnesota,UB,9.900,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,9.90,9.90
2,5,Lacie Saltzmann,Minnesota,UB,9.875,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,9.90,9.85
2,6,Jordyn Lyden,Minnesota,UB,9.825,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,9.80,9.85
2,7,Sophie Swartzmiller,Minnesota,UB,9.700,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,9.65,9.75
2,8,Ava Stewart,Minnesota,UB,9.650,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,9.60,9.70
2,1,Ciena Alipio,UCLA,UB,9.775,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,9.70,9.85
2,2,Sydney Barros,UCLA,UB,9.850,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,9.85,9.85
2,3,Tiana Sumanasekera,UCLA,UB,9.800,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,9.80,9.80
2,4,Nola Matthews,UCLA,UB,9.825,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,9.85,9.80
2,5,Ashlee Sullivan,UCLA,UB,9.925,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,9.90,9.95
2,6,Jordan Chiles,UCLA,UB,9.900,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,9.90,9.90
2,7,Madisyn Anyimi,UCLA,UB,9.875,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,9.90,9.85
3,1,Arianna Ostrum,Minnesota,BB,9.825,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,9.80,9.85
3,2,Gianna Gerdes,Minnesota,BB,9.775,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,9.85,9.70
3,3,Sarah Moraw,Minnesota,BB,9.800,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,9.80,9.80
3,4,Brooklyn Rowray,Minnesota,BB,9.900,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,9.90,9.90
3,5,Lauren Pearl,Minnesota,BB,9.925,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,9.90,9.95
3,6,Jordyn Lyden,Minnesota,BB,9.875,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,9.90,9.85
3,7,Megan Steensland,Minnesota,BB,9.825,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,9.80,9.85
3,8,Ava Stewart,Minnesota,BB,9.875,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,9.85,9.90
3,1,Katelyn Rosen,UCLA,BB,9.900,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,9.95,9.85
3,2,Sydney Barros,UCLA,BB,9.900,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,9.90,9.90
3,3,Jordis Eichman,UCLA,BB,9.725,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,9.75,9.70
3,4,Tiana Sumanasekera,UCLA,BB,9.850,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,9.80,9.90
3,5,Jordan Chiles,UCLA,BB,9.850,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,9.85,9.85
3,6,Ciena Alipio,UCLA,BB,9.925,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,9.95,9.90
3,7,Nola Matthews,UCLA,BB,9.800,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,9.75,9.85
4,1,Lacie Saltzmann,Minnesota,FX,9.750,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,9.70,9.80
4,2,Megan Steensland,Minnesota,FX,9.750,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,9.80,9.70
4,3,Leah Gonsiorowski,Minnesota,FX,9.875,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,9.85,9.90
4,4,Sophie Swartzmiller,Minnesota,FX,9.850,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,9.85,9.85
4,5,Arianna Ostrum,Minnesota,FX,9.925,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,9.95,9.90
4,6,Jordyn Lyden,Minnesota,FX,9.950,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,9.95,9.95
4,7,Brooklyn Rowray,Minnesota,FX,9.775,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,9.70,9.85
4,1,Katelyn Rosen,UCLA,FX,9.900,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,9.90,9.90
4,2,Ciena Alipio,UCLA,FX,9.625,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,9.55,9.70
4,3,Sydney Barros,UCLA,FX,9.750,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,9.70,9.80
4,4,Tiana Sumanasekera,UCLA,FX,9.825,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,9.85,9.80
4,5,Ashlee Sullivan,UCLA,FX,9.950,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,9.95,9.95
4,6,Jordan Chiles,UCLA,FX,10.000,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,10.00,10.00
4,7,Madisyn Anyimi,UCLA,FX,9.675,,,,,,,2/7/2026,Minnesota vs UCLA,10.00,10.00,9.65,9.70
