Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Caroline Saenz,UW-Whitewater,VT,9.350,,,,,,,2/7/2026,UW-Whitewater vs Winona State,9.75,9.75,9.35,9.35
1,2,Lindsey Hollifield,UW-Whitewater,VT,9.500,,,,,,,2/7/2026,UW-Whitewater vs Winona State,9.80,9.80,9.55,9.45
1,3,Maliyah Pound,UW-Whitewater,VT,9.575,,,,,,,2/7/2026,UW-Whitewater vs Winona State,9.80,9.80,9.55,9.60
1,4,Danielle Dudziak,UW-Whitewater,VT,9.550,,,,,,,2/7/2026,UW-Whitewater vs Winona State,9.90,9.90,9.60,9.50
1,5,Siena Vavala,UW-Whitewater,VT,9.600,,,,,,,2/7/2026,UW-Whitewater vs Winona State,9.90,9.90,9.60,9.60
1,6,Sofia Spadafora,UW-Whitewater,VT,9.650,,,,,,,2/7/2026,UW-Whitewater vs Winona State,9.95,9.95,9.70,9.60
1,1,Courtney Knutson,Winona State,VT,9.550,,,,,,,2/7/2026,UW-Whitewater vs Winona State,9.80,9.80,9.50,9.60
1,2,Harper Hamilton,Winona State,VT,9.550,,,,,,,2/7/2026,UW-Whitewater vs Winona State,9.80,9.80,9.55,9.55
1,3,Molly Amrhein,Winona State,VT,9.575,,,,,,,2/7/2026,UW-Whitewater vs Winona State,9.95,9.95,9.60,9.55
1,4,Irene Kearney,Winona State,VT,9.700,,,,,,,2/7/2026,UW-Whitewater vs Winona State,9.95,9.95,9.70,9.70
1,5,Gabby Kraft,Winona State,VT,9.625,,,,,,,2/7/2026,UW-Whitewater vs Winona State,9.80,9.80,9.65,9.60
1,6,Frankie Jo MacAskill,Winona State,VT,9.600,,,,,,,2/7/2026,UW-Whitewater vs Winona State,9.95,9.95,9.60,9.60
1,7,Jessica Miley,Winona State,VT,9.675,,,,,,,2/7/2026,UW-Whitewater vs Winona State,9.90,9.90,9.65,9.70
1,8,Madysen Diskerud,Winona State,VT,9.625,,,,,,,2/7/2026,UW-Whitewater vs Winona State,9.90,9.90,9.65,9.60
2,1,Gracie Talley,UW-Whitewater,UB,9.275,,,,,,,2/7/2026,UW-Whitewater vs Winona State,10.00,10.00,9.15,9.40
2,2,Ariana Goodwin,UW-Whitewater,UB,9.600,,,,,,,2/7/2026,UW-Whitewater vs Winona State,10.00,10.00,9.60,9.60
