Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Addisyn Hofseth,Kentucky,VT,9.800,,,,,,,2/13/2026,Kentucky vs Missouri,9.95,9.95,9.80,9.80
1,2,Cecily Rizo,Kentucky,VT,9.825,,,,,,,2/13/2026,Kentucky vs Missouri,9.95,9.95,9.80,9.85
1,3,Callie Gardner,Kentucky,VT,9.825,,,,,,,2/13/2026,Kentucky vs Missouri,10.00,10.00,9.85,9.80
1,4,Ryan Noonan,Kentucky,VT,9.775,,,,,,,2/13/2026,Kentucky vs Missouri,10.00,10.00,9.85,9.70
1,5,Delaynee Rodriguez,Kentucky,VT,9.825,,,,,,,2/13/2026,Kentucky vs Missouri,10.00,9.95,9.85,9.80
1,6,Anna Flynn Cashion,Kentucky,VT,9.875,,,,,,,2/13/2026,Kentucky vs Missouri,10.00,10.00,9.90,9.85
1,1,Railey Jackson,Missouri,VT,9.825,,,,,,,2/13/2026,Kentucky vs Missouri,10.00,10.00,9.80,9.85
1,2,Ayla Acevedo,Missouri,VT,9.750,,,,,,,2/13/2026,Kentucky vs Missouri,9.95,9.95,9.75,9.75
1,3,Kennedy Griffin,Missouri,VT,9.825,,,,,,,2/13/2026,Kentucky vs Missouri,9.95,9.95,9.85,9.80
1,4,Kimarra Echols,Missouri,VT,9.825,,,,,,,2/13/2026,Kentucky vs Missouri,9.95,9.95,9.85,9.80
1,5,Elise Tisler,Missouri,VT,9.900,,,,,,,2/13/2026,Kentucky vs Missouri,10.00,10.00,9.90,9.90
1,6,Hannah Horton,Missouri,VT,9.825,,,,,,,2/13/2026,Kentucky vs Missouri,10.00,10.00,9.85,9.80
2,1,Isabella Rivelli,Kentucky,UB,9.275,,,,,,Y,2/13/2026,Kentucky vs Missouri,9.90,9.90,9.25,9.30
2,2,Sabrina Nemcek,Kentucky,UB,9.925,,,,,,,2/13/2026,Kentucky vs Missouri,10.00,10.00,9.95,9.90
2,3,Gabby Van Frayen,Kentucky,UB,9.425,,,,,,,2/13/2026,Kentucky vs Missouri,10.00,10.00,9.40,9.45
2,4,Chesney Bennett,Kentucky,UB,9.850,,,,,,,2/13/2026,Kentucky vs Missouri,10.00,10.00,9.85,9.85
2,5,Ryan Noonan,Kentucky,UB,9.900,,,,,,,2/13/2026,Kentucky vs Missouri,10.00,10.00,9.95,9.85
2,6,Delaynee Rodriguez,Kentucky,UB,9.950,,,,,,,2/13/2026,Kentucky vs Missouri,10.00,10.00,9.95,9.95
2,1,Makayla Green,Missouri,UB,9.700,,,,,,,2/13/2026,Kentucky vs Missouri,10.00,10.00,9.75,9.65
2,2,Olivia Kelly,Missouri,UB,9.875,,,,,,,2/13/2026,Kentucky vs Missouri,10.00,10.00,9.85,9.90
2,3,Kaia Tanskanen,Missouri,UB,9.775,,,,,,,2/13/2026,Kentucky vs Missouri,10.00,10.00,9.85,9.70
2,4,Maiya Terry,Missouri,UB,9.600,,,,,,,2/13/2026,Kentucky vs Missouri,10.00,10.00,9.70,9.50
2,5,Hannah Horton,Missouri,UB,9.925,,,,,,,2/13/2026,Kentucky vs Missouri,10.00,10.00,9.90,9.95
2,6,Kimarra Echols,Missouri,UB,9.950,,,,,,,2/13/2026,Kentucky vs Missouri,10.00,10.00,9.95,9.95
3,1,Cecily Rizo,Kentucky,BB,9.750,,,,,,,2/13/2026,Kentucky vs Missouri,10.00,10.00,9.75,9.75
3,2,Creslyn Brose,Kentucky,BB,9.875,,,,,,,2/13/2026,Kentucky vs Missouri,10.00,10.00,9.85,9.90
3,3,Sharon Lee,Kentucky,BB,9.100,,,,,,,2/13/2026,Kentucky vs Missouri,9.90,9.80,9.10,9.10
3,4,Chesney Bennett,Kentucky,BB,9.900,,,,,,,2/13/2026,Kentucky vs Missouri,10.00,10.00,9.90,9.90
3,5,Gabby Van Frayen,Kentucky,BB,9.900,,,,,,,2/13/2026,Kentucky vs Missouri,10.00,10.00,9.90,9.90
3,6,Delaynee Rodriguez,Kentucky,BB,9.775,,,,,,,2/13/2026,Kentucky vs Missouri,10.00,10.00,9.75,9.80
3,1,Amy Wier,Missouri,BB,9.875,,,,,,,2/13/2026,Kentucky vs Missouri,10.00,10.00,9.85,9.90
3,2,Lauren Macpherson,Missouri,BB,9.850,,,,,,,2/13/2026,Kentucky vs Missouri,10.00,10.00,9.90,9.80
3,3,Olivia Kelly,Missouri,BB,9.650,,,,,,,2/13/2026,Kentucky vs Missouri,10.00,10.00,9.60,9.70
3,4,Kaia Tanskanen,Missouri,BB,9.800,,,,,,,2/13/2026,Kentucky vs Missouri,10.00,10.00,9.80,9.80
3,5,Railey Jackson,Missouri,BB,9.850,,,,,,,2/13/2026,Kentucky vs Missouri,10.00,10.00,9.85,9.85
3,6,Addison Lawrence,Missouri,BB,9.275,,,,,,,2/13/2026,Kentucky vs Missouri,9.90,9.90,9.30,9.25
