Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Paige Prejean,UNC,VT,9.775,,,,,,,2/13/2026,UNC vs NC State,9.95,9.95,9.80,9.75
1,2,Neve King,UNC,VT,9.775,,,,,,,2/13/2026,UNC vs NC State,9.95,9.95,9.75,9.80
1,3,Gwen Fink,UNC,VT,9.825,,,,,,,2/13/2026,UNC vs NC State,10.00,10.00,9.80,9.85
1,4,Sydney Seabrooks,UNC,VT,9.825,,,,,,,2/13/2026,UNC vs NC State,9.95,9.95,9.85,9.80
1,5,JoJo Valahovic,UNC,VT,9.925,,,,,,,2/13/2026,UNC vs NC State,10.00,10.00,9.90,9.95
1,6,Kaya Forbes,UNC,VT,9.875,,,,,,,2/13/2026,UNC vs NC State,9.95,9.95,9.85,9.90
1,7,Elly King,UNC,VT,9.775,,,,,,,2/13/2026,UNC vs NC State,9.95,9.95,9.75,9.80
1,1,Lauren Wright,NC State,VT,9.850,,,,,,,2/13/2026,UNC vs NC State,9.95,9.95,9.85,9.85
1,2,Emerson Fisk,NC State,VT,9.750,,,,,,,2/13/2026,UNC vs NC State,9.95,9.95,9.75,9.75
1,3,Autumn Rardin,NC State,VT,9.600,,,,,,,2/13/2026,UNC vs NC State,10.00,10.00,9.65,9.55
1,4,Ava Myers,NC State,VT,9.825,,,,,,,2/13/2026,UNC vs NC State,9.95,9.95,9.80,9.85
1,5,Syniya Thomas,NC State,VT,9.875,,,,,,,2/13/2026,UNC vs NC State,9.95,9.95,9.85,9.90
1,6,Elle Hadrick,NC State,VT,9.800,,,,,,,2/13/2026,UNC vs NC State,9.95,9.95,9.80,9.80
1,7,Raina Gandhi,NC State,VT,7.750,,,,,,,2/13/2026,UNC vs NC State,9.90,9.90,8.00,7.50
2,1,Claire Stippich,UNC,UB,9.800,,,,,,,2/13/2026,UNC vs NC State,10.00,10.00,9.85,9.75
2,2,Neve King,UNC,UB,9.700,,,,,,,2/13/2026,UNC vs NC State,10.00,10.00,9.65,9.75
2,3,Anna Pearl Stanley,UNC,UB,9.775,,,,,,,2/13/2026,UNC vs NC State,10.00,10.00,9.85,9.70
2,4,Paige Prejean,UNC,UB,9.850,,,,,Y,Y,2/13/2026,UNC vs NC State,10.00,10.00,9.80,9.90
2,5,Camryn Rueda,UNC,UB,9.700,,,,,,,2/13/2026,UNC vs NC State,10.00,10.00,9.65,9.75
2,6,Gwen Fink,UNC,UB,9.850,,,,,,,2/13/2026,UNC vs NC State,10.00,10.00,9.80,9.90
2,1,Ava Myers,NC State,UB,9.750,,,,,,,2/13/2026,UNC vs NC State,10.00,10.00,9.75,9.75
2,2,Jenna Rusk,NC State,UB,4.150,,,2.0,,,,2/13/2026,UNC vs NC State,6.80,6.80,6.00,6.30
2,3,Madeline Reid,NC State,UB,9.850,,,,,,,2/13/2026,UNC vs NC State,10.00,10.00,9.85,9.85
2,4,Caroline Volk,NC State,UB,9.875,,,,,,,2/13/2026,UNC vs NC State,10.00,10.00,9.85,9.90
2,5,Elle Hadrick,NC State,UB,9.825,,,,,,,2/13/2026,UNC vs NC State,10.00,10.00,9.80,9.85
2,6,Katie Harper,NC State,UB,9.725,,,,,,,2/13/2026,UNC vs NC State,10.00,10.00,9.65,9.80
2,7,Emerson Fisk,NC State,UB,9.775,,,,,,,2/13/2026,UNC vs NC State,10.00,10.00,9.75,9.80
3,1,Sydney Seabrooks,UNC,BB,9.800,,,,,,,2/13/2026,UNC vs NC State,10.00,10.00,9.80,9.80
3,1,Sydney Seabrooks,UNC,BB,9.800,,,,,,,2/13/2026,UNC vs NC State,10.00,10.00,9.80,9.80
3,2,Claire Stippich,UNC,BB,9.800,,,,,,,2/13/2026,UNC vs NC State,10.00,10.00,9.75,9.85
3,3,Camryn Rueda,UNC,BB,9.725,,,,,,,2/13/2026,UNC vs NC State,10.00,10.00,9.75,9.70
3,4,Gwen Fink,UNC,BB,9.875,,,,,,,2/13/2026,UNC vs NC State,10.00,10.00,9.85,9.90
3,5,Jessica Naranjo,UNC,BB,9.625,,,,,,,2/13/2026,UNC vs NC State,9.80,9.80,9.60,9.65
3,6,JoJo Valahovic,UNC,BB,9.950,,,,,,,2/13/2026,UNC vs NC State,10.00,10.00,9.95,9.95
3,7,Hannah Aoki,UNC,BB,9.775,,,,,,,2/13/2026,UNC vs NC State,10.00,10.00,9.75,9.80
3,1,Katie Harper,NC State,BB,9.825,,,,,,,2/13/2026,UNC vs NC State,10.00,10.00,9.85,9.80
3,2,Caroline Volk,NC State,BB,9.825,,,,,,,2/13/2026,UNC vs NC State,10.00,10.00,9.80,9.85
3,3,Autumn Rardin,NC State,BB,9.775,,,,,,,2/13/2026,UNC vs NC State,10.00,10.00,9.75,9.80
3,4,Maddie Hall,NC State,BB,9.875,,,,,,,2/13/2026,UNC vs NC State,10.00,10.00,9.90,9.85
3,5,Adasyn Tackett,NC State,BB,9.875,,,,,,,2/13/2026,UNC vs NC State,10.00,10.00,9.85,9.90
3,6,Syniya Thomas,NC State,BB,9.875,,,,,,,2/13/2026,UNC vs NC State,10.00,10.00,9.85,9.90
3,7,Meg Adler,NC State,BB,9.800,,,,,,,2/13/2026,UNC vs NC State,10.00,10.00,9.80,9.80
4,1,Hannah Aoki,UNC,FX,9.725,,,,,,,2/13/2026,UNC vs NC State,10.00,10.00,9.70,9.75
4,2,Gwen Fink,UNC,FX,9.700,,,,,,,2/13/2026,UNC vs NC State,10.00,10.00,9.70,9.70
4,3,Camryn Rueda,UNC,FX,9.625,,,,,,,2/13/2026,UNC vs NC State,10.00,10.00,9.60,9.65
4,4,Jessica Naranjo,UNC,FX,9.775,,,,,,,2/13/2026,UNC vs NC State,10.00,10.00,9.75,9.80
4,5,Kaya Forbes,UNC,FX,9.850,,,,,,,2/13/2026,UNC vs NC State,10.00,10.00,9.80,9.90
4,6,Sydney Seabrooks,UNC,FX,9.925,,,,,,,2/13/2026,UNC vs NC State,10.00,10.00,9.90,9.95
4,7,Claire Stippich,UNC,FX,9.600,,,,,,,2/13/2026,UNC vs NC State,10.00,10.00,9.55,9.65
4,1,Katie Harper,NC State,FX,9.750,,,,,,,2/13/2026,UNC vs NC State,10.00,10.00,9.75,9.75
4,2,Emerson Fisk,NC State,FX,9.800,,,,,,,2/13/2026,UNC vs NC State,10.00,10.00,9.75,9.85
4,3,Meg Adler,NC State,FX,9.850,,,,,,,2/13/2026,UNC vs NC State,10.00,10.00,9.90,9.80
4,4,Autumn Rardin,NC State,FX,9.875,,,,,,,2/13/2026,UNC vs NC State,10.00,10.00,9.85,9.90
4,5,Elle Hadrick,NC State,FX,9.875,,,,,,,2/13/2026,UNC vs NC State,10.00,10.00,9.85,9.90
4,6,Syniya Thomas,NC State,FX,9.825,,,,,,,2/13/2026,UNC vs NC State,10.00,10.00,9.80,9.85
