Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Clara Raposo,Utah,VT,9.800,,,,,,,2/13/2026,Utah vs BYU,10.00,10.00,9.80,9.80
1,2,Ella Zirbes,Utah,VT,9.825,,,,,,,2/13/2026,Utah vs BYU,10.00,10.00,9.80,9.85
1,3,Zoe Johnson,Utah,VT,9.275,,,,,,,2/13/2026,Utah vs BYU,10.00,10.00,9.30,9.25
1,4,Makenna Smith,Utah,VT,9.900,,,,,,,2/13/2026,Utah vs BYU,10.00,10.00,9.90,9.90
1,5,Ashley Glynn,Utah,VT,9.900,,,,,,,2/13/2026,Utah vs BYU,10.00,10.00,9.95,9.85
1,6,Avery Neff,Utah,VT,9.800,,,,,,,2/13/2026,Utah vs BYU,10.00,10.00,9.80,9.80
1,7,Camie Winger,Utah,VT,9.825,,,,,,,2/13/2026,Utah vs BYU,10.00,10.00,9.80,9.85
1,1,Daisy Stephenson,BYU,VT,9.750,,,,,,,2/13/2026,Utah vs BYU,9.95,9.95,9.75,9.75
1,2,Mya Kirkham,BYU,VT,9.775,,,,,,,2/13/2026,Utah vs BYU,9.95,9.95,9.80,9.75
1,3,Scarlett Sonnenberg,BYU,VT,9.825,,,,,,,2/13/2026,Utah vs BYU,10.00,10.00,9.80,9.85
1,4,Deb Silva,BYU,VT,9.850,,,,,,,2/13/2026,Utah vs BYU,9.95,9.95,9.85,9.85
1,5,Ava Jorgensen,BYU,VT,9.775,,,,,,,2/13/2026,Utah vs BYU,10.00,10.00,9.75,9.80
1,6,Kylie Eaquinto,BYU,VT,9.800,,,,,,,2/13/2026,Utah vs BYU,9.95,9.95,9.80,9.80
1,7,Zoe Hale,BYU,VT,9.700,,,,,,,2/13/2026,Utah vs BYU,9.95,9.95,9.70,9.70
2,1,Makenna Smith,Utah,UB,9.900,,,,,,,2/13/2026,Utah vs BYU,10.00,10.00,9.95,9.85
2,2,Clara Raposo,Utah,UB,9.875,,,,,,,2/13/2026,Utah vs BYU,10.00,10.00,9.85,9.90
2,3,Abbi Ryssman,Utah,UB,9.925,,,,,,,2/13/2026,Utah vs BYU,10.00,10.00,9.95,9.90
2,4,Ella Zirbes,Utah,UB,9.975,,,,,,,2/13/2026,Utah vs BYU,10.00,10.00,9.95,10.00
2,5,Ana Padurariu,Utah,UB,9.950,,,,,,,2/13/2026,Utah vs BYU,10.00,10.00,9.95,9.95
2,6,Avery Neff,Utah,UB,10.000,,,,,,,2/13/2026,Utah vs BYU,10.00,10.00,10.00,10.00
