Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,D,E1,E2
1,1,Adam Lakomy,Michigan,FX,13.400,5.1,8.400,0.1,,,,2/14/2026,Michigan / Springfield / Arizona State,5.1,1.7,1.5
1,2,Eli Osuna,Michigan,FX,13.500,5.0,8.500,,,,,2/14/2026,Michigan / Springfield / Arizona State,5.0,1.4,1.6
1,3,Landen Blixt,Michigan,FX,13.050,4.7,8.650,0.3,,,,2/14/2026,Michigan / Springfield / Arizona State,4.7,1.4,1.3
1,4,Charlie Larson,Michigan,FX,14.100,5.5,8.900,0.3,,,,2/14/2026,Michigan / Springfield / Arizona State,5.5,1.2,1.0
1,1,Joshua Szitanko,Springfield,FX,11.850,4.4,7.450,,,,,2/14/2026,Michigan / Springfield / Arizona State,4.4,2.7,2.4
1,2,Will Wilson,Springfield,FX,13.650,4.9,8.750,,,Y,Y,2/14/2026,Michigan / Springfield / Arizona State,4.9,1.3,1.2
1,3,Michael Dalton,Springfield,FX,12.750,4.4,8.350,,,,,2/14/2026,Michigan / Springfield / Arizona State,4.4,1.5,1.8
1,4,Evan Reichert,Springfield,FX,13.900,4.6,9.200,,0.1,,,2/14/2026,Michigan / Springfield / Arizona State,4.6,0.9,0.7
1,1,Will Kinnick,Arizona State,FX,11.300,4.2,7.400,0.3,,,,2/14/2026,Michigan / Springfield / Arizona State,4.2,2.7,2.5
1,2,Ronan Sebold,Arizona State,FX,12.300,3.8,8.800,0.3,,,,2/14/2026,Michigan / Springfield / Arizona State,3.8,1.3,1.1
1,3,Nicky Franz,Arizona State,FX,13.100,4.7,8.400,,,,,2/14/2026,Michigan / Springfield / Arizona State,4.7,1.6,1.6
1,4,William Howard,Arizona State,FX,12.450,4.2,8.250,,,,,2/14/2026,Michigan / Springfield / Arizona State,4.2,1.6,1.9
1,5,Izaiha Mlay,Arizona State,FX,13.350,4.2,9.250,0.1,,,,2/14/2026,Michigan / Springfield / Arizona State,4.2,0.8,0.7
2,1,Zach Granados,Michigan,PH,13.400,5.2,8.200,,,,,2/14/2026,Michigan / Springfield / Arizona State,5.2,1.9,1.7
2,2,Jake Islam,Michigan,PH,12.450,4.4,8.050,,,,,2/14/2026,Michigan / Springfield / Arizona State,4.4,1.9,2.0
2,3,Landen Blixt,Michigan,PH,13.800,5.2,8.600,,,,,2/14/2026,Michigan / Springfield / Arizona State,5.2,1.6,1.2
2,4,Aaronson Mansberger,Michigan,PH,13.850,6.0,7.850,,,,,2/14/2026,Michigan / Springfield / Arizona State,6.0,2.2,2.1
2,1,Evan Reichert,Springfield,PH,10.950,4.1,6.850,,,,,2/14/2026,Michigan / Springfield / Arizona State,4.1,3.3,3.0
2,2,Nolan Prim,Springfield,PH,12.200,3.6,8.600,,,,,2/14/2026,Michigan / Springfield / Arizona State,3.6,1.5,1.3
2,3,Devon Felsenstein,Springfield,PH,11.750,4.4,7.350,,,,,2/14/2026,Michigan / Springfield / Arizona State,4.4,2.7,2.6
2,4,Peyton Cramer,Springfield,PH,12.650,4.4,8.250,,,,,2/14/2026,Michigan / Springfield / Arizona State,4.4,1.9,1.6
2,1,Nicky Franz,Arizona State,PH,11.900,4.1,7.800,,,,,2/14/2026,Michigan / Springfield / Arizona State,4.1,2.1,2.3
2,2,"Samuel Walker, Jr",Arizona State,PH,12.300,5.0,7.300,,,,,2/14/2026,Michigan / Springfield / Arizona State,5.0,2.7,2.7
2,3,Aidan Myers,Arizona State,PH,12.800,4.7,8.100,,,,,2/14/2026,Michigan / Springfield / Arizona State,4.7,2.0,1.8
2,4,Mark Davis,Arizona State,PH,12.300,4.8,7.500,,,,,2/14/2026,Michigan / Springfield / Arizona State,4.8,2.7,2.3
2,5,Izaiha Mlay,Arizona State,PH,10.400,4.6,5.800,,,,,2/14/2026,Michigan / Springfield / Arizona State,4.6,4.4,4.0
3,1,Carson Eshleman,Michigan,SR,13.100,4.0,9.100,,,,,2/14/2026,Michigan / Springfield / Arizona State,4.0,1.0,0.8
3,2,Robert Noll,Michigan,SR,13.300,4.3,9.000,,,,,2/14/2026,Michigan / Springfield / Arizona State,4.3,1.1,0.9
3,3,Pierce Wolfgang,Michigan,SR,12.150,3.9,8.250,,,,,2/14/2026,Michigan / Springfield / Arizona State,3.9,1.7,1.8
3,4,Will Young,Michigan,SR,13.350,4.7,8.650,,,,,2/14/2026,Michigan / Springfield / Arizona State,4.7,1.3,1.4
3,1,Will Wilson,Springfield,SR,12.600,3.9,8.700,,,,,2/14/2026,Michigan / Springfield / Arizona State,3.9,1.3,1.3
3,2,Cameron Rhymes,Springfield,SR,11.450,3.2,8.250,,,,,2/14/2026,Michigan / Springfield / Arizona State,3.2,1.8,1.7
3,3,Brian Delf,Springfield,SR,13.250,3.8,9.350,,0.1,,,2/14/2026,Michigan / Springfield / Arizona State,3.8,0.6,0.7
3,4,Blaise Rousseau,Springfield,SR,13.850,4.8,9.050,,,,,2/14/2026,Michigan / Springfield / Arizona State,4.8,1.0,0.9
3,1,Hunter Flechsig,Arizona State,SR,12.200,3.7,8.500,,,,,2/14/2026,Michigan / Springfield / Arizona State,3.7,1.4,1.6
3,2,"Samuel Walker, Jr",Arizona State,SR,12.450,3.8,8.650,,,,,2/14/2026,Michigan / Springfield / Arizona State,3.8,1.4,1.3
3,3,William Howard,Arizona State,SR,11.050,3.3,7.750,,,,,2/14/2026,Michigan / Springfield / Arizona State,3.3,2.1,2.4
3,4,Nicky Franz,Arizona State,SR,12.800,4.3,8.500,,,,,2/14/2026,Michigan / Springfield / Arizona State,4.3,1.6,1.4
3,5,Izaiha Mlay,Arizona State,SR,12.200,3.7,8.500,,,,,2/14/2026,Michigan / Springfield / Arizona State,3.7,1.5,1.5
4,1,Charlie Larson,Michigan,VT,14.200,4.8,9.400,,,,,2/14/2026,Michigan / Springfield / Arizona State,4.8,0.6,0.6
4,2,Adam Lakomy,Michigan,VT,14.050,4.8,9.250,,,,,2/14/2026,Michigan / Springfield / Arizona State,4.8,0.8,0.7
4,3,Chase Pappas,Michigan,VT,14.050,4.8,9.250,,,,,2/14/2026,Michigan / Springfield / Arizona State,4.8,0.7,0.8
4,4,Robert Noll,Michigan,VT,13.750,4.8,8.950,,,,,2/14/2026,Michigan / Springfield / Arizona State,4.8,1.0,1.1
4,1,Will Wilson,Springfield,VT,13.400,4.4,9.000,,,,,2/14/2026,Michigan / Springfield / Arizona State,4.4,1.0,1.0
4,2,Joshua Szitanko,Springfield,VT,13.350,4.4,8.950,,,,,2/14/2026,Michigan / Springfield / Arizona State,4.4,1.1,1.0
4,3,Michael Dalton,Springfield,VT,13.450,4.4,9.050,,,,,2/14/2026,Michigan / Springfield / Arizona State,4.4,1.0,0.9
4,4,Evan Reichert,Springfield,VT,13.600,4.4,9.200,,,,,2/14/2026,Michigan / Springfield / Arizona State,4.4,0.8,0.8
4,1,Ronan Sebold,Arizona State,VT,13.700,4.4,9.200,,0.1,,,2/14/2026,Michigan / Springfield / Arizona State,4.4,0.9,0.7
4,2,Brendan Friele,Arizona State,VT,13.250,4.4,8.850,,,,,2/14/2026,Michigan / Springfield / Arizona State,4.4,1.0,1.3
