Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Aaliyah Krause,RIC,VT,9.575,,,,,,,2/14/2026,RIC vs Springfield,9.80,9.80,9.60,9.55
1,2,Ivy Jimenez,RIC,VT,9.475,,,,,,,2/14/2026,RIC vs Springfield,9.75,9.75,9.50,9.45
1,3,Emily Voss,RIC,VT,9.475,,,,,,,2/14/2026,RIC vs Springfield,9.75,9.75,9.45,9.50
1,4,Mila Beckhom,RIC,VT,9.650,,,,,,,2/14/2026,RIC vs Springfield,9.95,9.95,9.75,9.55
1,5,Molly Pompeii,RIC,VT,9.650,,,,,,,2/14/2026,RIC vs Springfield,9.95,9.95,9.70,9.60
1,6,Payton Greene,RIC,VT,9.650,,,,,,,2/14/2026,RIC vs Springfield,9.90,9.90,9.70,9.60
1,7,Hannah Radcliff,RIC,VT,9.300,,,,,,,2/14/2026,RIC vs Springfield,9.75,9.75,9.25,9.35
1,1,Claire Geiger,Springfield,VT,9.350,,,,,,,2/14/2026,RIC vs Springfield,9.75,9.75,9.35,9.35
1,2,Reagan Charlton,Springfield,VT,9.500,,,,,,,2/14/2026,RIC vs Springfield,9.75,9.75,9.45,9.55
1,3,Sophie Dunham,Springfield,VT,9.425,,,,,,,2/14/2026,RIC vs Springfield,9.80,9.80,9.45,9.40
1,4,Kora Donley,Springfield,VT,9.450,,,,,,,2/14/2026,RIC vs Springfield,9.75,9.75,9.50,9.40
1,5,Sage Kaplan,Springfield,VT,9.500,,,,,,,2/14/2026,RIC vs Springfield,9.75,9.75,9.45,9.55
1,6,Stacy Taylor,Springfield,VT,9.550,,,,,,,2/14/2026,RIC vs Springfield,9.80,9.80,9.55,9.55
1,7,Brianna Cassin,Springfield,VT,9.400,,,,,,,2/14/2026,RIC vs Springfield,9.80,9.80,9.40,9.40
1,8,Paige Rossi,Springfield,VT,8.600,,,,,,,2/14/2026,RIC vs Springfield,9.90,9.90,8.70,8.50
2,1,Payton Greene,RIC,UB,9.100,,,,,,,2/14/2026,RIC vs Springfield,9.90,9.90,9.10,9.10
2,2,Presley Cuen,RIC,UB,8.000,,,,,,,2/14/2026,RIC vs Springfield,9.80,9.80,8.00,8.00
2,3,Payton Smith,RIC,UB,9.200,,,,,,,2/14/2026,RIC vs Springfield,9.90,9.90,9.20,9.20
2,4,Elizabeth Hoyos,RIC,UB,9.150,,,,,,,2/14/2026,RIC vs Springfield,10.00,9.90,9.30,9.00
2,5,Aaliyah Krause,RIC,UB,9.250,,,,,,,2/14/2026,RIC vs Springfield,10.00,10.00,9.40,9.10
2,6,Abigail Bunch,RIC,UB,9.500,,,,,,,2/14/2026,RIC vs Springfield,10.00,10.00,9.45,9.55
2,7,Ana Pepin,RIC,UB,8.900,,,,,,,2/14/2026,RIC vs Springfield,9.70,9.70,8.90,8.90
2,8,Lilly Hunt,RIC,UB,9.050,,,,,,,2/14/2026,RIC vs Springfield,9.90,9.80,9.00,9.10
2,1,Claire Geiger,Springfield,UB,7.275,,,,,,,2/14/2026,RIC vs Springfield,9.60,9.60,7.35,7.20
2,2,Sage Kaplan,Springfield,UB,8.950,,,,,,,2/14/2026,RIC vs Springfield,9.70,9.70,9.00,8.90
2,3,Liz Lehan,Springfield,UB,8.725,,,,,,Y,2/14/2026,RIC vs Springfield,9.90,9.90,8.70,8.75
2,4,Sydney Bendick,Springfield,UB,8.350,,,,,,,2/14/2026,RIC vs Springfield,9.60,9.60,8.50,8.20
2,5,Nicolette Giogas,Springfield,UB,8.075,,,,,,,2/14/2026,RIC vs Springfield,9.60,9.40,8.05,8.10
2,6,Emma Skowronek,Springfield,UB,7.550,,,,,,Y,2/14/2026,RIC vs Springfield,9.60,9.60,7.60,7.50
2,7,Taylor Fewins,Springfield,UB,7.975,,,,,,,2/14/2026,RIC vs Springfield,9.80,9.90,7.90,8.05
2,8,Sophie Dunham,Springfield,UB,7.450,,,,,,,2/14/2026,RIC vs Springfield,8.80,8.90,7.40,7.50
3,1,Ivy Jimenez,RIC,BB,9.350,,,,,,,2/14/2026,RIC vs Springfield,10.00,10.00,9.20,9.50
3,2,Payton Greene,RIC,BB,9.450,,,,,,,2/14/2026,RIC vs Springfield,10.00,10.00,9.55,9.35
3,3,Abigail Bunch,RIC,BB,9.550,,,,,,,2/14/2026,RIC vs Springfield,10.00,10.00,9.55,9.55
