Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Haley Fitzgerald,SCSU,VT,9.525,,,,,,,2/15/2026,SCSU vs Bridgeport,9.75,9.75,9.55,9.50
1,2,Libby Allen,SCSU,VT,9.600,,,,,,,2/15/2026,SCSU vs Bridgeport,9.90,9.90,9.60,9.60
1,3,Ava Kelly,SCSU,VT,9.625,,,,,,,2/15/2026,SCSU vs Bridgeport,9.90,9.90,9.55,9.70
1,4,Hannah Fitzgerald,SCSU,VT,9.700,,,,,,,2/15/2026,SCSU vs Bridgeport,9.90,9.90,9.70,9.70
1,5,Lola Sepulveda,SCSU,VT,8.750,,,,,,,2/15/2026,SCSU vs Bridgeport,9.60,9.60,8.90,8.60
1,6,Jordan Villani,SCSU,VT,9.700,,,,,,,2/15/2026,SCSU vs Bridgeport,9.95,9.95,9.75,9.65
1,7,Autumn Everett,SCSU,VT,9.600,,,,,,,2/15/2026,SCSU vs Bridgeport,9.90,9.90,9.65,9.55
1,1,Tamyra Singletary,Bridgeport,VT,9.525,,,,,,,2/15/2026,SCSU vs Bridgeport,9.90,9.90,9.55,9.50
1,2,Lena Coxon,Bridgeport,VT,9.575,,,,,,,2/15/2026,SCSU vs Bridgeport,9.90,9.90,9.55,9.60
1,3,Emily Hernandez,Bridgeport,VT,8.900,,,,,,,2/15/2026,SCSU vs Bridgeport,9.95,9.95,9.10,8.70
1,4,Brooklyn Weingardt,Bridgeport,VT,9.775,,,,,,,2/15/2026,SCSU vs Bridgeport,9.95,9.95,9.80,9.75
1,5,Abigail Kenney,Bridgeport,VT,9.825,,,,,,,2/15/2026,SCSU vs Bridgeport,9.95,9.95,9.85,9.80
1,6,Nova Staruk,Bridgeport,VT,9.850,,,,,,,2/15/2026,SCSU vs Bridgeport,10.00,10.00,9.85,9.85
1,7,Marisa Schlossman,Bridgeport,VT,9.650,,,,,,,2/15/2026,SCSU vs Bridgeport,9.80,9.80,9.65,9.65
1,8,Rae Solis,Bridgeport,VT,9.350,,,,,,,2/15/2026,SCSU vs Bridgeport,9.70,9.75,9.35,9.35
2,1,Zoe Axell,SCSU,UB,9.575,,,,,,,2/15/2026,SCSU vs Bridgeport,10.00,10.00,9.50,9.65
2,2,Jordan Villani,SCSU,UB,8.475,,,,,,,2/15/2026,SCSU vs Bridgeport,9.30,9.30,8.55,8.40
2,3,Lola Sepulveda,SCSU,UB,9.625,,,,,,,2/15/2026,SCSU vs Bridgeport,10.00,10.00,9.55,9.70
2,4,Gabriela Dinisoe,SCSU,UB,9.650,,,,,,,2/15/2026,SCSU vs Bridgeport,9.90,9.90,9.70,9.60
2,5,Hannah Fitzgerald,SCSU,UB,9.525,,,,,,,2/15/2026,SCSU vs Bridgeport,9.90,10.00,9.55,9.50
2,6,Grace Christensen,SCSU,UB,9.450,,,,,,,2/15/2026,SCSU vs Bridgeport,9.90,10.00,9.40,9.50
2,7,Megan Skinner,SCSU,UB,9.175,,,,,,,2/15/2026,SCSU vs Bridgeport,9.90,9.90,9.15,9.20
2,1,Rae Solis,Bridgeport,UB,9.650,,,,,,,2/15/2026,SCSU vs Bridgeport,10.00,10.00,9.55,9.75
2,2,Delphine Desjardins,Bridgeport,UB,9.650,,,,,,,2/15/2026,SCSU vs Bridgeport,10.00,10.00,9.65,9.65
2,3,Emily Hernandez,Bridgeport,UB,9.650,,,,,,,2/15/2026,SCSU vs Bridgeport,10.00,10.00,9.60,9.70
2,4,Nicole Pujals,Bridgeport,UB,9.650,,,,,,,2/15/2026,SCSU vs Bridgeport,10.00,10.00,9.70,9.60
2,5,Samantha Nokes,Bridgeport,UB,9.750,,,,,,,2/15/2026,SCSU vs Bridgeport,10.00,10.00,9.75,9.75
2,6,Abigail Kenney,Bridgeport,UB,9.800,,,,,,,2/15/2026,SCSU vs Bridgeport,10.00,10.00,9.80,9.80
2,7,Georgia Reed,Bridgeport,UB,8.350,,,,,,,2/15/2026,SCSU vs Bridgeport,9.60,9.60,8.20,8.50
2,8,Gabrielle Lamb,Bridgeport,UB,8.625,,,,,,,2/15/2026,SCSU vs Bridgeport,9.70,9.50,8.75,8.50
3,1,Angelina Stanfa,SCSU,BB,9.550,,,,,,,2/15/2026,SCSU vs Bridgeport,10.00,10.00,9.60,9.50
3,2,Lola Sepulveda,SCSU,BB,9.550,,,,,,,2/15/2026,SCSU vs Bridgeport,10.00,10.00,9.50,9.60
3,3,Libby Allen,SCSU,BB,9.375,,,,,,,2/15/2026,SCSU vs Bridgeport,9.90,10.00,9.25,9.50
3,4,Maria Chronopoulos,SCSU,BB,9.575,,,,,,,2/15/2026,SCSU vs Bridgeport,10.00,10.00,9.55,9.60
3,5,Gabriela Dinisoe,SCSU,BB,9.050,,,,,,,2/15/2026,SCSU vs Bridgeport,9.90,10.00,9.00,9.10
3,6,Maria Damiano,SCSU,BB,9.700,,,,,,,2/15/2026,SCSU vs Bridgeport,10.00,10.00,9.70,9.70
3,7,Charlie Manzano,SCSU,BB,7.850,,,,,,,2/15/2026,SCSU vs Bridgeport,9.70,9.70,7.70,8.00
3,1,Samantha Krenzel,Bridgeport,BB,9.600,,,,,,,2/15/2026,SCSU vs Bridgeport,9.80,10.00,9.55,9.65
3,2,Emily Hernandez,Bridgeport,BB,9.650,,,,,,,2/15/2026,SCSU vs Bridgeport,9.90,10.00,9.65,9.65
3,3,Molly McAleavey,Bridgeport,BB,9.700,,,,,,,2/15/2026,SCSU vs Bridgeport,10.00,10.00,9.70,9.70
3,4,Xiomara Jennings,Bridgeport,BB,9.625,,,,,,,2/15/2026,SCSU vs Bridgeport,10.00,10.00,9.55,9.70
3,5,Abigail Kenney,Bridgeport,BB,9.775,,,,,,,2/15/2026,SCSU vs Bridgeport,10.00,10.00,9.75,9.80
3,6,Rian Thompkins,Bridgeport,BB,9.775,,,,,,,2/15/2026,SCSU vs Bridgeport,10.00,10.00,9.75,9.80
3,7,Brooklyn Weingardt,Bridgeport,BB,9.450,,,,,,,2/15/2026,SCSU vs Bridgeport,10.00,10.00,9.45,9.45
3,8,Georgia Reed,Bridgeport,BB,9.125,,,,,,,2/15/2026,SCSU vs Bridgeport,9.80,9.80,9.05,9.20
4,1,Angelina Stanfa,SCSU,FX,9.675,,,,,,,2/15/2026,SCSU vs Bridgeport,10.00,10.00,9.70,9.65
4,2,Libby Allen,SCSU,FX,9.700,,,,,,,2/15/2026,SCSU vs Bridgeport,10.00,10.00,9.70,9.70
4,3,Ava Kelly,SCSU,FX,9.750,,,,,,,2/15/2026,SCSU vs Bridgeport,10.00,10.00,9.70,9.80
4,4,Zoe Axell,SCSU,FX,9.725,,,,,,,2/15/2026,SCSU vs Bridgeport,10.00,10.00,9.75,9.70
4,5,Lola Sepulveda,SCSU,FX,9.775,,,,,,,2/15/2026,SCSU vs Bridgeport,10.00,10.00,9.80,9.75
4,6,Abby Royer,SCSU,FX,9.850,,,,,,,2/15/2026,SCSU vs Bridgeport,10.00,10.00,9.85,9.85
4,1,Tamyra Singletary,Bridgeport,FX,8.975,,,0.1,,,,2/15/2026,SCSU vs Bridgeport,9.90,9.90,9.10,9.05
4,2,Skyler Vulchev,Bridgeport,FX,9.700,,,,,,,2/15/2026,SCSU vs Bridgeport,10.00,10.00,9.65,9.75
4,3,Nova Staruk,Bridgeport,FX,9.800,,,,,,,2/15/2026,SCSU vs Bridgeport,10.00,10.00,9.85,9.75
4,4,Margaret Coyle,Bridgeport,FX,9.600,,,0.1,,,,2/15/2026,SCSU vs Bridgeport,10.00,10.00,9.70,9.70
4,5,Abigail Kenney,Bridgeport,FX,8.925,,,,,,,2/15/2026,SCSU vs Bridgeport,9.70,9.70,8.90,8.95
4,6,Emily Hernandez,Bridgeport,FX,8.975,,,,,,,2/15/2026,SCSU vs Bridgeport,9.80,9.80,8.85,9.10
4,7,Samantha Krenzel,Bridgeport,FX,9.625,,,0.1,,,,2/15/2026,SCSU vs Bridgeport,10.00,10.00,9.75,9.70
4,8,Madelyn Viles,Bridgeport,FX,9.650,,,,,,,2/15/2026,SCSU vs Bridgeport,10.00,10.00,9.55,9.75
