Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Keira Thornton,Bowling Green,VT,9.675,,,,,,,2/15/2026,Bowling Green vs NIU,9.95,9.95,9.65,9.70
1,2,Emily Gianfrancesco,Bowling Green,VT,9.750,,,,,,,2/15/2026,Bowling Green vs NIU,9.95,9.95,9.75,9.75
1,3,Madison Coburn,Bowling Green,VT,9.700,,,,,,,2/15/2026,Bowling Green vs NIU,9.95,9.95,9.75,9.65
1,4,Megan Dzialo,Bowling Green,VT,9.675,,,,,,,2/15/2026,Bowling Green vs NIU,9.95,9.95,9.70,9.65
1,5,Teegan Milligan,Bowling Green,VT,9.525,,,,,,,2/15/2026,Bowling Green vs NIU,9.75,9.75,9.55,9.50
1,6,Natasha Lopez,Bowling Green,VT,9.450,,,,,,,2/15/2026,Bowling Green vs NIU,9.95,9.95,9.40,9.50
1,1,Samantha Nickle,NIU,VT,9.725,,,,,,,2/15/2026,Bowling Green vs NIU,9.95,9.95,9.75,9.70
1,2,Jocelyn Harbeck,NIU,VT,9.800,,,,,,,2/15/2026,Bowling Green vs NIU,9.95,9.95,9.80,9.80
1,3,Drake White,NIU,VT,9.700,,,,,,,2/15/2026,Bowling Green vs NIU,9.95,9.95,9.75,9.65
1,4,Audrey Brenner,NIU,VT,9.775,,,,,,,2/15/2026,Bowling Green vs NIU,9.95,9.95,9.80,9.75
1,5,Dawsyn Sallee,NIU,VT,9.850,,,,,,,2/15/2026,Bowling Green vs NIU,9.95,9.95,9.85,9.85
1,6,Mikayla Brown,NIU,VT,9.575,,,,,,,2/15/2026,Bowling Green vs NIU,9.95,9.95,9.55,9.60
1,7,Deziray Boykin,NIU,VT,8.800,,,,,,,2/15/2026,Bowling Green vs NIU,9.80,9.80,8.70,8.90
2,1,Megan Dzialo,Bowling Green,UB,9.775,,,,,,,2/15/2026,Bowling Green vs NIU,10.00,10.00,9.80,9.75
2,2,Natasha Lopez,Bowling Green,UB,9.275,,,,,,,2/15/2026,Bowling Green vs NIU,9.90,9.90,9.20,9.35
2,3,Addie Tandeski,Bowling Green,UB,9.625,,,,,,,2/15/2026,Bowling Green vs NIU,10.00,10.00,9.65,9.60
2,4,Kayla Shaw,Bowling Green,UB,9.725,,,,,,,2/15/2026,Bowling Green vs NIU,10.00,10.00,9.70,9.75
2,5,Keira Thornton,Bowling Green,UB,9.675,,,,,,,2/15/2026,Bowling Green vs NIU,10.00,10.00,9.60,9.75
2,6,Nadia Parente,Bowling Green,UB,9.600,,,,,,,2/15/2026,Bowling Green vs NIU,10.00,10.00,9.65,9.55
2,7,Teegan Milligan,Bowling Green,UB,9.575,,,,,,,2/15/2026,Bowling Green vs NIU,10.00,10.00,9.65,9.50
2,1,Avery Riiff,NIU,UB,9.350,,,,,,,2/15/2026,Bowling Green vs NIU,10.00,10.00,9.20,9.50
2,2,Elizabeth Poncin,NIU,UB,9.750,,,,,,,2/15/2026,Bowling Green vs NIU,10.00,10.00,9.70,9.80
2,3,Drake White,NIU,UB,9.400,,,,,,,2/15/2026,Bowling Green vs NIU,10.00,10.00,9.40,9.40
2,4,Maria King,NIU,UB,9.625,,,,,,,2/15/2026,Bowling Green vs NIU,10.00,10.00,9.55,9.70
2,5,Deziray Boykin,NIU,UB,9.525,,,,,,,2/15/2026,Bowling Green vs NIU,10.00,10.00,9.55,9.50
2,6,Makenna Brooks,NIU,UB,9.000,,,,,,,2/15/2026,Bowling Green vs NIU,9.80,9.80,9.00,9.00
2,7,Savannah West,NIU,UB,9.525,,,,,,,2/15/2026,Bowling Green vs NIU,10.00,10.00,9.45,9.60
3,1,Faye Dubin,Bowling Green,BB,9.750,,,,,,,2/15/2026,Bowling Green vs NIU,10.00,10.00,9.70,9.80
3,2,Emily Gianfrancesco,Bowling Green,BB,9.625,,,,,,,2/15/2026,Bowling Green vs NIU,10.00,10.00,9.60,9.65
3,3,Kayla Shaw,Bowling Green,BB,9.775,,,,,,,2/15/2026,Bowling Green vs NIU,10.00,10.00,9.80,9.75
3,4,Keira Thornton,Bowling Green,BB,8.425,,,,,,,2/15/2026,Bowling Green vs NIU,9.70,9.70,8.40,8.45
3,5,Natasha Lopez,Bowling Green,BB,9.600,,,,,,,2/15/2026,Bowling Green vs NIU,10.00,10.00,9.60,9.60
3,6,Madison Coburn,Bowling Green,BB,9.650,,,,,,,2/15/2026,Bowling Green vs NIU,10.00,10.00,9.65,9.65
3,7,Teegan Milligan,Bowling Green,BB,8.825,,,,,,,2/15/2026,Bowling Green vs NIU,9.70,9.70,8.95,8.70
3,1,Isabella Ross,NIU,BB,9.500,,,,,,,2/15/2026,Bowling Green vs NIU,10.00,10.00,9.45,9.55
3,2,Samantha Nickle,NIU,BB,9.700,,,,,,,2/15/2026,Bowling Green vs NIU,10.00,10.00,9.75,9.65
3,3,Jocelyn Harbeck,NIU,BB,9.675,,,,,,,2/15/2026,Bowling Green vs NIU,10.00,9.80,9.70,9.65
3,4,Dawsyn Sallee,NIU,BB,9.550,,,,,,,2/15/2026,Bowling Green vs NIU,10.00,10.00,9.50,9.60
3,5,Deziray Boykin,NIU,BB,9.225,,,,,,,2/15/2026,Bowling Green vs NIU,10.00,10.00,9.25,9.20
3,6,Mikayla Brown,NIU,BB,9.800,,,,,,,2/15/2026,Bowling Green vs NIU,10.00,10.00,9.80,9.80
