Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Lola Montevago,GW: GW / William & Mary / UNH,VT,9.650,,,,,,,2/15/2026,GW / UNH / William & Mary,9.95,9.95,9.70,9.60
1,2,Brooke Izzo,GW: GW / William & Mary / UNH,VT,9.700,,,,,,,2/15/2026,GW / UNH / William & Mary,9.95,9.95,9.75,9.65
1,3,Zoe Safran,GW: GW / William & Mary / UNH,VT,9.775,,,,,,,2/15/2026,GW / UNH / William & Mary,9.95,9.95,9.80,9.75
1,4,Alexia Zakaryan,GW: GW / William & Mary / UNH,VT,9.725,,,,,,,2/15/2026,GW / UNH / William & Mary,9.95,9.95,9.75,9.70
1,5,Alison Mun,GW: GW / William & Mary / UNH,VT,9.750,,,,,,,2/15/2026,GW / UNH / William & Mary,9.95,9.95,9.70,9.80
1,6,Deana Sheremeta,GW: GW / William & Mary / UNH,VT,9.825,,,,,,,2/15/2026,GW / UNH / William & Mary,9.95,9.95,9.80,9.85
1,1,McCall McMullen,UNH: GW / William & Mary / UNH,VT,9.825,,,,,,,2/15/2026,GW / UNH / William & Mary,9.95,9.95,9.85,9.80
1,2,Amelia Lannon,UNH: GW / William & Mary / UNH,VT,9.750,,,,,,,2/15/2026,GW / UNH / William & Mary,10.00,10.00,9.80,9.70
1,3,Serena Mullin,UNH: GW / William & Mary / UNH,VT,9.725,,,,,,,2/15/2026,GW / UNH / William & Mary,9.95,9.95,9.75,9.70
1,4,Mady Harvey,UNH: GW / William & Mary / UNH,VT,9.675,,,,,,,2/15/2026,GW / UNH / William & Mary,9.95,9.95,9.70,9.65
1,5,Gwen Ockerbloom,UNH: GW / William & Mary / UNH,VT,9.825,,,,,,,2/15/2026,GW / UNH / William & Mary,9.95,9.95,9.80,9.85
1,6,Stacy Boss,UNH: GW / William & Mary / UNH,VT,9.350,,,,,,,2/15/2026,GW / UNH / William & Mary,10.00,10.00,9.30,9.40
1,1,Ashley Ruedy,William & Mary: GW / William & Mary / UNH,VT,9.500,,,,,,,2/15/2026,GW / UNH / William & Mary,9.75,9.75,9.40,9.60
1,2,Catherine Bare,William & Mary: GW / William & Mary / UNH,VT,9.650,,,,,,,2/15/2026,GW / UNH / William & Mary,9.95,9.95,9.65,9.65
1,3,Sally Wood,William & Mary: GW / William & Mary / UNH,VT,9.250,,,,,,,2/15/2026,GW / UNH / William & Mary,9.90,9.90,9.15,9.35
1,4,Sophia Summers,William & Mary: GW / William & Mary / UNH,VT,9.600,,,,,,,2/15/2026,GW / UNH / William & Mary,9.95,9.95,9.65,9.55
1,5,Hannah Burke,William & Mary: GW / William & Mary / UNH,VT,9.600,,,,,,,2/15/2026,GW / UNH / William & Mary,9.95,9.95,9.60,9.60
1,6,Addison Pabellon,William & Mary: GW / William & Mary / UNH,VT,9.500,,,,,,,2/15/2026,GW / UNH / William & Mary,9.75,9.75,9.50,9.50
2,1,Maya Peters,GW: GW / William & Mary / UNH,UB,9.200,,,,,,,2/15/2026,GW / UNH / William & Mary,10.00,10.00,9.10,9.30
2,2,Sophia Tyeryar,GW: GW / William & Mary / UNH,UB,9.525,,,,,,,2/15/2026,GW / UNH / William & Mary,10.00,10.00,9.45,9.60
2,3,Deana Sheremeta,GW: GW / William & Mary / UNH,UB,9.775,,,,,,,2/15/2026,GW / UNH / William & Mary,10.00,10.00,9.75,9.80
2,4,Lola Montevago,GW: GW / William & Mary / UNH,UB,9.875,,,,,,,2/15/2026,GW / UNH / William & Mary,10.00,10.00,9.85,9.90
2,5,Aspen Tucker,GW: GW / William & Mary / UNH,UB,9.725,,,,,,,2/15/2026,GW / UNH / William & Mary,10.00,10.00,9.70,9.75
2,6,Zoe Safran,GW: GW / William & Mary / UNH,UB,9.675,,,,,,,2/15/2026,GW / UNH / William & Mary,9.90,10.00,9.60,9.75
2,1,Gwen Ockerbloom,UNH: GW / William & Mary / UNH,UB,9.675,,,,,,,2/15/2026,GW / UNH / William & Mary,10.00,10.00,9.75,9.60
2,2,Mady Harvey,UNH: GW / William & Mary / UNH,UB,9.725,,,,,,,2/15/2026,GW / UNH / William & Mary,10.00,10.00,9.70,9.75
2,3,Peyton Novinger,UNH: GW / William & Mary / UNH,UB,9.825,,,,,,,2/15/2026,GW / UNH / William & Mary,10.00,10.00,9.80,9.85
2,4,Zoe Arthur,UNH: GW / William & Mary / UNH,UB,9.725,,,,,,,2/15/2026,GW / UNH / William & Mary,10.00,10.00,9.65,9.80
2,5,Serena Mullin,UNH: GW / William & Mary / UNH,UB,9.750,,,,,,,2/15/2026,GW / UNH / William & Mary,10.00,10.00,9.75,9.75
2,6,Leah Moreno,UNH: GW / William & Mary / UNH,UB,9.800,,,,,,,2/15/2026,GW / UNH / William & Mary,10.00,10.00,9.75,9.85
2,7,Poulina Minaev,UNH: GW / William & Mary / UNH,UB,9.700,,,,,,,2/15/2026,GW / UNH / William & Mary,10.00,10.00,9.70,9.70
2,1,Ascha Laird,William & Mary: GW / William & Mary / UNH,UB,9.750,,,,,,,2/15/2026,GW / UNH / William & Mary,10.00,10.00,9.65,9.85
2,2,Kate Peebles,William & Mary: GW / William & Mary / UNH,UB,9.600,,,,,,,2/15/2026,GW / UNH / William & Mary,10.00,10.00,9.60,9.60
2,3,Melissa Gao,William & Mary: GW / William & Mary / UNH,UB,7.450,,,,,,,2/15/2026,GW / UNH / William & Mary,9.60,9.70,7.00,7.90
2,4,Michelle Ngo,William & Mary: GW / William & Mary / UNH,UB,9.750,,,,,,,2/15/2026,GW / UNH / William & Mary,10.00,10.00,9.70,9.80
2,5,Catherine Bare,William & Mary: GW / William & Mary / UNH,UB,9.725,,,,,,,2/15/2026,GW / UNH / William & Mary,10.00,10.00,9.70,9.75
2,6,Addison Pabellon,William & Mary: GW / William & Mary / UNH,UB,9.050,,,,,,,2/15/2026,GW / UNH / William & Mary,9.90,9.90,9.00,9.10
2,7,Brynn Vetrano,William & Mary: GW / William & Mary / UNH,UB,9.525,,,,,,,2/15/2026,GW / UNH / William & Mary,9.90,9.90,9.55,9.50
3,1,Lola Montevago,GW: GW / William & Mary / UNH,BB,9.825,,,,,,,2/15/2026,GW / UNH / William & Mary,10.00,10.00,9.80,9.85
3,2,Brooke Izzo,GW: GW / William & Mary / UNH,BB,9.850,,,,,,,2/15/2026,GW / UNH / William & Mary,10.00,10.00,9.80,9.90
3,3,Maya Peters,GW: GW / William & Mary / UNH,BB,8.800,,,,,,,2/15/2026,GW / UNH / William & Mary,9.70,9.70,8.80,8.80
3,4,Aspen Tucker,GW: GW / William & Mary / UNH,BB,8.950,,,,,,,2/15/2026,GW / UNH / William & Mary,9.70,9.70,9.00,8.90
3,5,Nancy Kiner,GW: GW / William & Mary / UNH,BB,8.875,,,,,,,2/15/2026,GW / UNH / William & Mary,9.60,10.00,8.85,8.90
3,6,Deana Sheremeta,GW: GW / William & Mary / UNH,BB,9.700,,,,,,,2/15/2026,GW / UNH / William & Mary,10.00,10.00,9.65,9.75
3,7,Kylie Kazmierski,GW: GW / William & Mary / UNH,BB,8.800,,,,,,,2/15/2026,GW / UNH / William & Mary,9.60,9.60,8.90,8.70
3,1,Amelia Lannon,UNH: GW / William & Mary / UNH,BB,9.550,,,,,,,2/15/2026,GW / UNH / William & Mary,10.00,10.00,9.60,9.50
3,2,Riley Himes,UNH: GW / William & Mary / UNH,BB,9.725,,,,,,,2/15/2026,GW / UNH / William & Mary,10.00,10.00,9.65,9.80
3,3,McCall McMullen,UNH: GW / William & Mary / UNH,BB,9.650,,,,,,,2/15/2026,GW / UNH / William & Mary,10.00,10.00,9.65,9.65
3,4,Gwen Ockerbloom,UNH: GW / William & Mary / UNH,BB,9.750,,,,,,,2/15/2026,GW / UNH / William & Mary,10.00,10.00,9.75,9.75
3,5,Serena Mullin,UNH: GW / William & Mary / UNH,BB,9.275,,,,,,,2/15/2026,GW / UNH / William & Mary,10.00,10.00,9.35,9.20
3,6,Mady Harvey,UNH: GW / William & Mary / UNH,BB,9.850,,,,,,,2/15/2026,GW / UNH / William & Mary,10.00,10.00,9.85,9.85
3,7,Cléante Théorêt,UNH: GW / William & Mary / UNH,BB,9.750,,,,,,,2/15/2026,GW / UNH / William & Mary,10.00,10.00,9.85,9.65
3,1,Summer Penzi,William & Mary: GW / William & Mary / UNH,BB,9.575,,,,,,,2/15/2026,GW / UNH / William & Mary,10.00,10.00,9.60,9.55
3,2,Jasmine Hou,William & Mary: GW / William & Mary / UNH,BB,9.675,,,,,,,2/15/2026,GW / UNH / William & Mary,10.00,10.00,9.70,9.65
3,3,Ashley Ruedy,William & Mary: GW / William & Mary / UNH,BB,8.800,,,,,,,2/15/2026,GW / UNH / William & Mary,9.70,9.60,8.90,8.70
3,4,Sophia Summers,William & Mary: GW / William & Mary / UNH,BB,9.650,,,,,,,2/15/2026,GW / UNH / William & Mary,10.00,10.00,9.60,9.70
3,5,Melanie Faulkner,William & Mary: GW / William & Mary / UNH,BB,9.675,,,,,,,2/15/2026,GW / UNH / William & Mary,10.00,10.00,9.70,9.65
3,6,Olivia Mile,William & Mary: GW / William & Mary / UNH,BB,9.400,,,,,,,2/15/2026,GW / UNH / William & Mary,9.90,9.90,9.40,9.40
3,7,Melissa Gao,William & Mary: GW / William & Mary / UNH,BB,8.600,,,,,,,2/15/2026,GW / UNH / William & Mary,9.40,9.90,8.30,8.90
4,1,Kylie Kazmierski,GW: GW / William & Mary / UNH,FX,9.700,,,,,,,2/15/2026,GW / UNH / William & Mary,10.00,10.00,9.70,9.70
4,2,Aspen Tucker,GW: GW / William & Mary / UNH,FX,9.425,,,,,,,2/15/2026,GW / UNH / William & Mary,9.90,9.90,9.40,9.45
4,3,Catherine O'Rourke,GW: GW / William & Mary / UNH,FX,9.725,,,,,,,2/15/2026,GW / UNH / William & Mary,10.00,10.00,9.75,9.70
4,4,Lola Montevago,GW: GW / William & Mary / UNH,FX,9.725,,,,,,,2/15/2026,GW / UNH / William & Mary,10.00,10.00,9.75,9.70
4,5,Maya Peters,GW: GW / William & Mary / UNH,FX,9.825,,,,,,,2/15/2026,GW / UNH / William & Mary,10.00,10.00,9.80,9.85
4,6,Deana Sheremeta,GW: GW / William & Mary / UNH,FX,9.875,,,,,,,2/15/2026,GW / UNH / William & Mary,10.00,10.00,9.90,9.85
4,1,Riley Himes,UNH: GW / William & Mary / UNH,FX,9.425,,,,,,,2/15/2026,GW / UNH / William & Mary,10.00,10.00,9.50,9.35
4,2,Stacy Boss,UNH: GW / William & Mary / UNH,FX,9.550,,,,,,,2/15/2026,GW / UNH / William & Mary,10.00,10.00,9.50,9.60
4,3,Gwen Ockerbloom,UNH: GW / William & Mary / UNH,FX,9.725,,,,,,,2/15/2026,GW / UNH / William & Mary,10.00,10.00,9.70,9.75
4,4,McCall McMullen,UNH: GW / William & Mary / UNH,FX,9.775,,,,,,,2/15/2026,GW / UNH / William & Mary,10.00,10.00,9.75,9.80
4,5,Poulina Minaev,UNH: GW / William & Mary / UNH,FX,9.775,,,,,,,2/15/2026,GW / UNH / William & Mary,10.00,10.00,9.75,9.80
