Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Avah Reichow,UC Davis,VT,9.700,,,,,,,2/20/2026,UC Davis vs William & Mary,9.95,9.95,9.75,9.65
1,2,Sierra Muns,UC Davis,VT,9.625,,,,,,,2/20/2026,UC Davis vs William & Mary,9.95,9.95,9.65,9.60
1,3,Alana Kim,UC Davis,VT,9.725,,,,,,,2/20/2026,UC Davis vs William & Mary,9.95,9.95,9.75,9.70
1,4,Chloe Gann,UC Davis,VT,9.500,,,,,,,2/20/2026,UC Davis vs William & Mary,9.95,9.95,9.50,9.50
1,5,Amelia Moneymaker,UC Davis,VT,9.675,,,,,,,2/20/2026,UC Davis vs William & Mary,9.95,9.95,9.70,9.65
1,6,Avery Marshall,UC Davis,VT,9.275,,,,,,,2/20/2026,UC Davis vs William & Mary,9.75,9.75,9.30,9.25
1,1,Addison Pabellon,William & Mary,VT,9.525,,,,,,,2/20/2026,UC Davis vs William & Mary,9.75,9.75,9.50,9.55
1,2,Michelle Ngo,William & Mary,VT,9.450,,,,,,,2/20/2026,UC Davis vs William & Mary,9.75,9.75,9.50,9.40
1,3,Catherine Bare,William & Mary,VT,9.675,,,,,,,2/20/2026,UC Davis vs William & Mary,9.95,9.95,9.70,9.65
1,4,Hannah Burke,William & Mary,VT,9.550,,,,,,,2/20/2026,UC Davis vs William & Mary,9.95,9.95,9.60,9.50
1,5,Sophia Summers,William & Mary,VT,9.600,,,,,,,2/20/2026,UC Davis vs William & Mary,9.95,9.95,9.70,9.50
1,6,Ashley Ruedy,William & Mary,VT,9.500,,,,,,,2/20/2026,UC Davis vs William & Mary,9.75,9.75,9.55,9.45
1,7,Sally Wood,William & Mary,VT,9.600,,,,,,,2/20/2026,UC Davis vs William & Mary,9.90,9.90,9.60,9.60
2,1,Adia Friesen,UC Davis,UB,9.675,,,,,,,2/20/2026,UC Davis vs William & Mary,10.00,10.00,9.65,9.70
2,2,Jehaan Poonja,UC Davis,UB,9.700,,,,,,,2/20/2026,UC Davis vs William & Mary,10.00,10.00,9.65,9.75
2,3,McKenna Knecht,UC Davis,UB,7.500,,,,,,,2/20/2026,UC Davis vs William & Mary,9.00,9.40,7.50,7.50
