Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Casey Brown,California,VT,9.775,,,,,,,2/20/2026,California vs UNC,9.95,9.95,9.75,9.80
1,2,Tonya Paulsson,California,VT,9.775,,,,,,,2/20/2026,California vs UNC,9.95,9.95,9.80,9.75
1,3,Annalise Newman-Achee,California,VT,9.900,,,,,,,2/20/2026,California vs UNC,9.95,9.95,9.90,9.90
1,4,Jayden Silvers,California,VT,9.725,,,,,,,2/20/2026,California vs UNC,10.00,10.00,9.70,9.75
1,5,Kyen Mayhew,California,VT,9.800,,,,,,,2/20/2026,California vs UNC,10.00,10.00,9.80,9.80
1,6,Mya Wiley,California,VT,9.750,,,,,,,2/20/2026,California vs UNC,10.00,10.00,9.80,9.70
1,7,Sarah Lee,California,VT,9.750,,,,,,,2/20/2026,California vs UNC,9.95,9.95,9.75,9.75
1,1,Paige Prejean,UNC,VT,9.825,,,,,,,2/20/2026,California vs UNC,9.95,9.95,9.80,9.85
1,2,Neve King,UNC,VT,9.775,,,,,,,2/20/2026,California vs UNC,9.95,9.95,9.80,9.75
1,3,Gwen Fink,UNC,VT,9.850,,,,,,,2/20/2026,California vs UNC,10.00,10.00,9.85,9.85
1,4,Sydney Seabrooks,UNC,VT,9.750,,,,,,,2/20/2026,California vs UNC,9.95,9.95,9.75,9.75
1,5,JoJo Valahovic,UNC,VT,9.900,,,,,,,2/20/2026,California vs UNC,10.00,10.00,9.90,9.90
1,6,Kaya Forbes,UNC,VT,9.775,,,,,,,2/20/2026,California vs UNC,9.95,9.95,9.75,9.80
1,7,Elly King,UNC,VT,9.700,,,,,,,2/20/2026,California vs UNC,9.95,9.95,9.65,9.75
2,1,Miki Aderinto,California,UB,9.875,,,,,,,2/20/2026,California vs UNC,10.00,10.00,9.85,9.90
2,2,Mya Wiley,California,UB,9.850,,,,,,,2/20/2026,California vs UNC,10.00,10.00,9.85,9.85
2,3,Annalise Newman-Achee,California,UB,9.850,,,,,,,2/20/2026,California vs UNC,10.00,10.00,9.85,9.85
2,4,Sage Melkonian,California,UB,9.875,,,,,,,2/20/2026,California vs UNC,10.00,10.00,9.85,9.90
2,5,Casey Brown,California,UB,9.875,,,,,,,2/20/2026,California vs UNC,10.00,10.00,9.90,9.85
2,6,Tonya Paulsson,California,UB,9.925,,,,,,,2/20/2026,California vs UNC,10.00,10.00,9.90,9.95
2,7,Sarah Lee,California,UB,9.550,,,,,,,2/20/2026,California vs UNC,10.00,10.00,9.50,9.60
2,1,Sydney Seabrooks,UNC,UB,8.900,,,,,,,2/20/2026,California vs UNC,10.00,10.00,8.80,9.00
2,2,Neve King,UNC,UB,9.725,,,,,,,2/20/2026,California vs UNC,10.00,10.00,9.65,9.80
2,3,Claire Stippich,UNC,UB,9.825,,,,,,,2/20/2026,California vs UNC,10.00,10.00,9.85,9.80
2,4,Paige Prejean,UNC,UB,9.900,,,,,,,2/20/2026,California vs UNC,10.00,10.00,9.90,9.90
2,5,Gwen Fink,UNC,UB,9.875,,,,,,,2/20/2026,California vs UNC,10.00,10.00,9.85,9.90
