Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Brie Clark,Clemson,VT,9.850,,,,,,,2/20/2026,Clemson vs Pitt,10.00,10.00,9.85,9.85
1,2,Madison Minner,Clemson,VT,9.825,,,,,,,2/20/2026,Clemson vs Pitt,10.00,10.00,9.85,9.80
1,3,Maggie Holman,Clemson,VT,9.900,,,,,,,2/20/2026,Clemson vs Pitt,10.00,10.00,9.90,9.90
1,4,Ella Cesario,Clemson,VT,9.825,,,,,,,2/20/2026,Clemson vs Pitt,9.95,9.95,9.85,9.80
1,5,Tara Walsh,Clemson,VT,9.825,,,,,,,2/20/2026,Clemson vs Pitt,10.00,10.00,9.85,9.80
1,6,Paige Anastasi,Clemson,VT,9.775,,,,,,,2/20/2026,Clemson vs Pitt,9.95,9.95,9.80,9.75
1,7,Sophie Stuart,Clemson,VT,9.650,,,,,,,2/20/2026,Clemson vs Pitt,9.95,9.95,9.75,9.55
1,8,Kate Bryant,Clemson,VT,9.700,,,,,,,2/20/2026,Clemson vs Pitt,9.95,9.95,9.65,9.75
1,1,Jaime Pratt,Pitt,VT,9.725,,,,,,,2/20/2026,Clemson vs Pitt,9.95,9.95,9.75,9.70
1,2,Layla Bobek,Pitt,VT,9.750,,,,,,,2/20/2026,Clemson vs Pitt,9.95,9.95,9.70,9.80
1,3,Kennedy Duke,Pitt,VT,9.825,,,,,,,2/20/2026,Clemson vs Pitt,9.95,9.95,9.85,9.80
1,4,Makenzie Grant,Pitt,VT,9.700,,,,,,,2/20/2026,Clemson vs Pitt,9.95,9.95,9.80,9.60
1,5,Olivia Giunta,Pitt,VT,9.775,,,,,,,2/20/2026,Clemson vs Pitt,9.95,9.95,9.75,9.80
1,6,Lailah Green,Pitt,VT,9.700,,,,,,,2/20/2026,Clemson vs Pitt,9.95,9.95,9.60,9.80
1,7,Lila Pileggi,Pitt,VT,9.700,,,,,,,2/20/2026,Clemson vs Pitt,9.95,9.95,9.70,9.70
2,1,Lilly Lippeatt,Clemson,UB,9.775,,,,,,,2/20/2026,Clemson vs Pitt,10.00,10.00,9.75,9.80
2,2,Hannah Clark,Clemson,UB,9.825,,,,,,,2/20/2026,Clemson vs Pitt,10.00,10.00,9.80,9.85
2,3,Eve Jackson,Clemson,UB,9.525,,,,,,,2/20/2026,Clemson vs Pitt,10.00,10.00,9.50,9.55
2,4,Emma Malewski,Clemson,UB,9.725,,,,,,,2/20/2026,Clemson vs Pitt,10.00,10.00,9.70,9.75
2,5,Ella Cesario,Clemson,UB,9.725,,,,,,,2/20/2026,Clemson vs Pitt,10.00,10.00,9.65,9.80
2,6,Quinn Kuhl,Clemson,UB,9.700,,,,,,,2/20/2026,Clemson vs Pitt,10.00,10.00,9.60,9.80
2,7,Trinity Brown,Clemson,UB,9.825,,,,,,,2/20/2026,Clemson vs Pitt,10.00,10.00,9.85,9.80
2,8,Takoda Berry,Clemson,UB,9.750,,,,,,,2/20/2026,Clemson vs Pitt,10.00,10.00,9.80,9.70
2,1,Kennedy Duke,Pitt,UB,9.675,,,,,,,2/20/2026,Clemson vs Pitt,10.00,10.00,9.60,9.75
2,2,Camryn Chiu,Pitt,UB,9.825,,,,,,,2/20/2026,Clemson vs Pitt,10.00,10.00,9.85,9.80
2,3,Meika Lee,Pitt,UB,9.525,,,,,,,2/20/2026,Clemson vs Pitt,10.00,10.00,9.45,9.60
2,4,Jaime Pratt,Pitt,UB,9.900,,,,,,,2/20/2026,Clemson vs Pitt,10.00,10.00,9.90,9.90
2,5,Hallie Copperwheat,Pitt,UB,9.850,,,,,,,2/20/2026,Clemson vs Pitt,10.00,10.00,9.85,9.85
2,6,Layla Bobek,Pitt,UB,9.700,,,,,,,2/20/2026,Clemson vs Pitt,10.00,10.00,9.70,9.70
3,1,Lilly Lippeatt,Clemson,BB,9.825,,,,,,,2/20/2026,Clemson vs Pitt,10.00,10.00,9.85,9.80
3,2,Brie Clark,Clemson,BB,9.800,,,,,,,2/20/2026,Clemson vs Pitt,10.00,10.00,9.75,9.85
3,3,Tara Walsh,Clemson,BB,9.850,,,,,,,2/20/2026,Clemson vs Pitt,10.00,10.00,9.85,9.85
3,4,Ella Cesario,Clemson,BB,9.875,,,,,,,2/20/2026,Clemson vs Pitt,10.00,10.00,9.85,9.90
3,5,Quinn Kuhl,Clemson,BB,9.875,,,,,,,2/20/2026,Clemson vs Pitt,10.00,10.00,9.85,9.90
3,6,Emma Malewski,Clemson,BB,9.850,,,,,,,2/20/2026,Clemson vs Pitt,10.00,10.00,9.85,9.85
3,7,Hannah Clark,Clemson,BB,9.800,,,,,,,2/20/2026,Clemson vs Pitt,10.00,10.00,9.75,9.85
3,8,Sierra Church,Clemson,BB,9.775,,,,,,,2/20/2026,Clemson vs Pitt,10.00,10.00,9.80,9.75
3,1,Meika Lee,Pitt,BB,9.675,,,,,,,2/20/2026,Clemson vs Pitt,10.00,10.00,9.60,9.75
3,2,Camryn Chiu,Pitt,BB,9.800,,,,,,,2/20/2026,Clemson vs Pitt,10.00,10.00,9.85,9.75
3,3,Layla Bobek,Pitt,BB,9.650,,,,,,,2/20/2026,Clemson vs Pitt,10.00,10.00,9.60,9.70
3,4,Emily Todd,Pitt,BB,9.700,,,,,,,2/20/2026,Clemson vs Pitt,10.00,10.00,9.70,9.70
