Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Camie Winger,Utah,VT,9.875,,,,,,,2/20/2026,Utah vs Southern Utah,10.00,10.00,9.85,9.90
1,2,Ella Zirbes,Utah,VT,9.850,,,,,,,2/20/2026,Utah vs Southern Utah,10.00,10.00,9.85,9.85
1,3,Zoe Johnson,Utah,VT,9.850,,,,,,,2/20/2026,Utah vs Southern Utah,10.00,10.00,9.85,9.85
1,4,Makenna Smith,Utah,VT,9.875,,,,,,,2/20/2026,Utah vs Southern Utah,10.00,10.00,9.85,9.90
1,5,Ashley Glynn,Utah,VT,9.950,,,,,,,2/20/2026,Utah vs Southern Utah,10.00,10.00,9.95,9.95
1,6,Avery Neff,Utah,VT,10.000,,,,,,,2/20/2026,Utah vs Southern Utah,10.00,10.00,10.00,10.00
1,7,Clara Raposo,Utah,VT,9.800,,,,,,,2/20/2026,Utah vs Southern Utah,10.00,10.00,9.80,9.80
1,1,Mackenzie Kelly,Southern Utah,VT,9.800,,,,,,,2/20/2026,Utah vs Southern Utah,10.00,10.00,9.85,9.75
1,2,Elliot Bringhurst,Southern Utah,VT,9.800,,,,,,,2/20/2026,Utah vs Southern Utah,9.95,9.95,9.80,9.80
1,3,Kayla Pardue,Southern Utah,VT,9.825,,,,,,,2/20/2026,Utah vs Southern Utah,10.00,10.00,9.80,9.85
1,4,Niya Randolph,Southern Utah,VT,9.800,,,,,,,2/20/2026,Utah vs Southern Utah,10.00,10.00,9.80,9.80
1,5,Berlin Hall,Southern Utah,VT,9.125,,,,,,,2/20/2026,Utah vs Southern Utah,9.90,9.90,9.05,9.20
1,6,Vinciane Le Pen,Southern Utah,VT,9.800,,,,,,,2/20/2026,Utah vs Southern Utah,9.95,9.95,9.80,9.80
1,7,Sage Paladino,Southern Utah,VT,9.650,,,,,,,2/20/2026,Utah vs Southern Utah,9.95,9.95,9.65,9.65
2,1,Makenna Smith,Utah,UB,9.875,,,,,,,2/20/2026,Utah vs Southern Utah,10.00,10.00,9.90,9.85
2,2,Clara Raposo,Utah,UB,9.925,,,,,,,2/20/2026,Utah vs Southern Utah,10.00,10.00,9.95,9.90
2,3,Abbi Ryssman,Utah,UB,9.875,,,,,,Y,2/20/2026,Utah vs Southern Utah,10.00,10.00,9.85,9.90
2,4,Ella Zirbes,Utah,UB,9.925,,,,,,,2/20/2026,Utah vs Southern Utah,10.00,10.00,9.90,9.95
2,5,Ana Padurariu,Utah,UB,9.950,,,,,,,2/20/2026,Utah vs Southern Utah,10.00,10.00,9.95,9.95
2,6,Avery Neff,Utah,UB,9.950,,,,,,,2/20/2026,Utah vs Southern Utah,10.00,10.00,9.95,9.95
2,7,Ashley Glynn,Utah,UB,9.875,,,,,,,2/20/2026,Utah vs Southern Utah,10.00,10.00,9.85,9.90
2,1,Alex Routsis,Southern Utah,UB,9.775,,,,,,,2/20/2026,Utah vs Southern Utah,10.00,10.00,9.70,9.85
2,2,Mia Hampton,Southern Utah,UB,9.125,,,,,,,2/20/2026,Utah vs Southern Utah,10.00,10.00,9.05,9.20
2,3,Ariel Collum,Southern Utah,UB,9.125,,,,,,,2/20/2026,Utah vs Southern Utah,10.00,10.00,9.30,8.95
2,4,Niya Randolph,Southern Utah,UB,9.850,,,,,,,2/20/2026,Utah vs Southern Utah,10.00,10.00,9.80,9.90
2,5,Rylee Miller,Southern Utah,UB,9.775,,,,,,,2/20/2026,Utah vs Southern Utah,10.00,10.00,9.85,9.70
2,6,Kendall McGuire,Southern Utah,UB,9.850,,,,,,,2/20/2026,Utah vs Southern Utah,10.00,10.00,9.85,9.85
2,7,Trista Goodman,Southern Utah,UB,9.775,,,,,,,2/20/2026,Utah vs Southern Utah,10.00,10.00,9.85,9.70
3,1,Elizabeth Gantner,Utah,BB,9.875,,,,,,,2/20/2026,Utah vs Southern Utah,10.00,10.00,9.90,9.85
3,2,Makenna Smith,Utah,BB,9.225,,,,,,,2/20/2026,Utah vs Southern Utah,9.90,9.90,9.20,9.25
3,3,Abbi Ryssman,Utah,BB,9.950,,,,,,,2/20/2026,Utah vs Southern Utah,10.00,10.00,9.95,9.95
3,4,Ana Padurariu,Utah,BB,9.800,,,,,,,2/20/2026,Utah vs Southern Utah,10.00,10.00,9.80,9.80
3,5,Avery Neff,Utah,BB,9.825,,,,,,,2/20/2026,Utah vs Southern Utah,10.00,10.00,9.85,9.80
3,6,Camie Winger,Utah,BB,9.100,,,,,,Y,2/20/2026,Utah vs Southern Utah,9.70,9.70,9.10,9.10
3,1,Niya Randolph,Southern Utah,BB,9.650,,,,,,,2/20/2026,Utah vs Southern Utah,10.00,10.00,9.70,9.60
3,2,Mia Hampton,Southern Utah,BB,9.825,,,,,,,2/20/2026,Utah vs Southern Utah,10.00,10.00,9.80,9.85
3,3,Emma Nipper,Southern Utah,BB,9.900,,,,,,,2/20/2026,Utah vs Southern Utah,10.00,10.00,9.90,9.90
3,4,Rylee Miller,Southern Utah,BB,9.825,,,,,,,2/20/2026,Utah vs Southern Utah,10.00,10.00,9.85,9.80
3,5,Elliot Bringhurst,Southern Utah,BB,9.900,,,,,,,2/20/2026,Utah vs Southern Utah,10.00,10.00,9.90,9.90
3,6,Marisa de Groot,Southern Utah,BB,9.225,,,,,,,2/20/2026,Utah vs Southern Utah,9.90,9.90,9.20,9.25
3,7,Amelia Rieder,Southern Utah,BB,8.700,,,,,,,2/20/2026,Utah vs Southern Utah,9.80,9.70,8.90,8.50
4,1,Ashley Glynn,Utah,FX,9.750,,,,,,,2/20/2026,Utah vs Southern Utah,10.00,10.00,9.75,9.75
4,2,Zoe Johnson,Utah,FX,9.875,,,,,,,2/20/2026,Utah vs Southern Utah,10.00,10.00,9.90,9.85
4,3,Avery Neff,Utah,FX,9.925,,,,,,,2/20/2026,Utah vs Southern Utah,10.00,10.00,9.95,9.90
4,4,Ella Zirbes,Utah,FX,9.925,,,,,,,2/20/2026,Utah vs Southern Utah,10.00,10.00,9.90,9.95
4,5,Makenna Smith,Utah,FX,9.950,,,,,,,2/20/2026,Utah vs Southern Utah,10.00,10.00,9.95,9.95
4,6,Sage Curtis,Utah,FX,9.900,,,,,,,2/20/2026,Utah vs Southern Utah,10.00,10.00,9.90,9.90
4,7,Sarah Krump,Utah,FX,9.825,,,,,,,2/20/2026,Utah vs Southern Utah,10.00,10.00,9.85,9.80
4,1,Mia Hampton,Southern Utah,FX,9.825,,,,,,,2/20/2026,Utah vs Southern Utah,10.00,10.00,9.85,9.80
4,2,Rylee Miller,Southern Utah,FX,9.875,,,,,,,2/20/2026,Utah vs Southern Utah,10.00,10.00,9.85,9.90
4,3,Alyssa Fernandez,Southern Utah,FX,9.850,,,,,,,2/20/2026,Utah vs Southern Utah,10.00,10.00,9.85,9.85
4,4,Carilia Martinez,Southern Utah,FX,9.700,,,,,,,2/20/2026,Utah vs Southern Utah,10.00,10.00,9.70,9.70
4,5,Berlin Hall,Southern Utah,FX,9.925,,,,,,,2/20/2026,Utah vs Southern Utah,10.00,10.00,9.95,9.90
4,6,Niya Randolph,Southern Utah,FX,9.850,,,,,,,2/20/2026,Utah vs Southern Utah,10.00,10.00,9.85,9.85
4,7,Sage Paladino,Southern Utah,FX,9.775,,,,,,,2/20/2026,Utah vs Southern Utah,10.00,10.00,9.80,9.75
