Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Keira Thornton,Bowling Green,VT,9.600,,,,,,,2/22/2026,Bowling Green vs CMU,9.95,9.95,9.65,9.55
1,2,Emily Gianfrancesco,Bowling Green,VT,9.650,,,,,,,2/22/2026,Bowling Green vs CMU,9.95,9.95,9.75,9.55
1,3,Madison Coburn,Bowling Green,VT,9.675,,,,,,,2/22/2026,Bowling Green vs CMU,9.95,9.95,9.70,9.65
1,4,Megan Dzialo,Bowling Green,VT,9.675,,,,,,,2/22/2026,Bowling Green vs CMU,9.95,9.95,9.70,9.65
1,5,Teegan Milligan,Bowling Green,VT,9.475,,,,,,,2/22/2026,Bowling Green vs CMU,9.95,9.95,9.50,9.45
1,6,Natasha Lopez,Bowling Green,VT,8.900,,,,,,,2/22/2026,Bowling Green vs CMU,9.95,9.95,8.85,8.95
1,7,Landyn Williams,Bowling Green,VT,9.450,,,,,,,2/22/2026,Bowling Green vs CMU,9.90,9.90,9.50,9.40
1,1,Jenna Germond,CMU,VT,9.650,,,,,,,2/22/2026,Bowling Green vs CMU,9.95,9.95,9.70,9.60
1,2,Paige Hasling,CMU,VT,9.775,,,,,,,2/22/2026,Bowling Green vs CMU,9.95,9.95,9.80,9.75
1,3,Luciana Alvarado-Reid,CMU,VT,9.775,,,,,,,2/22/2026,Bowling Green vs CMU,9.95,9.95,9.80,9.75
1,4,Avah Bootz,CMU,VT,9.775,,,,,,,2/22/2026,Bowling Green vs CMU,9.95,9.95,9.80,9.75
1,5,Ava Wellmeier,CMU,VT,9.725,,,,,,,2/22/2026,Bowling Green vs CMU,9.95,9.95,9.80,9.65
1,6,Lia Kmieciak,CMU,VT,9.775,,,,,,,2/22/2026,Bowling Green vs CMU,9.95,9.95,9.75,9.80
2,1,Megan Dzialo,Bowling Green,UB,9.700,,,,,,,2/22/2026,Bowling Green vs CMU,10.00,10.00,9.70,9.70
2,2,Natasha Lopez,Bowling Green,UB,9.650,,,,,,,2/22/2026,Bowling Green vs CMU,10.00,10.00,9.75,9.55
2,3,Addie Tandeski,Bowling Green,UB,9.800,,,,,,,2/22/2026,Bowling Green vs CMU,10.00,10.00,9.75,9.85
2,4,Kayla Shaw,Bowling Green,UB,9.150,,,,,,,2/22/2026,Bowling Green vs CMU,10.00,10.00,9.15,9.15
2,5,Keira Thornton,Bowling Green,UB,9.775,,,,,,,2/22/2026,Bowling Green vs CMU,10.00,10.00,9.80,9.75
2,6,Nadia Parente,Bowling Green,UB,9.750,,,,,,,2/22/2026,Bowling Green vs CMU,10.00,10.00,9.75,9.75
2,7,Teegan Milligan,Bowling Green,UB,9.750,,,,,,,2/22/2026,Bowling Green vs CMU,10.00,10.00,9.70,9.80
2,1,Kaitlyn Schwab,CMU,UB,9.825,,,,,,,2/22/2026,Bowling Green vs CMU,10.00,10.00,9.85,9.80
2,2,Ava Wellmeier,CMU,UB,9.850,,,,,,,2/22/2026,Bowling Green vs CMU,10.00,10.00,9.80,9.90
2,3,Gabrielle Johnson,CMU,UB,9.825,,,,,,,2/22/2026,Bowling Green vs CMU,10.00,10.00,9.85,9.80
2,4,Luciana Alvarado-Reid,CMU,UB,9.900,,,,,,,2/22/2026,Bowling Green vs CMU,10.00,10.00,9.90,9.90
2,5,Lia Kmieciak,CMU,UB,9.875,,,,,,,2/22/2026,Bowling Green vs CMU,10.00,10.00,9.90,9.85
2,6,Maylee Wendle,CMU,UB,9.650,,,,,,,2/22/2026,Bowling Green vs CMU,10.00,10.00,9.60,9.70
3,1,Faye Dubin,Bowling Green,BB,9.575,,,,,,,2/22/2026,Bowling Green vs CMU,10.00,10.00,9.60,9.55
