Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Malia Narciso,Gustavus,VT,9.500,,,,,,,2/27/2026,Gustavus vs Simpson,9.80,9.80,9.45,9.55
1,2,Ella Nash,Gustavus,VT,9.400,,,,,,,2/27/2026,Gustavus vs Simpson,9.75,9.75,9.45,9.35
1,3,Zara Reboks,Gustavus,VT,9.025,,,,,,,2/27/2026,Gustavus vs Simpson,9.75,9.75,8.90,9.15
1,4,Taylor Hall,Gustavus,VT,9.525,,,,,,,2/27/2026,Gustavus vs Simpson,9.75,9.75,9.45,9.60
1,5,Cara Wong,Gustavus,VT,9.700,,,,,,,2/27/2026,Gustavus vs Simpson,9.90,9.90,9.70,9.70
1,6,Kate Clairmont,Gustavus,VT,9.600,,,,,,,2/27/2026,Gustavus vs Simpson,9.95,9.95,9.50,9.70
1,7,Cecilia Athie,Gustavus,VT,8.700,,,,,,,2/27/2026,Gustavus vs Simpson,9.90,9.90,8.70,8.70
1,1,Rachel Welch,Simpson,VT,9.575,,,,,,,2/27/2026,Gustavus vs Simpson,9.75,9.75,9.60,9.55
1,2,Brooklen Morgan,Simpson,VT,9.400,,,,,,,2/27/2026,Gustavus vs Simpson,9.75,9.75,9.40,9.40
1,3,Kendall Pinkelman,Simpson,VT,9.625,,,,,,,2/27/2026,Gustavus vs Simpson,9.90,9.90,9.55,9.70
1,4,Emmie Barton,Simpson,VT,9.675,,,,,,,2/27/2026,Gustavus vs Simpson,9.95,9.95,9.65,9.70
1,5,Emma Charles,Simpson,VT,9.725,,,,,,,2/27/2026,Gustavus vs Simpson,9.95,9.95,9.70,9.75
1,6,Kaelyn Tally,Simpson,VT,9.650,,,,,,,2/27/2026,Gustavus vs Simpson,10.00,10.00,9.60,9.70
1,7,Alexa Denton,Simpson,VT,9.475,,,,,,,2/27/2026,Gustavus vs Simpson,9.75,9.75,9.50,9.45
1,8,Baily Tessena,Simpson,VT,8.925,,,,,,,2/27/2026,Gustavus vs Simpson,9.80,9.80,9.00,8.85
2,1,Makenna Aldrich,Gustavus,UB,8.525,,,,,,,2/27/2026,Gustavus vs Simpson,9.20,9.20,8.45,8.60
2,2,Zara Reboks,Gustavus,UB,8.775,,,,,,,2/27/2026,Gustavus vs Simpson,9.80,9.60,8.85,8.70
2,3,Rocio Madalena Gora,Gustavus,UB,9.000,,,,,,,2/27/2026,Gustavus vs Simpson,9.90,9.70,8.95,9.05
2,4,Kate Clairmont,Gustavus,UB,9.150,,,,,,Y,2/27/2026,Gustavus vs Simpson,9.90,9.90,9.25,9.05
2,5,Cara Wong,Gustavus,UB,9.350,,,,,,,2/27/2026,Gustavus vs Simpson,9.90,9.90,9.40,9.30
2,6,Autumn Schmidt,Gustavus,UB,9.100,,,,,Y,Y,2/27/2026,Gustavus vs Simpson,9.80,9.80,9.00,9.20
2,7,Vianni Brown,Gustavus,UB,6.400,,,,,,,2/27/2026,Gustavus vs Simpson,8.80,8.80,6.60,6.20
2,8,Mariah Sikon,Gustavus,UB,8.000,,,,,,,2/27/2026,Gustavus vs Simpson,9.40,9.40,8.10,7.90
2,1,Rachel Welch,Simpson,UB,9.050,,,,,,,2/27/2026,Gustavus vs Simpson,9.80,9.80,9.10,9.00
2,2,Wynter Poolaw,Simpson,UB,9.125,,,,,,,2/27/2026,Gustavus vs Simpson,9.70,9.70,9.15,9.10
2,3,Olivia Hedary,Simpson,UB,9.400,,,,,,,2/27/2026,Gustavus vs Simpson,9.80,9.80,9.30,9.50
2,4,Alexa Denton,Simpson,UB,9.675,,,,,,,2/27/2026,Gustavus vs Simpson,9.90,9.90,9.65,9.70
2,5,Izzy Brown,Simpson,UB,9.200,,,,,,,2/27/2026,Gustavus vs Simpson,10.00,10.00,9.20,9.20
2,6,Liz Sisler,Simpson,UB,6.850,,,,,,,2/27/2026,Gustavus vs Simpson,7.50,7.50,6.85,6.85
2,7,Avril Crespin,Simpson,UB,8.075,,,,,,,2/27/2026,Gustavus vs Simpson,9.30,9.00,8.15,8.00
2,8,Nicola Catchpole,Simpson,UB,8.400,,,,,,,2/27/2026,Gustavus vs Simpson,9.30,9.30,8.50,8.30
3,1,Megan Gille,Gustavus,BB,9.625,,,,,,,2/27/2026,Gustavus vs Simpson,10.00,10.00,9.60,9.65
3,2,Autumn Schmidt,Gustavus,BB,7.725,,,,,,,2/27/2026,Gustavus vs Simpson,9.10,7.80,7.65,7.80
3,3,Cara Wong,Gustavus,BB,9.450,,,,,,,2/27/2026,Gustavus vs Simpson,9.70,9.70,9.55,9.35
3,4,Malia Narciso,Gustavus,BB,9.550,,,,,,,2/27/2026,Gustavus vs Simpson,10.00,10.00,9.50,9.60
3,5,Zara Reboks,Gustavus,BB,9.175,,,,,,,2/27/2026,Gustavus vs Simpson,9.60,9.60,9.15,9.20
3,6,Kate Clairmont,Gustavus,BB,9.375,,,,,,,2/27/2026,Gustavus vs Simpson,10.00,10.00,9.40,9.35
3,7,Mollie Ruch,Gustavus,BB,9.025,,,,,,,2/27/2026,Gustavus vs Simpson,9.50,9.70,8.90,9.15
3,8,Kaylee Bauder,Gustavus,BB,8.550,,,,,,,2/27/2026,Gustavus vs Simpson,9.30,9.30,8.60,8.50
3,1,Rachel Welch,Simpson,BB,9.575,,,,,Y,,2/27/2026,Gustavus vs Simpson,9.90,10.00,9.60,9.55
3,2,BraeDee Cason,Simpson,BB,9.550,,,,,,,2/27/2026,Gustavus vs Simpson,10.00,10.00,9.50,9.60
3,3,Olivia Hedary,Simpson,BB,9.475,,,,,,,2/27/2026,Gustavus vs Simpson,10.00,10.00,9.45,9.50
3,4,Izzy Brown,Simpson,BB,9.725,,,,,,,2/27/2026,Gustavus vs Simpson,10.00,10.00,9.75,9.70
3,5,Brooklen Morgan,Simpson,BB,9.025,,,,,,,2/27/2026,Gustavus vs Simpson,9.80,9.80,9.00,9.05
3,6,Emma Charles,Simpson,BB,9.025,,,,,,,2/27/2026,Gustavus vs Simpson,9.70,9.70,9.05,9.00
3,7,Annika Cole,Simpson,BB,9.250,,,,,,,2/27/2026,Gustavus vs Simpson,10.00,10.00,9.15,9.35
3,8,Sydney Nalette,Simpson,BB,8.525,,,,,,,2/27/2026,Gustavus vs Simpson,9.60,9.30,8.75,8.30
4,1,Makenna Aldrich,Gustavus,FX,9.325,,,,,,,2/27/2026,Gustavus vs Simpson,9.80,9.80,9.40,9.25
4,2,Mollie Ruch,Gustavus,FX,9.500,,,,,,,2/27/2026,Gustavus vs Simpson,10.00,10.00,9.40,9.60
4,3,Ella Nash,Gustavus,FX,9.425,,,,,,,2/27/2026,Gustavus vs Simpson,9.90,9.90,9.30,9.55
4,4,Megan Gille,Gustavus,FX,9.450,,,,,,,2/27/2026,Gustavus vs Simpson,10.00,10.00,9.50,9.40
4,5,Zara Reboks,Gustavus,FX,9.350,,,,,,,2/27/2026,Gustavus vs Simpson,9.90,9.90,9.45,9.25
4,6,Cara Wong,Gustavus,FX,9.600,,,,,,,2/27/2026,Gustavus vs Simpson,10.00,10.00,9.50,9.70
4,7,Jenna Huikko,Gustavus,FX,9.300,,,,,,,2/27/2026,Gustavus vs Simpson,9.90,9.90,9.35,9.25
4,8,Morgan Kilpatrick,Gustavus,FX,8.950,,,0.1,,,,2/27/2026,Gustavus vs Simpson,9.80,9.80,9.00,9.10
4,1,Izzy Brown,Simpson,FX,9.625,,,,,,,2/27/2026,Gustavus vs Simpson,10.00,10.00,9.60,9.65
4,2,Kaley Bristow,Simpson,FX,9.675,,,,,,,2/27/2026,Gustavus vs Simpson,10.00,10.00,9.65,9.70
4,3,Annika Cole,Simpson,FX,9.675,,,,,,,2/27/2026,Gustavus vs Simpson,10.00,10.00,9.60,9.75
4,4,Bella Dix,Simpson,FX,9.700,,,,,,Y,2/27/2026,Gustavus vs Simpson,10.00,10.00,9.65,9.75
4,5,Brooklen Morgan,Simpson,FX,9.750,,,,,,,2/27/2026,Gustavus vs Simpson,10.00,10.00,9.75,9.75
4,6,Kaelyn Tally,Simpson,FX,9.650,,,,,,,2/27/2026,Gustavus vs Simpson,10.00,10.00,9.70,9.60
4,7,Emmie Barton,Simpson,FX,9.650,,,,,,,2/27/2026,Gustavus vs Simpson,10.00,10.00,9.60,9.70
4,8,Olivia Hedary,Simpson,FX,9.550,,,0.1,,,,2/27/2026,Gustavus vs Simpson,10.00,10.00,9.65,9.65
