Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Devyn Valuch,San Jose State,VT,9.875,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,9.95,9.95,9.90,9.85
1,2,Samantha Macasu,San Jose State,VT,9.775,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,9.95,9.95,9.70,9.85
1,3,Ava Johnson,San Jose State,VT,9.825,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,9.95,9.95,9.80,9.85
1,4,Kaviana Jurries,San Jose State,VT,9.900,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,9.95,9.95,9.90,9.90
1,5,Sophie Patterson,San Jose State,VT,9.775,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,9.95,9.95,9.75,9.80
1,6,Mikaela Pitts,San Jose State,VT,9.725,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,10.00,10.00,9.65,9.80
1,7,Annabella Carrascoso,San Jose State,VT,9.725,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,9.95,9.95,9.70,9.75
1,8,Olivia Reardon,San Jose State,VT,9.750,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,9.95,9.95,9.75,9.75
1,1,Sydney Kho,Boise State,VT,9.800,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,9.95,9.95,9.75,9.85
1,2,Miraya Nero,Boise State,VT,9.775,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,9.95,9.95,9.75,9.80
1,3,Bridget Kemp,Boise State,VT,9.825,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,9.95,9.95,9.85,9.80
1,4,Noelle Ball,Boise State,VT,9.850,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,10.00,10.00,9.90,9.80
1,5,Julia Krzywanski,Boise State,VT,9.900,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,9.95,10.00,9.90,9.90
1,6,Isabella Delarosa,Boise State,VT,9.725,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,9.90,9.90,9.75,9.70
1,1,Safia El Mammann,Arizona State,VT,9.825,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,9.95,9.95,9.85,9.80
1,2,Robyn Wilson,Arizona State,VT,9.775,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,9.95,9.95,9.75,9.80
1,3,Delanie Kelly,Arizona State,VT,9.800,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,9.95,9.95,9.80,9.80
1,4,Lilia Purler,Arizona State,VT,9.400,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,10.00,10.00,9.40,9.40
1,5,Kimberly Smith,Arizona State,VT,9.825,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,9.95,9.95,9.80,9.85
1,6,Halle Gregoire,Arizona State,VT,9.650,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,10.00,10.00,9.55,9.75
1,7,Caroline Lichtman,Arizona State,VT,9.750,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,9.95,9.95,9.80,9.70
1,1,Lexi Frank,Sac State,VT,9.050,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,9.90,9.90,9.00,9.10
1,2,Rose Wilson,Sac State,VT,9.775,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,9.95,9.95,9.80,9.75
1,3,Sarah Lutrel,Sac State,VT,9.800,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,9.95,9.95,9.75,9.85
1,4,Cadence Gaumont,Sac State,VT,9.750,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,9.95,9.95,9.80,9.70
1,5,Athena Jones,Sac State,VT,9.575,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,9.75,9.75,9.60,9.55
1,6,Kayla Herrera,Sac State,VT,9.550,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,9.75,9.75,9.55,9.55
2,1,Sophie Patterson,San Jose State,UB,9.800,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,10.00,10.00,9.75,9.85
2,2,Devyn Valuch,San Jose State,UB,9.800,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,10.00,10.00,9.85,9.75
2,3,Genesis PeBenito,San Jose State,UB,9.775,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,10.00,10.00,9.75,9.80
2,4,Victoria Kisch,San Jose State,UB,9.700,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,10.00,10.00,9.70,9.70
2,5,Samantha Macasu,San Jose State,UB,7.850,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,9.20,9.20,7.80,7.90
2,6,Kaviana Jurries,San Jose State,UB,9.800,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,10.00,10.00,9.85,9.75
2,7,Kyra Cato,San Jose State,UB,9.100,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,9.90,9.90,9.10,9.10
2,1,Carly Buell,Boise State,UB,9.800,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,10.00,10.00,9.70,9.90
2,2,Noelle Ball,Boise State,UB,9.775,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,10.00,10.00,9.85,9.70
2,3,Miraya Nero,Boise State,UB,9.800,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,10.00,10.00,9.85,9.75
2,4,Mahleea Werline,Boise State,UB,9.850,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,10.00,10.00,9.90,9.80
2,5,Kristina Shchennikova,Boise State,UB,9.775,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,10.00,10.00,9.75,9.80
2,6,Kylee Hamby,Boise State,UB,8.825,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,9.90,9.80,8.80,8.85
2,7,Delaney Reeves,Boise State,UB,9.925,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,10.00,10.00,9.90,9.95
2,1,Reese Grolla,Arizona State,UB,9.950,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,10.00,10.00,9.95,9.95
2,2,Halle Gregoire,Arizona State,UB,9.775,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,10.00,10.00,9.75,9.80
2,3,Isabella Kowan,Arizona State,UB,9.725,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,10.00,10.00,9.80,9.65
2,4,Kylee Bromley,Arizona State,UB,9.750,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,10.00,10.00,9.80,9.70
2,5,Kimberly Smith,Arizona State,UB,9.875,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,10.00,10.00,9.85,9.90
2,6,Safia El Mammann,Arizona State,UB,9.700,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,10.00,10.00,9.70,9.70
2,7,Nina Laurito,Arizona State,UB,9.175,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,9.90,9.90,9.10,9.25
2,1,Kayla Herrera,Sac State,UB,9.750,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,10.00,10.00,9.70,9.80
2,2,Chloe Cohen,Sac State,UB,9.700,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,10.00,10.00,9.75,9.65
2,3,Maliyah James,Sac State,UB,9.025,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,9.70,9.70,9.05,9.00
2,4,Jillianne Lastra,Sac State,UB,9.475,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,10.00,10.00,9.50,9.45
2,5,Kara Houghton,Sac State,UB,9.650,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,10.00,10.00,9.70,9.60
2,6,McKenna Carnesi,Sac State,UB,9.800,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,10.00,10.00,9.80,9.80
2,7,Sarah Lutrel,Sac State,UB,9.650,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,10.00,10.00,9.60,9.70
3,1,Marissa Ashton,San Jose State,BB,9.650,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,10.00,10.00,9.70,9.60
3,2,Samantha Macasu,San Jose State,BB,9.700,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,10.00,10.00,9.60,9.80
3,3,Devyn Valuch,San Jose State,BB,8.925,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,9.80,9.80,9.05,8.80
3,4,Mia Nelson,San Jose State,BB,9.650,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,10.00,10.00,9.70,9.60
3,5,Sophie Patterson,San Jose State,BB,9.850,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,10.00,10.00,9.90,9.80
3,6,Genesis PeBenito,San Jose State,BB,9.750,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,10.00,10.00,9.75,9.75
3,7,Kyra Cato,San Jose State,BB,9.100,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,9.70,9.70,9.20,9.00
3,1,Brantley Lucas,Boise State,BB,9.725,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,10.00,10.00,9.75,9.70
3,2,Isabella Delarosa,Boise State,BB,9.700,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,10.00,10.00,9.75,9.65
3,3,Sydnie Whipple,Boise State,BB,9.750,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,10.00,10.00,9.80,9.70
3,4,Miraya Nero,Boise State,BB,9.725,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,10.00,10.00,9.75,9.70
3,5,Kristina Shchennikova,Boise State,BB,9.825,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,10.00,10.00,9.85,9.80
3,6,Sydney Kho,Boise State,BB,9.825,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,10.00,10.00,9.80,9.85
3,7,Sydney Leitch,Boise State,BB,8.950,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,9.90,9.80,9.00,8.90
3,1,Reese Grolla,Arizona State,BB,9.700,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,10.00,10.00,9.70,9.70
3,2,Kylee Bromley,Arizona State,BB,9.800,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,10.00,10.00,9.80,9.80
3,3,Safia El Mammann,Arizona State,BB,9.700,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,10.00,10.00,9.70,9.70
3,4,Caroline Lichtman,Arizona State,BB,9.550,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,10.00,10.00,9.50,9.60
3,5,Kayla Lee,Arizona State,BB,9.825,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,10.00,10.00,9.80,9.85
3,6,Kimberly Smith,Arizona State,BB,9.725,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,10.00,10.00,9.75,9.70
3,7,Adele Ossi,Arizona State,BB,9.675,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,10.00,10.00,9.70,9.65
3,1,Athena Jones,Sac State,BB,9.625,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,10.00,10.00,9.65,9.60
3,2,Kaela Copeland,Sac State,BB,9.575,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,10.00,10.00,9.60,9.55
3,3,Kaitlyn Driessen,Sac State,BB,9.825,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,10.00,10.00,9.80,9.85
3,4,Lexi Frank,Sac State,BB,9.675,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,10.00,10.00,9.65,9.70
3,5,Sarah Lutrel,Sac State,BB,8.425,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,9.70,9.70,8.45,8.40
3,6,Kara Houghton,Sac State,BB,9.050,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,9.90,9.90,8.90,9.20
3,7,Emily Countryman,Sac State,BB,9.775,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,10.00,10.00,9.80,9.75
4,1,Marissa Ashton,San Jose State,FX,9.825,,,,,,,3/1/2026,SJSU / Boise State / ASU / Sac State,10.00,10.00,9.80,9.85
