Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Railey Jackson,Missouri,VT,9.775,,,,,,,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.80,9.75
1,2,Kaia Tanskanen,Missouri,VT,9.800,,,,,,,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.80,9.80
1,3,Kennedy Griffin,Missouri,VT,9.800,,,,,,,3/1/2026,Missouri vs Arkansas,9.95,9.95,9.85,9.75
1,4,Hannah Horton,Missouri,VT,9.875,,,,,,,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.85,9.90
1,5,Elise Tisler,Missouri,VT,9.775,,,,,,,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.75,9.80
1,6,Kimarra Echols,Missouri,VT,9.875,,,,,,,3/1/2026,Missouri vs Arkansas,9.95,10.00,9.85,9.90
1,7,Dakota Essenpries,Missouri,VT,9.700,,,,,,,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.70,9.70
1,8,Ayla Acevedo,Missouri,VT,9.750,,,,,,,3/1/2026,Missouri vs Arkansas,10.00,9.95,9.75,9.75
1,1,Cami Weaver,Arkansas,VT,9.800,,,,,,,3/1/2026,Missouri vs Arkansas,9.95,9.95,9.80,9.80
1,2,Leah Smith,Arkansas,VT,9.750,,,,,,,3/1/2026,Missouri vs Arkansas,9.95,9.95,9.75,9.75
1,3,Allison Cucci,Arkansas,VT,9.875,,,,,,,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.85,9.90
1,4,Hailey Klein,Arkansas,VT,9.800,,,,,,,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.80,9.80
1,5,Lauren Williams,Arkansas,VT,9.875,,,,,,,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.90,9.85
1,6,Morgan Price,Arkansas,VT,9.850,,,,,,,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.85,9.85
1,7,Joscelyn Roberson,Arkansas,VT,9.775,,,,,,Y,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.70,9.85
1,8,Addison Bare,Arkansas,VT,9.725,,,,,,,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.75,9.70
2,1,Makayla Green,Missouri,UB,9.850,,,,,,,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.85,9.85
2,2,Lauren Macpherson,Missouri,UB,9.900,,,,,,,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.90,9.90
2,3,Olivia Kelly,Missouri,UB,9.875,,,,,,,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.90,9.85
2,4,Maiya Terry,Missouri,UB,9.925,,,,,,,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.90,9.95
2,5,Hannah Horton,Missouri,UB,9.925,,,,,,,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.90,9.95
2,6,Kimarra Echols,Missouri,UB,9.675,,,,,,,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.70,9.65
2,7,Kaia Tanskanen,Missouri,UB,9.825,,,,,,,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.85,9.80
2,8,Addison Lawrence,Missouri,UB,9.900,,,,,,,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.95,9.85
2,1,Joscelyn Roberson,Arkansas,UB,9.675,,,,,,,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.60,9.75
2,2,Hailey Klein,Arkansas,UB,9.875,,,,,,,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.90,9.85
2,3,Avery King,Arkansas,UB,9.825,,,,,,,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.80,9.85
2,4,Avalon Campbell,Arkansas,UB,9.750,,,,,,,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.75,9.75
2,5,Allison Cucci,Arkansas,UB,9.800,,,,,,,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.80,9.80
2,6,Morgan Price,Arkansas,UB,9.925,,,,,,,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.95,9.90
2,7,Priscilla Park,Arkansas,UB,9.775,,,,,,,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.75,9.80
3,1,Amy Wier,Missouri,BB,9.875,,,,,,,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.85,9.90
3,2,Olivia Kelly,Missouri,BB,9.800,,,,,Y,,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.80,9.80
3,3,Lauren Macpherson,Missouri,BB,9.900,,,,,,,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.85,9.95
3,4,Kaia Tanskanen,Missouri,BB,9.825,,,,,,,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.80,9.85
3,5,Railey Jackson,Missouri,BB,9.950,,,,,,,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.95,9.95
3,6,Addison Lawrence,Missouri,BB,9.800,,,,,,,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.85,9.75
3,7,Grace Anne Davis,Missouri,BB,9.850,,,,,,,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.80,9.90
3,1,Madison Gustitus,Arkansas,BB,9.775,,,,,,,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.75,9.80
3,2,Priscilla Park,Arkansas,BB,9.875,,,,,,,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.90,9.85
3,3,Hailey Klein,Arkansas,BB,9.850,,,,,,,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.85,9.85
3,4,Allison Cucci,Arkansas,BB,9.925,,,,,,,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.90,9.95
3,5,Cami Weaver,Arkansas,BB,9.875,,,,,,,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.90,9.85
3,6,Joscelyn Roberson,Arkansas,BB,9.900,,,,,,,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.90,9.90
3,7,Cally Swaney,Arkansas,BB,9.750,,,,,,,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.80,9.70
4,1,Railey Jackson,Missouri,FX,9.875,,,,,,,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.85,9.90
4,2,Elise Tisler,Missouri,FX,9.875,,,,,,,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.90,9.85
4,3,Ayla Acevedo,Missouri,FX,9.875,,,,,,,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.90,9.85
4,4,Kaia Tanskanen,Missouri,FX,9.925,,,,,,,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.95,9.90
4,5,Hannah Horton,Missouri,FX,9.925,,,,,,,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.90,9.95
4,6,Kennedy Griffin,Missouri,FX,9.875,,,,,,,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.85,9.90
4,7,Maiya Terry,Missouri,FX,9.900,,,,,,,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.90,9.90
4,1,Hailey Klein,Arkansas,FX,9.825,,,,,,,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.85,9.80
4,2,Cami Weaver,Arkansas,FX,9.850,,,,,,,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.80,9.90
4,3,Allison Cucci,Arkansas,FX,9.900,,,,,,,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.90,9.90
4,4,Leah Smith,Arkansas,FX,9.850,,,,,,,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.85,9.85
4,5,Lauren Williams,Arkansas,FX,9.925,,,,,,,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.90,9.95
4,6,Joscelyn Roberson,Arkansas,FX,9.900,,,,,,,3/1/2026,Missouri vs Arkansas,10.00,10.00,9.90,9.90
