Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,D,E1,E2
1,1,Brayden Erickson,Penn State,FX,13.200,4.8,8.400,,,,,3/1/2026,Penn State vs Springfield,4.8,1.5,1.7
1,2,Kacper Garnczarek,Penn State,FX,13.250,5.0,8.250,,,,,3/1/2026,Penn State vs Springfield,5.0,1.8,1.7
1,3,Matthew Underhill,Penn State,FX,13.600,5.1,8.500,,,,,3/1/2026,Penn State vs Springfield,5.1,1.5,1.5
1,4,Shaun Smith,Penn State,FX,13.500,5.1,8.400,,,,,3/1/2026,Penn State vs Springfield,5.1,1.6,1.6
1,5,Akseli Karsikas,Penn State,FX,11.200,5.0,6.200,,,,,3/1/2026,Penn State vs Springfield,5.0,4.0,3.6
1,1,Carl Jacob Soederqvist,Springfield,FX,12.650,4.5,8.150,,,,,3/1/2026,Penn State vs Springfield,4.5,1.8,1.9
1,2,Evan Reichert,Springfield,FX,13.150,4.4,8.750,,,,Y,3/1/2026,Penn State vs Springfield,4.4,1.2,1.3
1,3,Michael Dalton,Springfield,FX,12.600,4.4,8.200,,,,,3/1/2026,Penn State vs Springfield,4.4,1.7,1.9
1,4,Will Wilson,Springfield,FX,13.200,4.9,8.300,,,,,3/1/2026,Penn State vs Springfield,4.9,1.8,1.6
2,1,Bobby Alessio,Penn State,PH,13.250,4.8,8.450,,,,,3/1/2026,Penn State vs Springfield,4.8,1.7,1.4
2,2,Kacper Garnczarek,Penn State,PH,13.600,4.8,8.800,,,,,3/1/2026,Penn State vs Springfield,4.8,1.1,1.3
2,3,Ritam Malik,Penn State,PH,14.050,4.9,9.150,,,,,3/1/2026,Penn State vs Springfield,4.9,0.7,1.0
2,4,Ricky Perez,Penn State,PH,12.850,4.9,7.950,,,,Y,3/1/2026,Penn State vs Springfield,4.9,2.1,2.0
2,1,Carl Jacob Soederqvist,Springfield,PH,11.300,4.2,7.100,,,,,3/1/2026,Penn State vs Springfield,4.2,2.7,3.1
2,2,Evan Reichert,Springfield,PH,13.250,4.4,8.850,,,,Y,3/1/2026,Penn State vs Springfield,4.4,1.2,1.1
2,3,Devon Felsenstein,Springfield,PH,14.350,4.8,9.550,,,,,3/1/2026,Penn State vs Springfield,4.8,0.5,0.4
2,4,Peyton Cramer,Springfield,PH,14.100,5.2,8.900,,,,,3/1/2026,Penn State vs Springfield,5.2,1.1,1.1
3,1,Landon Simpson,Penn State,SR,12.550,3.4,9.050,,0.1,,,3/1/2026,Penn State vs Springfield,3.4,1.0,0.9
3,2,Shaun Smith,Penn State,SR,12.700,3.6,9.100,,,,,3/1/2026,Penn State vs Springfield,3.6,1.0,0.8
3,3,Kellen Ryan,Penn State,SR,12.900,3.6,9.200,,0.1,,,3/1/2026,Penn State vs Springfield,3.6,0.9,0.7
3,4,Matthew Underhill,Penn State,SR,13.700,5.3,8.400,,,,,3/1/2026,Penn State vs Springfield,5.3,1.5,1.7
3,1,Will Wilson,Springfield,SR,12.550,3.9,8.550,,0.1,,,3/1/2026,Penn State vs Springfield,3.9,1.6,1.3
3,2,Brian Delf,Springfield,SR,12.300,3.8,8.500,,,,,3/1/2026,Penn State vs Springfield,3.8,1.4,1.6
3,3,Gustavin Suess,Springfield,SR,12.850,3.5,9.250,,0.1,,,3/1/2026,Penn State vs Springfield,3.5,0.7,0.8
