Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Hailey Santana,Air Force,VT,9.650,,,,,,,3/6/2026,Air Force / San Jose State / Denver,9.95,9.95,9.65,9.65
1,2,Sarah Willis,Air Force,VT,9.725,,,,,,,3/6/2026,Air Force / San Jose State / Denver,9.95,9.95,9.75,9.70
1,3,Kylee Greene,Air Force,VT,9.775,,,,,,,3/6/2026,Air Force / San Jose State / Denver,9.95,9.95,9.80,9.75
1,4,Olivia Raife,Air Force,VT,9.850,,,,,,,3/6/2026,Air Force / San Jose State / Denver,9.95,9.95,9.85,9.85
1,5,Maggie Slife,Air Force,VT,9.850,,,,,,,3/6/2026,Air Force / San Jose State / Denver,10.00,10.00,9.85,9.85
1,6,Alyssa Bigler,Air Force,VT,9.775,,,,,,,3/6/2026,Air Force / San Jose State / Denver,10.00,10.00,9.80,9.75
1,7,Caroline Walker,Air Force,VT,9.750,,,,,,,3/6/2026,Air Force / San Jose State / Denver,10.00,10.00,9.75,9.75
1,8,Rosa Juarez Baez,Air Force,VT,9.475,,,,,,,3/6/2026,Air Force / San Jose State / Denver,9.95,9.95,9.45,9.50
1,1,Devyn Valuch,San Jose State,VT,9.800,,,,,,,3/6/2026,Air Force / San Jose State / Denver,9.95,9.95,9.80,9.80
1,2,Samantha Macasu,San Jose State,VT,9.750,,,,,,,3/6/2026,Air Force / San Jose State / Denver,9.95,9.95,9.75,9.75
1,3,Olivia Reardon,San Jose State,VT,9.650,,,,,,,3/6/2026,Air Force / San Jose State / Denver,9.95,9.95,9.65,9.65
1,4,Kaviana Jurries,San Jose State,VT,9.775,,,,,,,3/6/2026,Air Force / San Jose State / Denver,9.95,9.95,9.80,9.75
1,5,Sophie Patterson,San Jose State,VT,9.825,,,,,,,3/6/2026,Air Force / San Jose State / Denver,9.95,9.95,9.85,9.80
1,6,Mikaela Pitts,San Jose State,VT,9.850,,,,,,,3/6/2026,Air Force / San Jose State / Denver,10.00,10.00,9.85,9.85
1,7,Annabella Carrascoso,San Jose State,VT,9.475,,,,,,,3/6/2026,Air Force / San Jose State / Denver,9.95,9.95,9.45,9.50
1,1,Amanda Hargraves,Denver,VT,9.825,,,,,,,3/6/2026,Air Force / San Jose State / Denver,9.95,9.95,9.85,9.80
1,2,Sevana Kasparian,Denver,VT,9.825,,,,,,,3/6/2026,Air Force / San Jose State / Denver,9.95,9.95,9.85,9.80
1,3,Maddison Reidenbach,Denver,VT,9.875,,,,,,,3/6/2026,Air Force / San Jose State / Denver,9.95,9.95,9.90,9.85
1,4,Addie Hewitt,Denver,VT,9.850,,,,,,,3/6/2026,Air Force / San Jose State / Denver,9.95,9.95,9.85,9.85
1,5,Mila Brusch,Denver,VT,9.875,,,,,,,3/6/2026,Air Force / San Jose State / Denver,9.95,9.95,9.85,9.90
1,6,Shyla Bhatia,Denver,VT,9.825,,,,,,,3/6/2026,Air Force / San Jose State / Denver,10.00,10.00,9.80,9.85
2,1,Chelsea Boyer,Air Force,UB,9.750,,,,,,,3/6/2026,Air Force / San Jose State / Denver,10.00,10.00,9.75,9.75
2,2,Anna Kristianson,Air Force,UB,8.850,,,,,,,3/6/2026,Air Force / San Jose State / Denver,9.80,9.80,8.90,8.80
2,3,Gabriella Hartley,Air Force,UB,9.725,,,,,,,3/6/2026,Air Force / San Jose State / Denver,10.00,10.00,9.70,9.75
