Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Avah Reichow,UC Davis,VT,9.100,,,,,,,3/8/2026,UC Davis vs Sac State,9.95,9.95,9.25,8.95
1,2,Sierra Muns,UC Davis,VT,9.525,,,,,,,3/8/2026,UC Davis vs Sac State,9.95,9.95,9.60,9.45
1,3,Avery Marshall,UC Davis,VT,9.425,,,,,,,3/8/2026,UC Davis vs Sac State,9.75,9.75,9.40,9.45
1,4,Chloe Gann,UC Davis,VT,9.350,,,,,,,3/8/2026,UC Davis vs Sac State,9.75,9.75,9.35,9.35
1,5,Amelia Moneymaker,UC Davis,VT,9.800,,,,,,,3/8/2026,UC Davis vs Sac State,9.95,9.95,9.80,9.80
1,6,Alana Kim,UC Davis,VT,9.650,,,,,,,3/8/2026,UC Davis vs Sac State,9.95,9.95,9.75,9.55
1,1,Athena Jones,Sac State,VT,9.600,,,,,,,3/8/2026,UC Davis vs Sac State,9.75,9.75,9.60,9.60
1,2,Rose Wilson,Sac State,VT,9.600,,,,,,,3/8/2026,UC Davis vs Sac State,9.95,9.95,9.60,9.60
1,3,Sarah Lutrel,Sac State,VT,9.825,,,,,,,3/8/2026,UC Davis vs Sac State,9.95,9.95,9.85,9.80
1,4,Cadence Gaumont,Sac State,VT,9.725,,,,,,,3/8/2026,UC Davis vs Sac State,9.95,9.95,9.70,9.75
1,5,Maliyah James,Sac State,VT,9.500,,,,,,,3/8/2026,UC Davis vs Sac State,9.80,9.80,9.55,9.45
1,6,Kayla Herrera,Sac State,VT,9.525,,,,,,,3/8/2026,UC Davis vs Sac State,9.75,9.75,9.55,9.50
2,1,Adia Friesen,UC Davis,UB,9.725,,,,,,,3/8/2026,UC Davis vs Sac State,10.00,10.00,9.70,9.75
2,2,Jehaan Poonja,UC Davis,UB,9.625,,,,,,,3/8/2026,UC Davis vs Sac State,10.00,10.00,9.60,9.65
