Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Michelle Ngo,William & Mary,VT,9.425,,,,,,,3/12/2026,William & Mary vs Alaska,9.75,9.75,9.35,9.50
1,2,Sally Wood,William & Mary,VT,9.725,,,,,,,3/12/2026,William & Mary vs Alaska,9.90,9.90,9.70,9.75
1,3,Melissa Gao,William & Mary,VT,9.675,,,,,,,3/12/2026,William & Mary vs Alaska,9.95,9.95,9.65,9.70
1,4,Sophia Summers,William & Mary,VT,9.250,,,,,,,3/12/2026,William & Mary vs Alaska,9.95,9.95,9.35,9.15
1,5,Hannah Burke,William & Mary,VT,9.750,,,,,,,3/12/2026,William & Mary vs Alaska,9.95,9.95,9.70,9.80
1,6,McKenna Mullins,William & Mary,VT,9.700,,,,,,,3/12/2026,William & Mary vs Alaska,9.95,9.95,9.65,9.75
1,1,Claudia Lessig,Alaska,VT,9.475,,,,,,,3/12/2026,William & Mary vs Alaska,9.90,9.90,9.55,9.40
1,2,Verena Wong,Alaska,VT,9.075,,,,,,,3/12/2026,William & Mary vs Alaska,9.90,9.90,9.20,8.95
1,3,Jordan Grindol,Alaska,VT,9.550,,,,,,,3/12/2026,William & Mary vs Alaska,9.75,9.75,9.50,9.60
1,4,Maribelle Albert,Alaska,VT,9.525,,,,,,,3/12/2026,William & Mary vs Alaska,9.95,9.95,9.55,9.50
1,5,Jamilia Duffus,Alaska,VT,9.650,,,,,,,3/12/2026,William & Mary vs Alaska,9.95,9.95,9.60,9.70
1,6,Tessa Richardson,Alaska,VT,9.750,,,,,,,3/12/2026,William & Mary vs Alaska,9.90,9.90,9.70,9.80
2,1,Ascha Laird,William & Mary,UB,9.750,,,,,,,3/12/2026,William & Mary vs Alaska,10.00,10.00,9.70,9.80
2,2,Kate Peebles,William & Mary,UB,9.675,,,,,,,3/12/2026,William & Mary vs Alaska,10.00,10.00,9.65,9.70
2,3,Melissa Gao,William & Mary,UB,9.650,,,,,,,3/12/2026,William & Mary vs Alaska,10.00,10.00,9.70,9.60
2,4,Michelle Ngo,William & Mary,UB,8.400,,,,,,,3/12/2026,William & Mary vs Alaska,9.90,9.70,8.40,8.40
2,5,Catherine Bare,William & Mary,UB,9.675,,,,,,,3/12/2026,William & Mary vs Alaska,10.00,10.00,9.70,9.65
2,6,Brynn Vetrano,William & Mary,UB,9.325,,,,,,,3/12/2026,William & Mary vs Alaska,9.80,9.80,9.35,9.30
2,1,Claudia Lessig,Alaska,UB,9.800,,,,,,,3/12/2026,William & Mary vs Alaska,10.00,10.00,9.80,9.80
2,2,Madelyn Gomez,Alaska,UB,9.675,,,,,,,3/12/2026,William & Mary vs Alaska,10.00,10.00,9.65,9.70
