Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Lisa Chevaire,Rutgers,VT,9.750,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,9.95,9.95,9.80,9.70
1,2,Vivienne Larsen,Rutgers,VT,9.725,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,9.95,9.95,9.70,9.75
1,3,Reagan Schenkel,Rutgers,VT,9.550,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.45,9.65
1,4,Rachael Riley,Rutgers,VT,9.825,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.85,9.80
1,5,Gabrielle Dildy,Rutgers,VT,9.900,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,9.95,9.95,9.90,9.90
1,6,Emily Leese,Rutgers,VT,9.850,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.85,9.85
1,7,Abril Toscanini,Rutgers,VT,9.700,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,9.95,9.95,9.70,9.70
1,8,Kimmi Shiau,Rutgers,VT,9.575,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,9.95,9.95,9.60,9.55
1,1,Hannah Milton,Western Michigan,VT,9.500,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,9.95,9.95,9.45,9.55
1,2,Casey Mooney,Western Michigan,VT,9.700,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,9.95,9.95,9.70,9.70
1,3,Kennedy Cooper,Western Michigan,VT,9.800,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,9.95,9.95,9.80,9.80
1,4,Brooke Gelesko,Western Michigan,VT,9.850,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,9.95,9.95,9.80,9.90
1,5,Isabella Ciolfi,Western Michigan,VT,9.775,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,9.95,9.95,9.80,9.75
1,6,Makenna King,Western Michigan,VT,9.325,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,9.75,9.75,9.35,9.30
1,1,McCall McMullen,UNH,VT,9.725,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,9.95,9.95,9.70,9.75
1,2,Amelia Lannon,UNH,VT,9.825,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.85,9.80
1,3,Serena Mullin,UNH,VT,9.675,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,9.95,9.95,9.70,9.65
1,4,Mady Harvey,UNH,VT,9.775,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,9.95,9.95,9.80,9.75
1,5,Gwen Ockerbloom,UNH,VT,9.775,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,9.95,9.95,9.80,9.75
1,6,Stacy Boss,UNH,VT,9.800,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.75,9.85
1,7,Poulina Minaev,UNH,VT,0.000,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,0.00,0.00,0.00,0.00
1,1,Brooke Burkhart,LIU,VT,9.675,,,,,,Y,3/13/2026,Rutgers / Western Michigan / UNH / LIU,9.90,9.95,9.70,9.65
1,2,Zoe Claiborne,LIU,VT,9.700,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,9.95,9.95,9.70,9.70
1,3,AnnaLisa Page,LIU,VT,9.725,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,9.95,9.95,9.70,9.75
1,4,Raphaëlle Perreault,LIU,VT,9.775,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,9.90,9.90,9.80,9.75
1,5,Kaira Cartwright,LIU,VT,9.750,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,9.95,9.95,9.70,9.80
1,6,Eden Stippick,LIU,VT,9.825,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,9.95,9.95,9.80,9.85
1,7,Isabella Savino,LIU,VT,9.600,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,9.90,9.90,9.60,9.60
2,1,Donna Uhlenberg,Rutgers,UB,9.750,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.75,9.75
2,2,Campbell Earley,Rutgers,UB,9.825,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.80,9.85
2,3,Matis Rains,Rutgers,UB,9.800,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.75,9.85
2,4,Delaney Adrian,Rutgers,UB,9.775,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.75,9.80
2,5,Gabrielle Dildy,Rutgers,UB,9.850,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.85,9.85
2,6,Reagan Schenkel,Rutgers,UB,9.875,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.90,9.85
2,7,Elliot Goldsmith,Rutgers,UB,9.750,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.75,9.75
2,8,Valentina Lorente-Garcia,Rutgers,UB,9.625,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.60,9.65
2,1,Reilan Garvey,Western Michigan,UB,9.775,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,9.80,9.80,9.75
2,2,Aliyah Kelly,Western Michigan,UB,9.700,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.70,9.70
2,3,Reese Samuelson,Western Michigan,UB,9.800,,,,,,Y,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.75,9.85
2,4,Kate Parks,Western Michigan,UB,9.825,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.80,9.85
2,5,Makenna King,Western Michigan,UB,9.325,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.30,9.35
2,6,Julie Korfhage,Western Michigan,UB,9.850,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.85,9.85
2,7,Amy Robins,Western Michigan,UB,9.750,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.75,9.75
2,8,Sidnei Heubach,Western Michigan,UB,9.450,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.45,9.45
2,1,Poulina Minaev,UNH,UB,9.725,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.70,9.75
2,2,Gwen Ockerbloom,UNH,UB,9.075,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.15,9.00
2,3,Peyton Novinger,UNH,UB,9.700,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.60,9.80
2,4,Zoe Arthur,UNH,UB,9.275,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.20,9.35
2,5,Serena Mullin,UNH,UB,9.800,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.80,9.80
2,6,Leah Moreno,UNH,UB,9.750,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.75,9.75
2,7,Abby Scherban,UNH,UB,9.825,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.80,9.85
2,1,Raphaëlle Perreault,LIU,UB,9.675,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.70,9.65
2,2,Danyella Holmes,LIU,UB,9.525,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.45,9.60
2,3,Carly Kliewer,LIU,UB,9.650,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.60,9.70
2,4,Isabella Savino,LIU,UB,9.750,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.75,9.75
2,5,Brisa Carraro,LIU,UB,9.800,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.80,9.80
2,6,Angelina Hogan,LIU,UB,9.675,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.60,9.75
2,7,Kayla Toniolo,LIU,UB,9.575,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.60,9.55
3,1,Delaney Adrian,Rutgers,BB,9.850,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.90,9.80
3,2,Matis Rains,Rutgers,BB,9.450,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,9.80,9.80,9.40,9.50
3,3,Vivienne Larsen,Rutgers,BB,9.750,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.75,9.75
3,4,Keeley Smith,Rutgers,BB,9.650,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.65,9.65
3,5,Rachael Riley,Rutgers,BB,9.825,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.85,9.80
3,6,Gabrielle Dildy,Rutgers,BB,9.825,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.85,9.80
3,7,Rachel Beaulieu,Rutgers,BB,9.800,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.80,9.80
3,8,Olivia DiNovi,Rutgers,BB,9.750,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.80,9.70
3,1,Reilan Garvey,Western Michigan,BB,9.675,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.70,9.65
3,2,Isabella Ciolfi,Western Michigan,BB,9.675,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.75,9.60
3,3,Linda Uro,Western Michigan,BB,9.750,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.75,9.75
3,4,Julie Korfhage,Western Michigan,BB,9.700,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.75,9.65
3,5,Reese Samuelson,Western Michigan,BB,9.725,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.70,9.75
3,6,Hannah Milton,Western Michigan,BB,9.775,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.80,9.75
3,7,Molly Sabin,Western Michigan,BB,9.800,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.80,9.80
3,8,Casey Mooney,Western Michigan,BB,9.175,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.15,9.20
3,1,Poulina Minaev,UNH,BB,9.675,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.70,9.65
3,2,McCall McMullen,UNH,BB,9.700,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.70,9.70
3,3,Amelia Lannon,UNH,BB,9.050,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,9.80,9.80,9.00,9.10
3,4,Gwen Ockerbloom,UNH,BB,9.500,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.50,9.50
3,5,Mady Harvey,UNH,BB,9.600,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.65,9.55
3,6,Serena Mullin,UNH,BB,9.500,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.55,9.45
3,7,Riley Himes,UNH,BB,9.825,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.85,9.80
3,8,Cléante Théorêt,UNH,BB,8.425,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,9.70,9.70,8.40,8.45
3,1,Alina Danilchenko,LIU,BB,9.175,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.10,9.25
3,2,Kady Bills-McCoy,LIU,BB,9.675,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.65,9.70
3,3,Renee Figueroa,LIU,BB,9.575,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.50,9.65
3,4,Kaira Cartwright,LIU,BB,9.700,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.75,9.65
3,5,Ellorie Cane,LIU,BB,9.825,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.85,9.80
3,6,Raphaëlle Perreault,LIU,BB,9.875,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.90,9.85
3,7,AnnaLisa Page,LIU,BB,6.600,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,7.30,7.30,6.60,6.60
4,1,Donna Uhlenberg,Rutgers,FX,9.900,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.90,9.90
4,2,Vivienne Larsen,Rutgers,FX,9.725,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.75,9.70
4,3,Delaney Adrian,Rutgers,FX,9.800,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.75,9.85
4,4,Elliot Goldsmith,Rutgers,FX,9.925,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.90,9.95
4,5,Gabrielle Dildy,Rutgers,FX,9.950,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.95,9.95
4,6,Emily Leese,Rutgers,FX,9.900,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.90,9.90
4,7,Matis Rains,Rutgers,FX,9.750,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.80,9.70
4,1,Hannah Milton,Western Michigan,FX,9.200,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,9.90,9.20,9.20
4,2,Julie Korfhage,Western Michigan,FX,9.850,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.85,9.85
4,3,Molly Sabin,Western Michigan,FX,9.725,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.80,9.65
4,4,Kennedy Cooper,Western Michigan,FX,9.900,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.90,9.90
4,5,Isabella Ciolfi,Western Michigan,FX,9.875,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.90,9.85
4,6,Brooke Gelesko,Western Michigan,FX,9.800,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.75,9.85
4,7,Reese Samuelson,Western Michigan,FX,9.725,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.75,9.70
4,1,Riley Himes,UNH,FX,9.600,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.50,9.70
4,2,Peyton Novinger,UNH,FX,9.700,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.75,9.65
4,3,Gwen Ockerbloom,UNH,FX,9.800,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.85,9.75
4,4,McCall McMullen,UNH,FX,9.800,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.75,9.85
4,5,Poulina Minaev,UNH,FX,9.725,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.70,9.75
4,6,Serena Mullin,UNH,FX,9.850,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.85,9.85
4,7,Stacy Boss,UNH,FX,9.775,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.85,9.70
4,1,Alina Danilchenko,LIU,FX,9.700,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.70,9.70
4,2,Zoe Claiborne,LIU,FX,9.475,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.45,9.50
4,3,Danyella Holmes,LIU,FX,9.600,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.65,9.55
4,4,AnnaLisa Page,LIU,FX,9.725,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.70,9.75
4,5,Eden Stippick,LIU,FX,9.800,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.75,9.85
4,6,Raphaëlle Perreault,LIU,FX,9.850,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.85,9.85
4,7,Ashley Locker,LIU,FX,9.650,,,,,,,3/13/2026,Rutgers / Western Michigan / UNH / LIU,10.00,10.00,9.65,9.65
