Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Lexi Zeiss,LSU,VT,9.825,,,,,,,3/13/2026,LSU vs Arkansas,10.00,10.00,9.80,9.85
1,2,Courtney Blackson,LSU,VT,9.775,,,,,,,3/13/2026,LSU vs Arkansas,10.00,10.00,9.75,9.80
1,3,Victoria Roberts,LSU,VT,9.900,,,,,,,3/13/2026,LSU vs Arkansas,10.00,10.00,9.90,9.90
1,4,Kaliya Lincoln,LSU,VT,9.950,,,,,,,3/13/2026,LSU vs Arkansas,10.00,10.00,9.95,9.95
1,5,Amari Drayton,LSU,VT,9.850,,,,,,,3/13/2026,LSU vs Arkansas,10.00,10.00,9.85,9.85
1,6,Kailin Chio,LSU,VT,10.000,,,,,,,3/13/2026,LSU vs Arkansas,10.00,10.00,10.00,10.00
1,7,Emily Innes,LSU,VT,9.800,,,,,,,3/13/2026,LSU vs Arkansas,10.00,10.00,9.80,9.80
1,1,Cami Weaver,Arkansas,VT,9.850,,,,,,,3/13/2026,LSU vs Arkansas,9.95,9.95,9.85,9.85
1,2,Leah Smith,Arkansas,VT,9.825,,,,,,,3/13/2026,LSU vs Arkansas,9.95,9.95,9.80,9.85
1,3,Allison Cucci,Arkansas,VT,9.925,,,,,,,3/13/2026,LSU vs Arkansas,10.00,10.00,9.90,9.95
1,4,Lauren Williams,Arkansas,VT,9.825,,,,,,,3/13/2026,LSU vs Arkansas,10.00,10.00,9.80,9.85
1,5,Hailey Klein,Arkansas,VT,9.775,,,,,,,3/13/2026,LSU vs Arkansas,10.00,10.00,9.80,9.75
1,6,Morgan Price,Arkansas,VT,9.950,,,,,,,3/13/2026,LSU vs Arkansas,10.00,10.00,9.95,9.95
1,7,Ja’Leigh Lang,Arkansas,VT,9.800,,,,,,,3/13/2026,LSU vs Arkansas,9.95,9.95,9.80,9.80
2,1,Lexi Zeiss,LSU,UB,9.850,,,,,,,3/13/2026,LSU vs Arkansas,10.00,10.00,9.85,9.85
2,2,Ashley Cowan,LSU,UB,9.825,,,,,,,3/13/2026,LSU vs Arkansas,10.00,10.00,9.80,9.85
2,3,Madison Ulrich,LSU,UB,9.900,,,,,,,3/13/2026,LSU vs Arkansas,10.00,10.00,9.90,9.90
2,4,Alexis Jeffrey,LSU,UB,9.850,,,,,,,3/13/2026,LSU vs Arkansas,10.00,10.00,9.80,9.90
2,5,Courtney Blackson,LSU,UB,9.300,,,,,,,3/13/2026,LSU vs Arkansas,10.00,10.00,9.30,9.30
2,6,Konnor McClain,LSU,UB,9.950,,,,,,,3/13/2026,LSU vs Arkansas,10.00,10.00,9.90,10.00
2,7,Haley Mustari,LSU,UB,9.850,,,,,,,3/13/2026,LSU vs Arkansas,10.00,10.00,9.85,9.85
2,8,Tori Tatum,LSU,UB,9.700,,,,,,,3/13/2026,LSU vs Arkansas,10.00,10.00,9.60,9.80
2,1,Joscelyn Roberson,Arkansas,UB,9.800,,,,,,,3/13/2026,LSU vs Arkansas,10.00,10.00,9.75,9.85
2,2,Hailey Klein,Arkansas,UB,9.850,,,,,,,3/13/2026,LSU vs Arkansas,10.00,10.00,9.80,9.90
2,3,Leah Smith,Arkansas,UB,9.825,,,,,,,3/13/2026,LSU vs Arkansas,10.00,10.00,9.80,9.85
2,4,Allison Cucci,Arkansas,UB,9.850,,,,,,,3/13/2026,LSU vs Arkansas,10.00,10.00,9.85,9.85
2,5,Avery King,Arkansas,UB,9.475,,,,,,,3/13/2026,LSU vs Arkansas,10.00,10.00,9.45,9.50
2,6,Morgan Price,Arkansas,UB,9.175,,,,,,,3/13/2026,LSU vs Arkansas,10.00,10.00,9.15,9.20
2,7,Avalon Campbell,Arkansas,UB,9.775,,,,,,,3/13/2026,LSU vs Arkansas,10.00,10.00,9.75,9.80
