Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Safia El Mammann,Arizona State,VT,9.775,,,,,,,3/15/2026,Arizona State / Utah State / SEMO,9.95,9.95,9.80,9.75
1,2,Kylee Bromley,Arizona State,VT,9.750,,,,,,,3/15/2026,Arizona State / Utah State / SEMO,9.95,9.95,9.75,9.75
1,3,Halle Braaflat,Arizona State,VT,9.725,,,,,,,3/15/2026,Arizona State / Utah State / SEMO,9.95,9.95,9.70,9.75
1,4,Lilia Purler,Arizona State,VT,9.825,,,,,,,3/15/2026,Arizona State / Utah State / SEMO,10.00,10.00,9.80,9.85
1,5,Kimberly Smith,Arizona State,VT,9.750,,,,,,,3/15/2026,Arizona State / Utah State / SEMO,9.95,9.95,9.70,9.80
1,6,Halle Gregoire,Arizona State,VT,9.825,,,,,,,3/15/2026,Arizona State / Utah State / SEMO,10.00,10.00,9.85,9.80
1,7,Kaydence Lockhart,Arizona State,VT,9.650,,,,,,,3/15/2026,Arizona State / Utah State / SEMO,9.95,9.95,9.60,9.70
1,1,Mya Witte,Utah State,VT,9.800,,,,,,,3/15/2026,Arizona State / Utah State / SEMO,9.95,9.95,9.75,9.85
1,2,Lundyn VanderToolen,Utah State,VT,9.800,,,,,,,3/15/2026,Arizona State / Utah State / SEMO,9.95,9.95,9.80,9.80
1,3,Anabelle Dewey,Utah State,VT,9.775,,,,,,,3/15/2026,Arizona State / Utah State / SEMO,9.95,9.95,9.75,9.80
1,4,Kaylie Medrano,Utah State,VT,9.825,,,,,,,3/15/2026,Arizona State / Utah State / SEMO,9.95,9.95,9.85,9.80
1,5,Isabella Vater,Utah State,VT,9.775,,,,,,,3/15/2026,Arizona State / Utah State / SEMO,10.00,10.00,9.75,9.80
1,6,Nyla Morabito,Utah State,VT,9.825,,,,,,,3/15/2026,Arizona State / Utah State / SEMO,9.95,9.95,9.85,9.80
1,1,Kailyn Hamilton,SEMO,VT,9.525,,,,,,,3/15/2026,Arizona State / Utah State / SEMO,9.90,9.90,9.60,9.45
