Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,SV3,SV4,J1,J2,J3,J4
1,1,Joy Ziegenfelder,Illinois State,VT,9.575,,,,,,Y,3/20/2026,MIC Championship 2026,9.95,9.95,9.95,9.95,9.65,9.50,9.40,9.65
1,2,Jercy Koliego,Illinois State,VT,9.575,,,,,,,3/20/2026,MIC Championship 2026,9.90,9.90,9.90,9.90,9.60,9.50,9.55,9.65
1,3,Sammie Wolff,Illinois State,VT,9.700,,,,,,,3/20/2026,MIC Championship 2026,10.00,10.00,10.00,10.00,9.70,9.80,9.70,9.70
1,4,Jaly Jones,Illinois State,VT,9.625,,,,,,,3/20/2026,MIC Championship 2026,9.95,9.95,9.95,9.95,9.70,9.60,9.65,9.60
1,5,Savannah Ray,Illinois State,VT,9.800,,,,,,,3/20/2026,MIC Championship 2026,9.95,9.95,9.95,9.95,9.80,9.80,9.80,9.75
1,6,Madyson Baucom,Illinois State,VT,9.475,,,,,,,3/20/2026,MIC Championship 2026,9.95,9.95,9.95,9.95,9.55,9.45,9.45,9.50
1,1,Kailyn Hamilton,SEMO,VT,9.800,,,,,,,3/20/2026,MIC Championship 2026,9.90,9.90,9.90,9.90,9.70,9.80,9.80,9.80
1,2,Ailey Kuehn,SEMO,VT,9.725,,,,,,,3/20/2026,MIC Championship 2026,9.95,9.95,9.95,9.50,9.75,9.75,9.70,9.70
1,3,Nyah Reader,SEMO,VT,9.750,,,,,,,3/20/2026,MIC Championship 2026,9.95,9.95,9.95,9.95,9.80,9.75,9.75,9.70
1,4,Joselene Hernandez,SEMO,VT,9.800,,,,,,,3/20/2026,MIC Championship 2026,9.95,9.95,9.95,9.95,9.75,9.85,9.80,9.80
1,5,Jaidan Kossuth,SEMO,VT,9.650,,,,,,,3/20/2026,MIC Championship 2026,9.95,9.95,9.95,9.95,9.65,9.65,9.65,9.70
1,6,Taylor Ingle,SEMO,VT,9.875,,,,,,Y,3/20/2026,MIC Championship 2026,9.95,9.95,9.95,9.95,9.90,9.85,9.80,9.90
1,1,Alaina Reid,TWU,VT,9.825,,,,,,,3/20/2026,MIC Championship 2026,9.95,9.95,9.95,9.95,9.85,9.75,9.80,9.85
1,2,Jordan Loock,TWU,VT,9.800,,,,,,,3/20/2026,MIC Championship 2026,10.00,10.00,10.00,10.00,9.80,9.70,9.80,9.80
1,3,Bailey Bourgeois,TWU,VT,9.725,,,,,,,3/20/2026,MIC Championship 2026,9.95,9.95,9.95,9.95,9.75,9.75,9.70,9.70
1,4,Juliaunna Baker,TWU,VT,9.700,,,,,,,3/20/2026,MIC Championship 2026,9.95,9.95,9.95,9.95,9.70,9.65,9.70,9.75
1,5,Maddy Murphy,TWU,VT,9.425,,,,,,,3/20/2026,MIC Championship 2026,10.00,10.00,10.00,10.00,9.45,9.40,9.45,9.35
1,6,Sophia Isbell,TWU,VT,9.850,,,,,,,3/20/2026,MIC Championship 2026,10.00,10.00,10.00,10.00,9.85,9.85,9.85,9.90
1,1,Peyton Burford,Centenary,VT,9.550,,,,,,,3/20/2026,MIC Championship 2026,9.75,9.75,9.75,9.75,9.60,9.55,9.55,9.50
1,2,Olivia Stratmann,Centenary,VT,9.550,,,,,,,3/20/2026,MIC Championship 2026,9.95,9.95,9.95,9.95,9.65,9.45,9.70,9.45
1,3,Amy Foret,Centenary,VT,9.675,,,,,,,3/20/2026,MIC Championship 2026,9.95,9.95,9.95,9.95,9.70,9.75,9.65,9.60
1,4,Anna Ichiba,Centenary,VT,8.725,,,,,,,3/20/2026,MIC Championship 2026,9.95,9.95,9.95,9.95,8.90,8.75,8.70,8.65
