Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,SV3,SV4,J1,J2,J3,J4
1,1,Levi Jung-Ruivivar,Stanford,VT,9.700,,,,,,,3/21/2026,ACC Championship 2026 Session #2,9.95,9.95,9.95,9.95,9.75,9.70,9.70,9.60
1,2,Jaime Dugan,Stanford,VT,9.500,,,,,,,3/21/2026,ACC Championship 2026 Session #2,10.00,10.00,10.00,10.00,9.50,9.50,9.55,9.45
1,3,Summer Gronski,Stanford,VT,9.650,,,,,,,3/21/2026,ACC Championship 2026 Session #2,9.95,9.95,9.95,9.95,9.65,9.65,9.65,9.75
1,4,Ui Soma,Stanford,VT,9.825,,,,,,,3/21/2026,ACC Championship 2026 Session #2,9.95,9.95,9.95,9.95,9.80,9.85,9.85,9.80
1,5,Anna Roberts,Stanford,VT,9.800,,,,,,,3/21/2026,ACC Championship 2026 Session #2,10.00,10.00,10.00,10.00,9.80,9.85,9.80,9.75
1,6,Taralyn Nguyen,Stanford,VT,9.825,,,,,,,3/21/2026,ACC Championship 2026 Session #2,10.00,10.00,10.00,10.00,9.80,9.80,9.85,9.85
1,1,Casey Brown,California,VT,9.850,,,,,,,3/21/2026,ACC Championship 2026 Session #2,9.95,9.95,9.95,9.95,9.85,9.85,9.90,9.85
1,2,Tonya Paulsson,California,VT,9.700,,,,,,,3/21/2026,ACC Championship 2026 Session #2,9.95,9.95,9.95,9.95,9.70,9.70,9.75,9.70
1,3,Jayden Silvers,California,VT,9.800,,,,,,,3/21/2026,ACC Championship 2026 Session #2,10.00,10.00,10.00,10.00,9.75,9.80,9.80,9.80
1,4,Annalise Newman-Achee,California,VT,9.825,,,,,,,3/21/2026,ACC Championship 2026 Session #2,9.95,9.95,9.95,9.95,9.80,9.85,9.80,9.85
1,5,Kyen Mayhew,California,VT,9.825,,,,,,,3/21/2026,ACC Championship 2026 Session #2,10.00,10.00,10.00,10.00,9.85,9.80,9.85,9.75
1,6,Mya Wiley,California,VT,9.800,,,,,,,3/21/2026,ACC Championship 2026 Session #2,10.00,10.00,10.00,10.00,9.80,9.75,9.80,9.80
1,1,Brie Clark,Clemson,VT,9.850,,,,,,,3/21/2026,ACC Championship 2026 Session #2,10.00,10.00,10.00,10.00,9.85,9.80,9.85,9.90
1,2,Madison Minner,Clemson,VT,9.900,,,,,,,3/21/2026,ACC Championship 2026 Session #2,10.00,10.00,10.00,10.00,9.90,9.90,9.90,9.90
1,3,Maggie Holman,Clemson,VT,9.875,,,,,,,3/21/2026,ACC Championship 2026 Session #2,10.00,10.00,10.00,10.00,9.90,9.85,9.90,9.85
1,4,Ella Cesario,Clemson,VT,9.850,,,,,,,3/21/2026,ACC Championship 2026 Session #2,9.95,9.95,9.95,9.95,9.85,9.90,9.85,9.80
1,5,Tara Walsh,Clemson,VT,9.750,,,,,,,3/21/2026,ACC Championship 2026 Session #2,10.00,10.00,10.00,10.00,9.75,9.75,9.75,9.70
1,6,Paige Anastasi,Clemson,VT,9.775,,,,,,,3/21/2026,ACC Championship 2026 Session #2,9.95,9.95,9.95,9.95,9.80,9.75,9.75,9.80
1,1,Lauren Wright,NC State,VT,9.700,,,,,,,3/21/2026,ACC Championship 2026 Session #2,9.95,9.95,9.95,9.95,9.60,9.70,9.70,9.75
1,2,Emerson Fisk,NC State,VT,9.675,,,,,,,3/21/2026,ACC Championship 2026 Session #2,9.95,9.95,9.95,9.95,9.70,9.65,9.70,9.65
1,3,Autumn Rardin,NC State,VT,9.850,,,,,,,3/21/2026,ACC Championship 2026 Session #2,10.00,10.00,10.00,10.00,9.85,9.80,9.85,9.85
1,4,Maddie Hall,NC State,VT,9.800,,,,,,,3/21/2026,ACC Championship 2026 Session #2,9.95,9.95,9.95,9.95,9.80,9.80,9.85,9.80
1,5,Ava Myers,NC State,VT,9.875,,,,,,,3/21/2026,ACC Championship 2026 Session #2,9.95,9.95,9.95,9.95,9.85,9.90,9.95,9.85
1,6,Syniya Thomas,NC State,VT,9.800,,,,,,,3/21/2026,ACC Championship 2026 Session #2,9.95,9.95,9.95,9.95,9.80,9.80,9.80,9.90
2,1,Levi Jung-Ruivivar,Stanford,UB,9.875,,,,,,,3/21/2026,ACC Championship 2026 Session #2,10.00,10.00,10.00,10.00,9.90,9.80,9.95,9.85
2,2,Ava Sorrento,Stanford,UB,9.875,,,,,,,3/21/2026,ACC Championship 2026 Session #2,10.00,10.00,10.00,10.00,9.90,9.80,9.90,9.85
2,3,Sienna Robinson,Stanford,UB,9.875,,,,,,,3/21/2026,ACC Championship 2026 Session #2,10.00,10.00,10.00,10.00,9.85,9.95,9.90,9.85
2,4,Anna Roberts,Stanford,UB,9.875,,,,,,,3/21/2026,ACC Championship 2026 Session #2,10.00,10.00,10.00,10.00,9.85,9.85,9.95,9.90
2,5,Ana Barbosu,Stanford,UB,9.925,,,,,,,3/21/2026,ACC Championship 2026 Session #2,10.00,10.00,10.00,10.00,9.95,9.95,9.90,9.90
2,6,Ui Soma,Stanford,UB,9.875,,,,,,,3/21/2026,ACC Championship 2026 Session #2,10.00,10.00,10.00,10.00,9.90,9.85,9.85,9.90
2,1,Miki Aderinto,California,UB,9.825,,,,,,,3/21/2026,ACC Championship 2026 Session #2,10.00,10.00,10.00,10.00,9.80,9.85,9.85,9.80
2,2,Mya Wiley,California,UB,9.850,,,,,,,3/21/2026,ACC Championship 2026 Session #2,10.00,10.00,10.00,10.00,9.85,9.85,9.85,9.90
2,3,Annalise Newman-Achee,California,UB,9.850,,,,,,,3/21/2026,ACC Championship 2026 Session #2,10.00,10.00,10.00,10.00,9.85,9.80,9.90,9.85
2,4,Sage Melkonian,California,UB,9.850,,,,,,,3/21/2026,ACC Championship 2026 Session #2,10.00,10.00,10.00,10.00,9.80,9.85,9.85,9.85
2,5,Casey Brown,California,UB,9.800,,,,,,,3/21/2026,ACC Championship 2026 Session #2,10.00,10.00,10.00,10.00,9.85,9.80,9.80,9.80
2,6,Tonya Paulsson,California,UB,9.950,,,,,,,3/21/2026,ACC Championship 2026 Session #2,10.00,10.00,10.00,10.00,9.80,9.95,9.95,9.95
2,1,Lilly Lippeatt,Clemson,UB,9.900,,,,,,,3/21/2026,ACC Championship 2026 Session #2,10.00,10.00,10.00,10.00,9.85,9.90,9.90,9.90
2,2,Hannah Clark,Clemson,UB,9.900,,,,,,,3/21/2026,ACC Championship 2026 Session #2,10.00,10.00,10.00,10.00,9.95,9.90,9.90,9.90
2,3,Emma Malewski,Clemson,UB,9.900,,,,,,,3/21/2026,ACC Championship 2026 Session #2,10.00,10.00,10.00,10.00,9.90,9.85,9.95,9.90
