Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Gigi Sabatini,Yale,VT,9.675,,,,,,,3/21/2026,GEC Championship 2026 Session #2,9.95,9.95,9.70,9.65
1,2,Ashley Stafford,Yale,VT,9.575,,,,,,,3/21/2026,GEC Championship 2026 Session #2,9.95,9.95,9.60,9.55
1,3,Hailey Kriz,Yale,VT,9.575,,,,,,,3/21/2026,GEC Championship 2026 Session #2,9.95,9.95,9.65,9.50
1,4,Annie Bilbe,Yale,VT,9.650,,,,,,,3/21/2026,GEC Championship 2026 Session #2,10.00,10.00,9.75,9.55
1,5,Lauren Burt,Yale,VT,9.775,,,,,,,3/21/2026,GEC Championship 2026 Session #2,9.95,9.95,9.80,9.75
1,6,Meredith Donovan,Yale,VT,9.525,,,,,,,3/21/2026,GEC Championship 2026 Session #2,9.95,9.95,9.60,9.45
1,1,Jessica Lin,Brown,VT,9.600,,,,,,,3/21/2026,GEC Championship 2026 Session #2,9.75,9.75,9.65,9.55
1,2,Gabby Mautner,Brown,VT,9.600,,,,,,,3/21/2026,GEC Championship 2026 Session #2,9.90,9.90,9.55,9.65
1,3,Emily Ford,Brown,VT,9.650,,,,,,,3/21/2026,GEC Championship 2026 Session #2,9.90,9.90,9.65,9.65
1,4,Sophia Dewar,Brown,VT,9.700,,,,,,,3/21/2026,GEC Championship 2026 Session #2,9.95,9.95,9.70,9.70
1,5,Lulu Ton-That,Brown,VT,9.825,,,,,,,3/21/2026,GEC Championship 2026 Session #2,9.95,9.95,9.85,9.80
1,6,Umi El Mammann,Brown,VT,9.675,,,,,,,3/21/2026,GEC Championship 2026 Session #2,9.95,9.95,9.60,9.75
1,1,Sienna Zuccaro,Penn,VT,9.775,,,,,,,3/21/2026,GEC Championship 2026 Session #2,9.95,9.95,9.80,9.75
1,2,Marissa Lassiter,Penn,VT,9.800,,,,,,,3/21/2026,GEC Championship 2026 Session #2,9.95,9.95,9.80,9.80
1,3,Maggie Murphy,Penn,VT,9.600,,,,,,,3/21/2026,GEC Championship 2026 Session #2,9.95,9.95,9.65,9.55
1,4,Ananya Patanakul,Penn,VT,9.350,,,,,,,3/21/2026,GEC Championship 2026 Session #2,10.00,10.00,9.40,9.30
1,5,Manama Fofana,Penn,VT,9.850,,,,,,,3/21/2026,GEC Championship 2026 Session #2,9.95,9.95,9.85,9.85
1,6,Jordan Barrow,Penn,VT,9.825,,,,,,,3/21/2026,GEC Championship 2026 Session #2,9.95,9.95,9.80,9.85
