Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Autumn Everett,SCSU,VT,9.575,,,,,,,3/21/2026,GEC Championship 2026 Session #1,9.90,9.90,9.65,9.50
1,2,Libby Allen,SCSU,VT,9.575,,,,,,,3/21/2026,GEC Championship 2026 Session #1,9.90,9.90,9.50,9.65
1,3,Ava Kelly,SCSU,VT,9.600,,,,,,,3/21/2026,GEC Championship 2026 Session #1,9.90,9.90,9.50,9.70
1,4,Hannah Fitzgerald,SCSU,VT,9.550,,,,,,,3/21/2026,GEC Championship 2026 Session #1,9.90,9.90,9.60,9.50
1,5,Lola Sepulveda,SCSU,VT,9.675,,,,,,,3/21/2026,GEC Championship 2026 Session #1,9.95,9.95,9.70,9.65
1,6,Zoe Axell,SCSU,VT,9.425,,,,,,,3/21/2026,GEC Championship 2026 Session #1,9.80,9.80,9.30,9.55
1,1,Karah Vargo,West Chester,VT,9.300,,,,,,,3/21/2026,GEC Championship 2026 Session #1,9.90,9.90,9.25,9.35
1,2,Ava Griffith,West Chester,VT,9.475,,,,,,,3/21/2026,GEC Championship 2026 Session #1,9.90,9.90,9.40,9.55
1,3,Alyson Sobczak,West Chester,VT,9.625,,,,,,,3/21/2026,GEC Championship 2026 Session #1,9.90,9.90,9.70,9.55
1,4,Gianna Smith,West Chester,VT,9.475,,,,,,,3/21/2026,GEC Championship 2026 Session #1,9.80,9.80,9.40,9.55
1,5,Jaslyn McComeskey,West Chester,VT,9.625,,,,,,,3/21/2026,GEC Championship 2026 Session #1,9.90,9.90,9.65,9.60
1,6,Sarah Eskew,West Chester,VT,9.675,,,,,,,3/21/2026,GEC Championship 2026 Session #1,9.95,9.95,9.75,9.60
1,1,Tamyra Singletary,Bridgeport,VT,9.525,,,,,,,3/21/2026,GEC Championship 2026 Session #1,9.90,9.90,9.50,9.55
1,2,Emily Hernandez,Bridgeport,VT,9.225,,,,,,,3/21/2026,GEC Championship 2026 Session #1,9.95,9.95,9.25,9.20
1,3,Lena Coxon,Bridgeport,VT,9.550,,,,,,,3/21/2026,GEC Championship 2026 Session #1,9.90,9.90,9.55,9.55
1,4,Abigail Kenney,Bridgeport,VT,9.700,,,,,,,3/21/2026,GEC Championship 2026 Session #1,9.95,9.95,9.75,9.65
1,5,Nova Staruk,Bridgeport,VT,9.850,,,,,,,3/21/2026,GEC Championship 2026 Session #1,10.00,10.00,9.85,9.85
1,6,Brooklyn Weingardt,Bridgeport,VT,9.050,,,,,,,3/21/2026,GEC Championship 2026 Session #1,9.95,9.95,9.05,9.05
1,1,Sally Wood,William & Mary,VT,9.625,,,,,,,3/21/2026,GEC Championship 2026 Session #1,9.90,9.90,9.65,9.60
1,2,Melissa Gao,William & Mary,VT,9.700,,,,,,,3/21/2026,GEC Championship 2026 Session #1,9.95,9.95,9.70,9.70
1,3,Catherine Bare,William & Mary,VT,9.500,,,,,,,3/21/2026,GEC Championship 2026 Session #1,9.95,9.95,9.50,9.50
1,4,Sophia Summers,William & Mary,VT,9.625,,,,,,,3/21/2026,GEC Championship 2026 Session #1,9.95,9.95,9.70,9.55
1,5,Hannah Burke,William & Mary,VT,9.650,,,,,,,3/21/2026,GEC Championship 2026 Session #1,9.95,9.95,9.60,9.70
1,6,McKenna Mullins,William & Mary,VT,9.525,,,,,,,3/21/2026,GEC Championship 2026 Session #1,9.95,9.95,9.60,9.45
2,1,Zoe Axell,SCSU,UB,9.550,,,,,,,3/21/2026,GEC Championship 2026 Session #1,10.00,10.00,9.60,9.50
2,2,Grace Christensen,SCSU,UB,9.550,,,,,,,3/21/2026,GEC Championship 2026 Session #1,9.90,10.00,9.60,9.50
2,3,Gianna Schibi,SCSU,UB,9.475,,,,,,,3/21/2026,GEC Championship 2026 Session #1,9.90,9.90,9.55,9.40
