Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,SV3,SV4,J1,J2,J3,J4
1,1,Devyn Valuch,San Jose State,VT,9.725,,,,,,,4/2/2026,NCAA Regional '26 @ Oregon State: SJSU vs UW,9.95,9.95,9.95,9.95,9.75,9.75,9.70,9.70
1,2,Samantha Macasu,San Jose State,VT,9.650,,,,,,,4/2/2026,NCAA Regional '26 @ Oregon State: SJSU vs UW,9.95,9.95,9.95,9.95,9.65,9.65,9.70,9.65
1,3,Ava Johnson,San Jose State,VT,9.700,,,,,,,4/2/2026,NCAA Regional '26 @ Oregon State: SJSU vs UW,9.95,9.95,9.95,9.95,9.70,9.80,9.70,9.70
1,4,Kaviana Jurries,San Jose State,VT,9.800,,,,,,,4/2/2026,NCAA Regional '26 @ Oregon State: SJSU vs UW,9.95,9.95,9.95,9.95,9.85,9.80,9.80,9.80
1,5,Sophie Patterson,San Jose State,VT,9.750,,,,,,,4/2/2026,NCAA Regional '26 @ Oregon State: SJSU vs UW,9.95,9.95,9.95,9.95,9.75,9.75,9.85,9.75
1,6,Mikaela Pitts,San Jose State,VT,9.800,,,,,,,4/2/2026,NCAA Regional '26 @ Oregon State: SJSU vs UW,10.00,10.00,10.00,10.00,9.80,9.80,9.80,9.80
1,1,Lana Navarro,Washington,VT,9.750,,,,,,,4/2/2026,NCAA Regional '26 @ Oregon State: SJSU vs UW,9.95,9.95,9.95,9.95,9.75,9.70,9.80,9.75
1,2,Jessica Schaffer,Washington,VT,9.775,,,,,,,4/2/2026,NCAA Regional '26 @ Oregon State: SJSU vs UW,9.95,9.95,9.95,9.95,9.70,9.75,9.80,9.80
1,3,Kristin Lin,Washington,VT,9.675,,,,,,,4/2/2026,NCAA Regional '26 @ Oregon State: SJSU vs UW,9.95,9.95,9.95,9.95,9.65,9.65,9.70,9.75
1,4,Lilly Tubbs,Washington,VT,9.775,,,,,,,4/2/2026,NCAA Regional '26 @ Oregon State: SJSU vs UW,9.95,9.95,9.95,9.95,9.80,9.75,9.70,9.80
1,5,Mary McDonough,Washington,VT,9.750,,,,,,,4/2/2026,NCAA Regional '26 @ Oregon State: SJSU vs UW,9.95,9.95,9.95,9.95,9.65,9.75,9.75,9.75
1,6,Kira Bolden,Washington,VT,9.675,,,,,,,4/2/2026,NCAA Regional '26 @ Oregon State: SJSU vs UW,9.95,9.95,9.95,9.95,9.65,9.70,9.70,9.65
2,1,Sophie Patterson,San Jose State,UB,9.725,,,,,,,4/2/2026,NCAA Regional '26 @ Oregon State: SJSU vs UW,10.00,10.00,10.00,10.00,9.65,9.80,9.75,9.70
2,2,Devyn Valuch,San Jose State,UB,9.750,,,,,,,4/2/2026,NCAA Regional '26 @ Oregon State: SJSU vs UW,10.00,10.00,10.00,10.00,9.80,9.65,9.80,9.70
2,3,Genesis PeBenito,San Jose State,UB,9.800,,,,,,,4/2/2026,NCAA Regional '26 @ Oregon State: SJSU vs UW,10.00,10.00,10.00,10.00,9.80,9.80,9.90,9.80
2,4,Victoria Kisch,San Jose State,UB,9.800,,,,,,,4/2/2026,NCAA Regional '26 @ Oregon State: SJSU vs UW,10.00,10.00,10.00,10.00,9.80,9.80,9.85,9.80
2,5,Kaviana Jurries,San Jose State,UB,9.800,,,,,,,4/2/2026,NCAA Regional '26 @ Oregon State: SJSU vs UW,10.00,10.00,10.00,10.00,9.80,9.80,9.85,9.75
2,6,Samantha Macasu,San Jose State,UB,9.850,,,,,,,4/2/2026,NCAA Regional '26 @ Oregon State: SJSU vs UW,10.00,10.00,10.00,10.00,9.85,9.95,9.85,9.85
2,1,Olivia Oppegard,Washington,UB,9.700,,,,,,,4/2/2026,NCAA Regional '26 @ Oregon State: SJSU vs UW,10.00,10.00,10.00,10.00,9.70,9.75,9.70,9.65
2,2,Evelyn DeYoung,Washington,UB,9.825,,,,,,,4/2/2026,NCAA Regional '26 @ Oregon State: SJSU vs UW,10.00,10.00,10.00,10.00,9.85,9.80,9.75,9.85
2,3,Kristin Lin,Washington,UB,9.725,,,,,,,4/2/2026,NCAA Regional '26 @ Oregon State: SJSU vs UW,10.00,10.00,10.00,10.00,9.65,9.80,9.70,9.75
2,4,Deiah Moody,Washington,UB,9.800,,,,,,,4/2/2026,NCAA Regional '26 @ Oregon State: SJSU vs UW,10.00,10.00,10.00,10.00,9.85,9.75,9.85,9.70
2,5,Lilly Tubbs,Washington,UB,9.900,,,,,,,4/2/2026,NCAA Regional '26 @ Oregon State: SJSU vs UW,10.00,10.00,10.00,10.00,9.90,9.90,9.90,9.90
2,6,Mary McDonough,Washington,UB,9.900,,,,,,,4/2/2026,NCAA Regional '26 @ Oregon State: SJSU vs UW,10.00,10.00,10.00,10.00,9.95,9.90,9.90,9.90
3,1,Marissa Ashton,San Jose State,BB,9.750,,,,,,Y,4/2/2026,NCAA Regional '26 @ Oregon State: SJSU vs UW,10.00,10.00,10.00,10.00,9.75,9.75,9.60,9.75
3,2,Samantha Macasu,San Jose State,BB,9.700,,,,,,,4/2/2026,NCAA Regional '26 @ Oregon State: SJSU vs UW,10.00,10.00,10.00,10.00,9.70,9.60,9.75,9.70
3,3,Devyn Valuch,San Jose State,BB,9.725,,,,,,,4/2/2026,NCAA Regional '26 @ Oregon State: SJSU vs UW,10.00,10.00,10.00,10.00,9.75,9.75,9.70,9.70
3,4,Sophie Patterson,San Jose State,BB,9.725,,,,,,,4/2/2026,NCAA Regional '26 @ Oregon State: SJSU vs UW,10.00,10.00,10.00,10.00,9.75,9.70,9.75,9.70
3,5,Genesis PeBenito,San Jose State,BB,9.775,,,,,,,4/2/2026,NCAA Regional '26 @ Oregon State: SJSU vs UW,10.00,10.00,10.00,10.00,9.80,9.75,9.75,9.80
3,6,Olivia Reardon,San Jose State,BB,9.025,,,,,,,4/2/2026,NCAA Regional '26 @ Oregon State: SJSU vs UW,9.80,9.80,9.80,9.80,9.05,9.05,8.90,9.00
3,1,Kristin Lin,Washington,BB,9.700,,,,,,,4/2/2026,NCAA Regional '26 @ Oregon State: SJSU vs UW,10.00,10.00,10.00,10.00,9.75,9.70,9.70,9.70
3,2,Lana Navarro,Washington,BB,9.575,,,,,,,4/2/2026,NCAA Regional '26 @ Oregon State: SJSU vs UW,10.00,10.00,10.00,10.00,9.50,9.65,9.60,9.55
3,3,Olivia Oppegard,Washington,BB,9.000,,,,,,,4/2/2026,NCAA Regional '26 @ Oregon State: SJSU vs UW,9.90,9.90,9.90,9.90,9.15,8.95,9.00,9.00
3,4,Deiah Moody,Washington,BB,9.875,,,,,,,4/2/2026,NCAA Regional '26 @ Oregon State: SJSU vs UW,10.00,10.00,10.00,10.00,9.90,9.85,9.80,9.90
3,5,Chelsea Hallinan,Washington,BB,9.500,,,,,,,4/2/2026,NCAA Regional '26 @ Oregon State: SJSU vs UW,9.70,9.70,9.70,9.70,9.50,9.50,9.50,9.40
3,6,Lilly Tubbs,Washington,BB,9.900,,,,,,,4/2/2026,NCAA Regional '26 @ Oregon State: SJSU vs UW,10.00,10.00,10.00,10.00,9.95,9.90,9.85,9.90
4,1,Marissa Ashton,San Jose State,FX,9.650,,,,,,Y,4/2/2026,NCAA Regional '26 @ Oregon State: SJSU vs UW,10.00,10.00,10.00,10.00,9.55,9.65,9.65,9.65
4,2,Sophie Patterson,San Jose State,FX,9.850,,,,,,,4/2/2026,NCAA Regional '26 @ Oregon State: SJSU vs UW,10.00,10.00,10.00,10.00,9.80,9.90,9.85,9.85
4,3,Kaviana Jurries,San Jose State,FX,9.500,,,,,,,4/2/2026,NCAA Regional '26 @ Oregon State: SJSU vs UW,10.00,10.00,10.00,10.00,9.50,9.45,9.65,9.50
4,4,Genesis PeBenito,San Jose State,FX,9.825,,,,,,,4/2/2026,NCAA Regional '26 @ Oregon State: SJSU vs UW,10.00,10.00,10.00,10.00,9.75,9.80,9.85,9.85
4,5,Kaylee Larson,San Jose State,FX,9.850,,,,,,,4/2/2026,NCAA Regional '26 @ Oregon State: SJSU vs UW,10.00,10.00,10.00,10.00,9.85,9.90,9.80,9.85
4,6,Ava Johnson,San Jose State,FX,9.875,,,,,,,4/2/2026,NCAA Regional '26 @ Oregon State: SJSU vs UW,10.00,10.00,10.00,10.00,9.85,9.90,9.80,9.90
4,1,Chelsea Hallinan,Washington,FX,9.800,,,,,,,4/2/2026,NCAA Regional '26 @ Oregon State: SJSU vs UW,10.00,10.00,10.00,10.00,9.80,9.85,9.80,9.80
4,2,Jessica Schaffer,Washington,FX,9.775,,,,,,,4/2/2026,NCAA Regional '26 @ Oregon State: SJSU vs UW,10.00,10.00,10.00,10.00,9.80,9.75,9.75,9.80
4,3,Kristin Lin,Washington,FX,9.850,,,,,,,4/2/2026,NCAA Regional '26 @ Oregon State: SJSU vs UW,10.00,10.00,10.00,10.00,9.75,9.85,9.85,9.85
4,4,Caitlin McWilliams,Washington,FX,9.825,,,,,,,4/2/2026,NCAA Regional '26 @ Oregon State: SJSU vs UW,10.00,10.00,10.00,10.00,9.85,9.95,9.80,9.80
4,5,Kira Bolden,Washington,FX,9.800,,,,,,,4/2/2026,NCAA Regional '26 @ Oregon State: SJSU vs UW,10.00,10.00,10.00,10.00,9.80,9.80,9.70,9.85
4,6,Lana Navarro,Washington,FX,9.850,,,,,,,4/2/2026,NCAA Regional '26 @ Oregon State: SJSU vs UW,10.00,10.00,10.00,10.00,9.85,9.90,9.80,9.85
