Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,SV3,SV4,J1,J2,J3,J4
1,1,Elizabeth Blessey,Oklahoma,VT,9.875,,,,,,,4/5/2026,NCAA Regional '26 @ Kentucky: Final,10.00,10.00,10.00,10.00,9.90,9.85,9.90,9.85
1,2,Keira Wells,Oklahoma,VT,9.850,,,,,,,4/5/2026,NCAA Regional '26 @ Kentucky: Final,10.00,10.00,10.00,10.00,9.85,9.85,9.85,9.85
1,3,Mackenzie Estep,Oklahoma,VT,9.950,,,,,,,4/5/2026,NCAA Regional '26 @ Kentucky: Final,10.00,10.00,10.00,10.00,9.95,9.90,9.95,9.95
1,4,Elle Mueller,Oklahoma,VT,9.925,,,,,,,4/5/2026,NCAA Regional '26 @ Kentucky: Final,10.00,10.00,10.00,10.00,9.95,9.90,9.95,9.90
1,5,Addison Fatta,Oklahoma,VT,9.925,,,,,,,4/5/2026,NCAA Regional '26 @ Kentucky: Final,10.00,10.00,10.00,10.00,9.95,9.95,9.90,9.90
1,6,Lily Pederson,Oklahoma,VT,9.850,,,,,,,4/5/2026,NCAA Regional '26 @ Kentucky: Final,10.00,10.00,10.00,10.00,9.85,9.85,9.90,9.85
1,1,Kennedy Griffin,Missouri,VT,9.850,,,,,,,4/5/2026,NCAA Regional '26 @ Kentucky: Final,9.95,9.95,9.95,9.95,9.85,9.85,9.85,9.85
1,2,Ayla Acevedo,Missouri,VT,9.800,,,,,,,4/5/2026,NCAA Regional '26 @ Kentucky: Final,9.95,9.95,9.95,9.95,9.80,9.80,9.80,9.80
1,3,Railey Jackson,Missouri,VT,9.825,,,,,,,4/5/2026,NCAA Regional '26 @ Kentucky: Final,10.00,10.00,10.00,10.00,9.80,9.75,9.85,9.85
1,4,Hannah Horton,Missouri,VT,9.850,,,,,,,4/5/2026,NCAA Regional '26 @ Kentucky: Final,10.00,10.00,10.00,10.00,9.85,9.85,9.85,9.80
1,5,Kimarra Echols,Missouri,VT,9.850,,,,,,,4/5/2026,NCAA Regional '26 @ Kentucky: Final,9.95,9.95,9.95,9.95,9.90,9.85,9.85,9.85
